"covariate","coef_h0.5","se_h0.5","pval_h0.5","n_l_h0.5","n_r_h0.5","coef_h1","se_h1","pval_h1","n_l_h1","n_r_h1","coef_h1.1308_OPT","se_h1.1308_OPT","pval_h1.1308_OPT","n_l_h1.1308_OPT","n_r_h1.1308_OPT","coef_h1.5","se_h1.5","pval_h1.5","n_l_h1.5","n_r_h1.5"
"no_pct_con_bebederos",-0.1538,0.2851,0.2619,3,8,-0.1948,0.2439,0.3777,9,17,-0.179,0.2288,0.3235,11,19,-0.2203,0.2147,0.4043,19,26
"no_pct_con_proteccion_civil",-0.1538,0.2851,0.2619,3,8,-0.1948,0.2439,0.3777,9,17,-0.179,0.2288,0.3235,11,19,-0.2203,0.2147,0.4043,19,26
"no_pct_con_cancha",-0.1538,0.2851,0.2619,3,8,-0.1948,0.2439,0.3777,9,17,-0.179,0.2288,0.3235,11,19,-0.2203,0.2147,0.4043,19,26
"no_avg_anio_creacion",-0.1538,0.2851,0.2619,3,8,-0.1948,0.2439,0.3777,9,17,-0.179,0.2288,0.3235,11,19,-0.2203,0.2147,0.4043,19,26
"no_n_federal_offices",0,0,NA,3,8,0,0,NA,9,17,0,0,NA,11,19,0,0,NA,19,26
"no_ag_servi",0,0,NA,3,8,0,0,NA,9,17,0,0,NA,11,19,0,0,NA,19,26
"no_pobl_prc",0,0,NA,3,8,0,0,NA,9,17,0,0,NA,11,19,0,0,NA,19,26
"no_ag_dias",-2.162,1022.0809,0.2755,3,8,0.2698,2.8152,0.4178,9,17,0.2084,1.4464,0.9951,11,19,0.0599,0.7185,0.635,19,26
"no_ag_horas",-4.1411,650.8982,0.9701,3,8,0.7577,3.9682,0.2481,9,17,0.7083,2.235,0.7732,11,19,0.4858,0.9014,0.2971,19,26
"no_serv_dre",0,0,NA,3,8,0,0,NA,9,17,0,0,NA,11,19,0,0,NA,19,26
"no_dren_cab",2.2715,1035.2793,0.2713,3,8,-0.1829,2.7376,0.3394,9,17,-0.2042,1.193,0.4144,11,19,-0.1603,0.6852,0.6866,19,26
"no_dren_plu",0,0,NA,3,8,0,0,NA,9,17,0,0,NA,11,19,0,0,NA,19,26
"no_tot_conx",-5.0092,650.8982,0.9692,3,8,-0.7905,5.2607,0.2563,9,17,-0.7116,3.0159,0.2502,11,19,-0.5447,1.0552,0.2662,19,26
"no_prest_nu",0,0,NA,3,8,0,0,NA,9,17,0,0,NA,11,19,0,0,NA,19,26
"no_n_aerodromes",-2.5252,1035.2793,0.271,3,8,-0.2985,4.0075,0.2403,9,17,-0.151,2.3247,0.1675,11,19,-0.0502,0.95,0.5881,19,26
"no_n_heliports",-2.5252,1035.2793,0.271,3,8,-0.2985,4.0075,0.2403,9,17,-0.151,2.3247,0.1675,11,19,-0.0502,0.95,0.5881,19,26
