"covariate","coef_h0.5","se_h0.5","pval_h0.5","n_l_h0.5","n_r_h0.5","coef_h0.61_OPT","se_h0.61_OPT","pval_h0.61_OPT","n_l_h0.61_OPT","n_r_h0.61_OPT","coef_h1","se_h1","pval_h1","n_l_h1","n_r_h1","coef_h1.5","se_h1.5","pval_h1.5","n_l_h1.5","n_r_h1.5"
"tdpa_avg",-13424.4249,25640.2674,0.2276,34,12,-9744.6257,21004.9166,0.2242,42,14,-6322.0037,12148.4181,0.3271,88,19,-4727.1497,8320.3491,0.3716,320,22
"no_tdpa_avg",0.0853,0.3935,0.4772,34,12,0.0382,0.3795,0.5475,42,14,-0.0222,0.3336,0.8317,88,19,-0.0391,0.2735,0.9935,320,22
"punto_generador_count",-0.6207,5.8701,0.4737,34,12,0.1366,5.296,0.5695,42,14,0.8578,4.3808,0.803,88,19,-0.3553,4.0133,0.7749,320,22
"no_punto_generador_count",0.0853,0.3935,0.4772,34,12,0.0382,0.3795,0.5475,42,14,-0.0222,0.3336,0.8317,88,19,-0.0391,0.2735,0.9935,320,22
"m_avg",0.5977,2.1895,0.5685,34,12,0.4255,2.0431,0.993,42,14,-0.6161,1.6728,0.6588,88,19,-0.8786,1.3929,0.6279,320,22
"no_m_avg",0.0853,0.3935,0.4772,34,12,0.0382,0.3795,0.5475,42,14,-0.0222,0.3336,0.8317,88,19,-0.0391,0.2735,0.9935,320,22
"a_avg",-7.2782,32.0476,0.4385,34,12,-2.3569,30.8319,0.5,42,14,3.4592,27.0471,0.8507,88,19,5.4664,22.1195,0.9456,320,22
"no_a_avg",0.0853,0.3935,0.4772,34,12,0.0382,0.3795,0.5475,42,14,-0.0222,0.3336,0.8317,88,19,-0.0391,0.2735,0.9935,320,22
"b_avg",-0.3018,1.2474,0.8555,34,12,-0.2766,1.17,0.9194,42,14,0.1052,1.0388,0.7156,88,19,0.2234,0.8398,0.9622,320,22
"no_b_avg",0.0853,0.3935,0.4772,34,12,0.0382,0.3795,0.5475,42,14,-0.0222,0.3336,0.8317,88,19,-0.0391,0.2735,0.9935,320,22
"c2_avg",0.033,2.7665,0.8332,34,12,0.2435,2.6399,0.8478,42,14,0.2574,2.3252,0.9332,88,19,0.4368,1.9133,0.921,320,22
