"covariate","coef_h0.5","se_h0.5","pval_h0.5","n_l_h0.5","n_r_h0.5","coef_h0.61_OPT","se_h0.61_OPT","pval_h0.61_OPT","n_l_h0.61_OPT","n_r_h0.61_OPT","coef_h1","se_h1","pval_h1","n_l_h1","n_r_h1","coef_h1.5","se_h1.5","pval_h1.5","n_l_h1.5","n_r_h1.5"
"no_c2_avg",0.0853,0.3935,0.4772,34,12,0.0382,0.3795,0.5475,42,14,-0.0222,0.3336,0.8317,88,19,-0.0391,0.2735,0.9935,320,22
"c3_avg",-0.1091,0.6676,0.6555,34,12,-0.1419,0.6775,0.789,42,14,-0.0637,0.6349,0.7338,88,19,-0.2208,0.5418,0.9626,320,22
"no_c3_avg",0.0853,0.3935,0.4772,34,12,0.0382,0.3795,0.5475,42,14,-0.0222,0.3336,0.8317,88,19,-0.0391,0.2735,0.9935,320,22
"t3s2_avg",-1.0757,1.4825,0.6582,34,12,-1.2478,1.5469,0.6206,42,14,-0.682,1.6383,0.3012,88,19,-0.9952,1.4013,0.5567,320,22
"no_t3s2_avg",0.0853,0.3935,0.4772,34,12,0.0382,0.3795,0.5475,42,14,-0.0222,0.3336,0.8317,88,19,-0.0391,0.2735,0.9935,320,22
"t3s3_avg",-0.312,0.6852,0.3798,34,12,-0.3005,0.6168,0.4508,42,14,-0.2084,0.4914,0.4518,88,19,-0.1721,0.4008,0.5138,320,22
"no_t3s3_avg",0.0853,0.3935,0.4772,34,12,0.0382,0.3795,0.5475,42,14,-0.0222,0.3336,0.8317,88,19,-0.0391,0.2735,0.9935,320,22
"t3s2r4_avg",0.0135,0.6822,0.7065,34,12,-0.076,0.6858,0.7757,42,14,0.0126,0.6939,0.8362,88,19,0.0718,0.6259,0.9679,320,22
"no_t3s2r4_avg",0.0853,0.3935,0.4772,34,12,0.0382,0.3795,0.5475,42,14,-0.0222,0.3336,0.8317,88,19,-0.0391,0.2735,0.9935,320,22
"otros_avg",-0.0988,0.2701,0.3796,34,12,-0.0906,0.2421,0.4703,42,14,-0.0419,0.1929,0.5061,88,19,-0.0286,0.1559,0.6909,320,22
"no_otros_avg",0.0853,0.3935,0.4772,34,12,0.0382,0.3795,0.5475,42,14,-0.0222,0.3336,0.8317,88,19,-0.0391,0.2735,0.9935,320,22
"aa_avg",-6.6805,33.2924,0.4335,34,12,-1.9314,32.1147,0.5169,42,14,2.8431,28.2447,0.8775,88,19,4.5879,23.1491,0.9713,320,22
"no_aa_avg",0.0853,0.3935,0.4772,34,12,0.0382,0.3795,0.5475,42,14,-0.0222,0.3336,0.8317,88,19,-0.0391,0.2735,0.9935,320,22
"bb_avg",-0.3018,1.2474,0.8555,34,12,-0.2766,1.17,0.9194,42,14,0.1044,1.0388,0.7155,88,19,0.2239,0.8398,0.9613,320,22
"no_bb_avg",0.0853,0.3935,0.4772,34,12,0.0382,0.3795,0.5475,42,14,-0.0222,0.3336,0.8317,88,19,-0.0391,0.2735,0.9935,320,22
"cc_avg",-1.549,6.1205,0.7292,34,12,-1.6133,5.9416,0.7494,42,14,-0.7306,5.409,0.663,88,19,-0.905,4.4806,0.821,320,22
"no_cc_avg",0.0853,0.3935,0.4772,34,12,0.0382,0.3795,0.5475,42,14,-0.0222,0.3336,0.8317,88,19,-0.0391,0.2735,0.9935,320,22
"IM_2020",-0.5591,1.7441,0.5782,34,12,-0.4978,1.5977,0.6338,42,14,-0.3629,1.3797,0.6363,88,19,-0.9332,1.1033,0.8749,320,22
"no_IM_2020",0,0,NA,34,12,0,0,NA,42,14,0,0,NA,88,19,1e-04,2e-04,0.3611,320,22
"IE",-0.8147,6.1022,0.9959,34,12,-0.3263,5.4767,0.8636,42,14,-0.5135,4.0682,0.9802,88,19,-1.843,3.0341,0.9593,320,22
"no_IE",0,0,NA,34,12,0,0,NA,42,14,0,0,NA,88,19,1e-04,2e-04,0.3611,320,22
"TCVCU",1.0764,8.1691,0.8602,34,12,0.2096,7.335,0.7923,42,14,-0.5127,5.5788,0.943,88,19,4.0597,5.0523,0.7465,320,22
"no_TCVCU",0,0,NA,34,12,0,0,NA,42,14,0,0,NA,88,19,1e-04,2e-04,0.3611,320,22
"ICE",-0.9803,6.4125,0.9739,34,12,-0.4648,5.7393,0.8404,42,14,-0.5923,4.2684,0.9468,88,19,-2.1134,3.1813,0.9664,320,22
"no_ICE",0,0,NA,34,12,0,0,NA,42,14,0,0,NA,88,19,1e-04,2e-04,0.3611,320,22
"VIVPAR_HAB",5345.2289,71750.9022,0.6881,34,12,20346.2197,64727.98,0.6876,42,14,23652.8207,52950.5717,0.848,88,19,6259.575,41430.712,0.5122,320,22
"no_VIVPAR_HAB",0,0,NA,34,12,0,0,NA,42,14,0,0,NA,88,19,1e-04,2e-04,0.3611,320,22
"POBTOT",4280.8813,247159.5363,0.6341,34,12,56357.1497,223314.9014,0.6335,42,14,65754.9817,182272.1682,0.9049,88,19,3701.2165,142939.6207,0.5768,320,22
"no_POBTOT",0,0,NA,34,12,0,0,NA,42,14,0,0,NA,88,19,1e-04,2e-04,0.3611,320,22
"pct_VPH_SINTIC",0.0032,0.0046,0.3094,34,12,0.0025,0.0043,0.3076,42,14,0.0015,0.0039,0.4073,88,19,0.0061,0.0032,0.8732,320,22
"no_pct_VPH_SINTIC",0,0,NA,34,12,0,0,NA,42,14,0,0,NA,88,19,1e-04,2e-04,0.3611,320,22
"pct_VPH_C_ELEC",-0.0318,0.0273,0.2386,34,12,-0.0267,0.024,0.127,42,14,-0.021,0.0187,0.1255,88,19,-0.0225,0.0158,0.1451,320,22
"no_pct_VPH_C_ELEC",0,0,NA,34,12,0,0,NA,42,14,0,0,NA,88,19,1e-04,2e-04,0.3611,320,22
"pct_VPH_AGUADV",-0.0172,0.0322,0.3772,34,12,-0.0138,0.0295,0.408,42,14,-0.0173,0.0254,0.6325,88,19,-0.0241,0.0208,0.4621,320,22
"no_pct_VPH_AGUADV",0,0,NA,34,12,0,0,NA,42,14,0,0,NA,88,19,1e-04,2e-04,0.3611,320,22
"pct_VPH_PISODT",-0.0391,0.0385,0.1889,34,12,-0.0325,0.0344,0.1408,42,14,-0.0218,0.0282,0.1756,88,19,-0.0304,0.0221,0.3464,320,22
"no_pct_VPH_PISODT",0,0,NA,34,12,0,0,NA,42,14,0,0,NA,88,19,1e-04,2e-04,0.3611,320,22
"pct_VPH_PISOTI",0.0078,0.0161,0.2396,34,12,0.0062,0.0149,0.3377,42,14,0.0021,0.0139,0.4879,88,19,0.0118,0.0111,0.9393,320,22
"no_pct_VPH_PISOTI",0,0,NA,34,12,0,0,NA,42,14,0,0,NA,88,19,1e-04,2e-04,0.3611,320,22
"pct_VPH_1CUART",-0.0048,0.0253,0.9213,34,12,-0.0074,0.0244,0.9614,42,14,-0.0087,0.0227,0.6834,88,19,0.007,0.0199,0.4135,320,22
"no_pct_VPH_1CUART",0,0,NA,34,12,0,0,NA,42,14,0,0,NA,88,19,1e-04,2e-04,0.3611,320,22
"n_schools_avg",-0.7523,5.8081,0.8232,34,12,-0.5153,5.263,0.9625,42,14,-0.154,4.0723,0.942,88,19,-0.2896,2.9203,0.931,320,22
"no_n_schools_avg",-0.087,0.5027,0.3177,34,12,-0.0483,0.4531,0.5035,42,14,0.0153,0.3821,0.752,88,19,0.0475,0.2925,0.9012,320,22
"pct_con_bebederos",0.0661,0.224,0.4654,34,12,0.0765,0.2022,0.6509,42,14,0.0529,0.1664,0.5048,88,19,0.0313,0.1252,0.5162,320,22
"no_pct_con_bebederos",-0.087,0.5027,0.3177,34,12,-0.0483,0.4531,0.5035,42,14,0.0153,0.3821,0.752,88,19,0.0475,0.2925,0.9012,320,22
"pct_con_proteccion_civil",-0.1673,0.0967,0.6414,34,12,-0.1721,0.0937,0.2403,42,14,-0.1592,0.106,0.0978,88,19,-0.1169,0.0906,0.0517,320,22
"no_pct_con_proteccion_civil",-0.087,0.5027,0.3177,34,12,-0.0483,0.4531,0.5035,42,14,0.0153,0.3821,0.752,88,19,0.0475,0.2925,0.9012,320,22
"pct_con_cancha",0.1767,0.4182,0.3599,34,12,0.1674,0.3758,0.4702,42,14,0.1291,0.3134,0.4494,88,19,0.0831,0.2386,0.4418,320,22
"no_pct_con_cancha",-0.087,0.5027,0.3177,34,12,-0.0483,0.4531,0.5035,42,14,0.0153,0.3821,0.752,88,19,0.0475,0.2925,0.9012,320,22
"avg_anio_creacion",171.6858,995.45,0.3171,34,12,94.4206,897.3187,0.503,42,14,-31.2753,756.7452,0.7532,88,19,-94.6248,579.2847,0.903,320,22
"no_avg_anio_creacion",-0.087,0.5027,0.3177,34,12,-0.0483,0.4531,0.5035,42,14,0.0153,0.3821,0.752,88,19,0.0475,0.2925,0.9012,320,22
"km_carretera_fed",25.0657,43.1466,0.9019,34,12,36.986,32.8825,0.9548,42,14,52.7623,34.9145,0.5389,88,19,28.1322,45.0948,0.1823,320,22
"km_carretera_est",-17.1888,62.8874,0.8182,34,12,-18.0084,56.8434,0.7527,42,14,-1.3708,48.1357,0.6635,88,19,-12.2525,37.9295,0.8951,320,22
"km_cuota",0.82,12.0793,0.7359,34,12,2.7867,11.9685,0.9643,42,14,12.9644,11.8052,0.7337,88,19,10.5922,10.2243,0.3153,320,22
"km_camino",105.1523,263.1108,0.6946,34,12,144.6718,161.5629,0.8386,42,14,272.9423,214.0377,0.7839,88,19,279.28,336.2963,0.4756,320,22
"km_vereda",-1.2599,2.2745,0.2529,34,12,-2.3819,2.2597,0.4439,42,14,-4.4269,1.9039,0.6656,88,19,1.6528,2.6147,0.0325,320,22
"km_vialidad_urbana",327.1509,677.4941,0.8724,34,12,405.3364,631.6954,0.8318,42,14,456.9476,542.1456,0.5167,88,19,320.7502,427.8103,0.2635,320,22
"km_total",457.4165,749.5388,0.9898,34,12,598.4747,655.8937,0.8974,42,14,826.244,595.4066,0.4619,88,19,650.0918,608.349,0.177,320,22
"n_federal_offices",-53.8213,42.3774,0.207,34,12,-27.6531,49.2364,0.0969,42,14,8.7022,51.5022,0.2467,88,19,16.3799,35.4593,0.7491,320,22
"no_n_federal_offices",0,0,NA,34,12,0,0,NA,42,14,0.0077,0.001,0.2905,88,19,-0.0057,0.0098,0.3565,320,22
"n_aerodromes",0.0486,0.2097,0.5195,34,12,-0.3291,0.4047,0.3346,42,14,-0.0893,0.4548,0.3215,88,19,0.3576,0.5183,0.495,320,22
"no_n_aerodromes",0.3232,0.3391,0.0832,34,12,0.2382,0.2958,0.0696,42,14,0.0666,0.2204,0.1082,88,19,-0.008,0.1846,0.4139,320,22
"n_heliports",-0.8122,0.4918,0.1207,34,12,-0.0462,0.7411,0.0384,42,14,-0.0227,0.9416,0.8172,88,19,0.0726,0.6402,0.6127,320,22
"no_n_heliports",0.3232,0.3391,0.0832,34,12,0.2382,0.2958,0.0696,42,14,0.0666,0.2204,0.1082,88,19,-0.008,0.1846,0.4139,320,22
"has_aerodrome",-0.0213,0.0973,0.7785,34,12,-0.0451,0.0732,0.9447,42,14,0.0162,0.1185,0.4249,88,19,0.0623,0.1391,0.8854,320,22
"has_heliport",-0.2873,0.3442,0.0931,34,12,-0.1773,0.2937,0.0655,42,14,-0.0535,0.2127,0.2082,88,19,-0.048,0.1815,0.5872,320,22
"ag_servi",0,0,NA,34,12,0,0,0,42,14,0,0,0,88,19,0,0,0,320,22
"no_ag_servi",0,0,NA,34,12,0,0,NA,42,14,0,0,NA,88,19,0,0,NA,320,22
"pobl_prc",18.0196,7.7039,0.0849,34,12,16.2066,7.8683,0.0197,42,14,13.2238,8.0489,0.0329,88,19,4.8327,6.8756,0.0187,320,22
"no_pobl_prc",0,0,NA,34,12,0,0,NA,42,14,0,0,NA,88,19,0,0,NA,320,22
"ag_dias",-0.801,2.7501,0.4506,34,12,-0.6801,2.4074,0.5059,42,14,0.0739,1.8784,0.5795,88,19,-0.0734,1.5852,0.9572,320,22
"no_ag_dias",0.1527,0.3973,0.5332,34,12,0.1583,0.3476,0.5591,42,14,0.0508,0.2762,0.4303,88,19,0.0497,0.2365,0.7723,320,22
"ag_horas",-2.8964,9.3553,0.4176,34,12,-2.6576,8.1327,0.5012,42,14,0.0123,6.3378,0.533,88,19,-0.6914,5.3208,0.9552,320,22
"no_ag_horas",0.1527,0.3973,0.5332,34,12,0.1583,0.3476,0.5591,42,14,0.0508,0.2762,0.4303,88,19,0.0859,0.2368,0.854,320,22
"serv_dre",0,0,NA,34,12,0,0,0,42,14,0.0051,0.0107,0.3152,88,19,-0.0052,0.0089,0.3647,320,22
"no_serv_dre",0,0,NA,34,12,0,0,NA,42,14,0,0,NA,88,19,0,0,NA,320,22
"dren_cab",-27.2969,39.3617,0.3528,34,12,-28.5193,35.6128,0.4114,42,14,-26.8028,30.1293,0.2733,88,19,-17.6199,23.4534,0.1505,320,22
"no_dren_cab",0.3379,0.4598,0.2703,34,12,0.3161,0.4129,0.2932,42,14,0.2416,0.3456,0.2361,88,19,0.13,0.2651,0.2228,320,22
"dren_plu",0.012,0.5288,0.732,34,12,0.0387,0.4785,0.8278,42,14,-0.1132,0.4045,0.915,88,19,-0.005,0.3338,0.6406,320,22
"no_dren_plu",0,0,NA,34,12,0,0,NA,42,14,0,0,NA,88,19,0,0,NA,320,22
"tot_conx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"no_tot_conx",-1e-04,0.0555,0.3149,34,12,-0.0183,0.0445,0.3066,42,14,-0.0298,0.0187,0.8783,88,19,-0.0708,0.0467,0.8458,320,22
"prest_nu",-0.0467,0.1192,0.4246,34,12,0.8645,1.7015,0.2913,42,14,0.2814,2.198,0.3324,88,19,-1.0854,0.6415,0.558,320,22
"no_prest_nu",0,0,NA,34,12,0,0,NA,42,14,0.0051,0.0107,0.3152,88,19,-0.0052,0.0089,0.3647,320,22
"n_sites_total",34.4567,65.892,0.8795,34,12,44.096,58.3743,0.8283,42,14,48.9163,46.1755,0.4112,88,19,11.9636,40.1753,0.0899,320,22
"n_aduana",-0.0209,0.4944,0.328,34,12,-0.147,0.4134,0.4153,42,14,-0.1116,0.2763,0.6186,88,19,-0.1299,0.3551,0.6829,320,22
"n_puerto",0.4828,0.6658,0.8373,34,12,0.5212,0.5991,0.7905,42,14,0.5084,0.5921,0.4478,88,19,0.6115,0.5999,0.4163,320,22
"n_puerto_fronterizo",-0.0759,0.2316,0.2023,34,12,-0.1494,0.1815,0.356,42,14,-0.0767,0.1249,0.1979,88,19,-0.0658,0.1498,0.4379,320,22
"n_terminal_multimodal",0.1134,0.2135,0.6168,34,12,0.1474,0.2027,0.9134,42,14,0.1969,0.2145,0.7953,88,19,0.1381,0.2146,0.2402,320,22
"n_estacion_ferrocarril",0.0884,0.2075,0.8149,34,12,0.1049,0.2088,0.9664,42,14,0.0977,0.2202,0.6879,88,19,0.0265,0.204,0.5031,320,22
"n_zona_industrial",-0.2363,0.3628,0.3322,34,12,-0.186,0.2937,0.2286,42,14,-0.0701,0.1791,0.2011,88,19,-0.1002,0.1174,0.5014,320,22
"n_almacen",0,0,NA,34,12,0,0,NA,42,14,0,0,NA,88,19,0.0023,3e-04,0.3454,320,22
"n_zona_libre",0.0228,0.004,0.6951,34,12,0.0098,0.0287,0.3217,42,14,-0.0171,0.0142,0.3146,88,19,-0.0224,0.0146,0.3216,320,22
"n_aeropuerto",-0.3618,0.4662,0.09,34,12,-0.2699,0.454,0.1479,42,14,-0.2273,0.382,0.3711,88,19,-0.1574,0.3238,0.4081,320,22
"n_aeropuerto_internacional",-0.3551,0.4566,0.1367,34,12,-0.3045,0.4487,0.2146,42,14,-0.3234,0.3737,0.3577,88,19,-0.2472,0.3114,0.2554,320,22
"n_pista_aerea",-0.0172,0.1112,0.3847,34,12,-0.0674,0.0794,0.273,42,14,-0.0681,0.0697,0.5717,88,19,-0.0463,0.103,0.8565,320,22
"n_muelle_embarcadero",0.0581,0.0686,0.2943,34,12,0.08,0.0326,0.4684,42,14,0.1388,0.0805,0.3396,88,19,0.1147,0.128,0.0492,320,22
"n_terminal_transbordador",0,0,NA,34,12,0,0,NA,42,14,0.006,0.0067,0.2964,88,19,0.0032,0.0088,0.3363,320,22
"n_central_camionera",-0.1725,0.285,0.4684,34,12,-0.0603,0.2848,0.2521,42,14,0.0191,0.2916,0.6382,88,19,-0.1818,0.2574,0.7194,320,22
"n_estacion_pesaje",-0.2405,0.3829,0.7091,34,12,-0.2394,0.3464,0.5601,42,14,-0.1421,0.2535,0.2775,88,19,-0.064,0.179,0.2824,320,22
"n_caseta_inspeccion",-0.5434,0.5777,0.4689,34,12,-0.4644,0.5358,0.2753,42,14,-0.1968,0.4254,0.183,88,19,-0.1667,0.3035,0.3618,320,22
"n_estacion_combustible",21.8769,43.3433,0.697,34,12,24.0209,39.9011,0.6673,42,14,22.2141,33.1936,0.4557,88,19,6.2976,26.4536,0.2487,320,22
"n_estacion_policia",-0.1937,0.1929,0.7441,34,12,-0.1905,0.1728,0.4112,42,14,-0.0964,0.1473,0.1808,88,19,-0.0479,0.106,0.2329,320,22
"n_oficina_gobierno",-1.8757,1.9263,0.693,34,12,-1.6469,1.7612,0.3492,42,14,-0.9555,1.3466,0.1533,88,19,-0.7295,0.9712,0.2119,320,22
"n_palacio_gobierno",0.048,0.5573,0.9608,34,12,0.0528,0.5208,0.9807,42,14,0.2042,0.4405,0.9417,88,19,0.2386,0.3595,0.5185,320,22
"n_palacio_justicia",-0.1049,0.1891,0.5444,34,12,-0.069,0.1744,0.3785,42,14,-0.0706,0.1297,0.6069,88,19,-0.0505,0.088,0.4579,320,22
"n_estacion_bomberos",-0.1926,0.2191,0.4334,34,12,-0.1109,0.2067,0.1781,42,14,-0.0813,0.1839,0.3994,88,19,-0.0717,0.1378,0.4187,320,22
"n_hospital",0.8824,7.4514,0.8137,34,12,1.8887,6.7716,0.8241,42,14,3.6901,5.3443,0.8631,88,19,2.5878,4.1624,0.3246,320,22
"n_emergencia_medica",0,0,NA,34,12,0,0,NA,42,14,0.0141,0.015,0.9826,88,19,-0.1247,0.0693,0.2388,320,22
"n_primeros_auxilios",0.1562,0.4833,0.9448,34,12,0.1636,0.4304,0.8859,42,14,0.1858,0.3496,0.5389,88,19,0.136,0.2865,0.4507,320,22
"n_universidad",3.0423,9.5464,0.954,34,12,4.0924,8.8243,0.9769,42,14,3.8018,7.4067,0.5813,88,19,-1.9975,6.2638,0.2713,320,22
"n_centro_investigacion",0.2874,0.2379,0.4197,34,12,0.4048,0.2044,0.7998,42,14,0.3261,0.2066,0.058,88,19,0.2025,0.2252,0.1369,320,22
"n_atractivo_turistico",5.4045,3.954,0.2719,34,12,6.1825,3.3966,0.2332,42,14,5.2559,3.0521,0.0314,88,19,3.1692,3.0777,0.0352,320,22
"n_hotel_motel",-0.0139,0.055,0.3076,34,12,-0.0299,0.0355,0.3176,42,14,-0.0313,0.0285,0.1712,88,19,-2.1645,1.2099,0.2885,320,22
"n_museo",0.4026,1.3717,0.795,34,12,0.8973,1.2967,0.9096,42,14,0.9135,1.216,0.5448,88,19,0.1101,0.9625,0.2217,320,22
"n_monumento_historico",-0.1329,0.8357,0.6106,34,12,-0.1395,1.0696,0.8921,42,14,-0.1411,1.0571,0.7509,88,19,0.0355,0.8258,0.5775,320,22
"n_centro_cultural",-0.1134,0.4341,0.5321,34,12,0.0109,0.3974,0.4071,42,14,0.1418,0.3267,0.928,88,19,-0.0156,0.2651,0.4958,320,22
"n_centro_convenciones",-0.1354,0.1928,0.5017,34,12,-0.0948,0.1751,0.3133,42,14,-0.1041,0.1471,0.5161,88,19,-0.1787,0.1087,0.6041,320,22
"n_lugar_esparcimiento",2.0291,2.5176,0.6548,34,12,2.1867,2.16,0.5017,42,14,2.9972,1.9698,0.5338,88,19,2.3606,2.0585,0.079,320,22
"n_mirador",0.064,0.3538,0.4981,34,12,0.0867,0.3391,0.7006,42,14,0.0109,0.3712,0.6692,88,19,-0.0258,0.3349,0.9088,320,22
"n_parque_diversiones",-0.3831,0.3807,0.3992,34,12,-0.3366,0.3427,0.2467,42,14,-0.257,0.2739,0.2244,88,19,-0.2379,0.223,0.1669,320,22
"n_parque_animal",0.3194,0.543,0.5656,34,12,0.3773,0.5114,0.6152,42,14,0.2285,0.4858,0.363,88,19,0.1657,0.4192,0.49,320,22
"n_campo_golf",-0.0995,0.4054,0.602,34,12,-0.0699,0.36,0.6256,42,14,0.0287,0.3071,0.581,88,19,0.0576,0.2931,0.918,320,22
"n_restaurante",-0.051,0.0192,0.4159,34,12,-0.0577,0.0122,0.2676,42,14,-0.0095,0.0656,0.153,88,19,-2.023,1.1176,0.3129,320,22
"n_balneario",1.2663,1.3532,0.9718,34,12,1.5129,1.1197,0.6949,42,14,1.3173,1.1437,0.208,88,19,1.0745,1.3345,0.2887,320,22
"n_ex_hacienda",0.5094,0.9169,0.9901,34,12,0.7663,0.8747,0.9896,42,14,0.5551,0.7874,0.3455,88,19,-0.0465,0.6481,0.1918,320,22
"n_presa_turistica",0.0048,0.2106,0.2115,34,12,0.0796,0.1761,0.3041,42,14,0.0585,0.1618,0.8968,88,19,-0.0863,0.1468,0.4605,320,22
"n_area_natural_protegida",3.8798,4.2402,0.2444,34,12,3.7549,3.8233,0.2437,42,14,3.009,3.219,0.1778,88,19,2.0406,2.486,0.1294,320,22
"n_zona_arqueologica",-0.3729,0.2308,0.4282,34,12,-0.2764,0.209,0.0504,42,14,-0.0336,0.2196,0.0669,88,19,0.0503,0.2005,0.5057,320,22
"n_lago_laguna",-0.0213,0.0512,0.1054,34,12,0.02,0.1008,0.2906,42,14,-0.1851,0.1358,0.2767,88,19,-0.1824,0.1075,0.1235,320,22
"n_cascada",0.0103,0.016,0.3404,34,12,0.0456,0.0252,0.2238,42,14,-0.0074,0.0442,0.2249,88,19,-0.0229,0.0125,0.5148,320,22
"n_pueblo_magico",0,0,NA,34,12,0,0,NA,42,14,0.0357,0.0127,0.0224,88,19,0.0424,0.0243,0.0107,320,22
"n_cenote",0,0,NA,34,12,0.0129,0.0157,0.3035,42,14,0.0253,0.0904,0.2148,88,19,-0.0586,0.0436,0.5251,320,22
"n_gruta",-0.0663,0.0158,0.3715,34,12,-0.0685,0.0374,0.2792,42,14,-0.0572,0.0692,0.3016,88,19,-0.0264,0.063,0.3212,320,22
"n_ruinas",0.0228,0.004,0.6951,34,12,0.0098,0.0287,0.3217,42,14,0.0076,0.0206,0.613,88,19,-0.0211,0.0257,0.506,320,22
"n_teleferico_funicular",0.0205,0.032,0.3404,34,12,0.0318,0.0097,0.3345,42,14,-0.0135,0.0421,0.3361,88,19,-0.0285,0.0083,0.2958,320,22
"n_museo_historia",1.116,0.9726,0.5035,34,12,1.2958,0.8796,0.4102,42,14,1.0373,0.791,0.1082,88,19,0.4962,0.6634,0.0474,320,22
"n_museo_arte",-0.4405,0.4706,0.6937,34,12,-0.1901,0.5097,0.2293,42,14,0.1593,0.493,0.4607,88,19,-0.0473,0.3131,0.6975,320,22
"n_museo_ciencia",-0.1273,0.0705,0.9407,34,12,-0.0719,0.0543,0.028,42,14,-0.1615,0.1796,0.8337,88,19,-0.2352,0.1657,0.4244,320,22
"n_museo_ninos",-0.1457,0.1908,0.5492,34,12,-0.1365,0.172,0.4176,42,14,-0.1216,0.1373,0.3331,88,19,-0.1037,0.1037,0.2143,320,22
"n_turismo_historico",0.1593,1.0673,0.8735,34,12,0.4998,1.0002,0.6952,42,14,0.5648,0.8933,0.7361,88,19,0.0251,0.7566,0.2955,320,22
"n_turismo_natural",3.9536,4.0738,0.2333,34,12,4.0584,3.6557,0.2515,42,14,3.3665,3.0885,0.1252,88,19,2.1944,2.4313,0.083,320,22
"n_turismo_cultural",0.1563,2.4128,0.8324,34,12,0.7686,2.3304,0.8868,42,14,0.9142,2.1252,0.8613,88,19,0.13,1.7038,0.5987,320,22
"n_turismo_recreativo",3.2168,4.1517,0.7973,34,12,3.7889,3.444,0.6225,42,14,4.3122,3.0851,0.3633,88,19,3.3663,3.3674,0.1366,320,22
"n_turismo_total",7.3414,5.95,0.3193,34,12,9.0706,4.9655,0.3295,42,14,9.0429,4.4356,0.0669,88,19,3.2763,5.2299,0.0195,320,22
"has_aduana",0.0175,0.2167,0.7927,34,12,0.0192,0.2122,0.905,42,14,0.0829,0.2249,0.9676,88,19,0.0735,0.2063,0.7311,320,22
"has_puerto",0.0973,0.224,0.9379,34,12,0.0733,0.2106,0.6911,42,14,0.0957,0.2171,0.8575,88,19,0.1491,0.2041,0.6897,320,22
"has_puerto_fronterizo",-0.0379,0.0645,0.1545,34,12,-0.0564,0.0478,0.4237,42,14,-0.0047,0.0567,0.2292,88,19,-0.0015,0.0414,0.5683,320,22
"has_aeropuerto",-0.2723,0.3976,0.1257,34,12,-0.1929,0.3548,0.1494,42,14,-0.1578,0.2803,0.406,88,19,-0.1188,0.2253,0.4173,320,22
"has_aeropuerto_internacional",-0.2076,0.3971,0.1513,34,12,-0.1346,0.351,0.1987,42,14,-0.1482,0.2726,0.5377,88,19,-0.115,0.2319,0.4795,320,22
"has_estacion_ferrocarril",0.0884,0.2075,0.8149,34,12,0.1049,0.2088,0.9664,42,14,0.0977,0.2202,0.6879,88,19,0.0256,0.2037,0.5192,320,22
"has_terminal_multimodal",0.1134,0.2135,0.6168,34,12,0.1474,0.2027,0.9134,42,14,0.1613,0.2057,0.589,88,19,0.1355,0.1977,0.3642,320,22
"has_zona_industrial",-0.2363,0.3628,0.3322,34,12,-0.186,0.2937,0.2286,42,14,-0.0965,0.1746,0.2252,88,19,-0.0868,0.1089,0.2538,320,22
