"covariate","coef_h0.5","se_h0.5","pval_h0.5","n_l_h0.5","n_r_h0.5","coef_h1","se_h1","pval_h1","n_l_h1","n_r_h1","coef_h1.5","se_h1.5","pval_h1.5","n_l_h1.5","n_r_h1.5","coef_h1.76_OPT","se_h1.76_OPT","pval_h1.76_OPT","n_l_h1.76_OPT","n_r_h1.76_OPT"
"pct_VPH_1CUART",-0.0038,9.4901,0.2573,3,8,0.0496,0.1373,0.8074,9,17,0.0181,0.0412,0.0107,19,26,-0.0128,0.0327,0.0112,37,26
"no_pct_VPH_1CUART",0,0,NA,3,8,0,0,NA,9,17,0,0,NA,19,26,0,0,NA,37,26
"n_schools_avg",3.6384,4.3456,0.3402,3,8,1.9856,3.7703,0.2642,9,17,2.9192,3.4238,0.5884,19,26,3.1031,3.9057,0.5362,37,26
"no_n_schools_avg",-0.1538,0.2851,0.2619,3,8,-0.1948,0.2439,0.3777,9,17,-0.2203,0.2147,0.4043,19,26,-0.2656,0.2466,0.5648,37,26
"pct_con_bebederos",0.1025,0.1164,0.3543,3,8,0.0505,0.1011,0.2535,9,17,0.0547,0.0905,0.5563,19,26,0.0802,0.0955,0.7951,37,26
"no_pct_con_bebederos",-0.1538,0.2851,0.2619,3,8,-0.1948,0.2439,0.3777,9,17,-0.2203,0.2147,0.4043,19,26,-0.2656,0.2466,0.5648,37,26
"pct_con_proteccion_civil",-0.0493,0.072,0.1402,3,8,0.072,0.0573,0.9894,9,17,0.1013,0.0425,0.2385,19,26,0.133,0.072,0.9302,37,26
"no_pct_con_proteccion_civil",-0.1538,0.2851,0.2619,3,8,-0.1948,0.2439,0.3777,9,17,-0.2203,0.2147,0.4043,19,26,-0.2656,0.2466,0.5648,37,26
"pct_con_cancha",0.1338,0.2065,0.287,3,8,0.1323,0.1771,0.3429,9,17,0.1367,0.155,0.4245,19,26,0.1661,0.1688,0.5261,37,26
"no_pct_con_cancha",-0.1538,0.2851,0.2619,3,8,-0.1948,0.2439,0.3777,9,17,-0.2203,0.2147,0.4043,19,26,-0.2656,0.2466,0.5648,37,26
"avg_anio_creacion",305.5898,565.7594,0.262,3,8,386.3254,483.9379,0.3775,9,17,436.9452,425.9528,0.4044,19,26,527.1558,489.0184,0.5656,37,26
"no_avg_anio_creacion",-0.1538,0.2851,0.2619,3,8,-0.1948,0.2439,0.3777,9,17,-0.2203,0.2147,0.4043,19,26,-0.2656,0.2466,0.5648,37,26
"km_carretera_fed",200.8395,163555.5067,0.2578,3,8,-52.3102,368.2544,0.3864,9,17,-23.5329,126.2578,0.2299,19,26,-17.2632,100.3412,0.5427,37,26
"km_carretera_est",280.7561,105560.3001,0.297,3,8,-37.8829,356.9904,0.2119,9,17,-23.4103,114.0992,0.9042,19,26,-47.3178,100.3861,0.8071,37,26
"km_cuota",-88.7864,28403.5461,0.3313,3,8,7.8911,160.4833,0.5272,9,17,27.8356,42.5101,0.861,19,26,20.4915,33.4991,0.3917,37,26
"km_camino",548.8667,131261.9884,0.3464,3,8,156.6828,1231.5697,0.2151,9,17,154.9618,592.4655,0.833,19,26,26.624,311.3271,0.2645,37,26
"km_vereda",0.6734,244.1561,0.2706,3,8,8.3647,94.3233,0.4958,9,17,-1.1104,22.3938,0.4035,19,26,-3.6978,15.5059,0.686,37,26
"km_vialidad_urbana",3044.1709,588714.1143,0.4004,3,8,253.0027,3097.779,0.1743,9,17,483.6575,715.6489,0.8584,19,26,429.7949,571.7913,0.4853,37,26
"km_total",4664.1832,1183624.7518,0.3287,3,8,352.7291,5426.7639,0.1756,9,17,644.7296,1418.8748,0.7837,19,26,434.5384,1059.6872,0.4708,37,26
"n_federal_offices",101.229,80388.3375,0.2588,3,8,23.6482,249.4191,0.4699,9,17,42.6941,121.3621,0.9201,19,26,-12.7343,100.1403,0.2492,37,26
"no_n_federal_offices",0,0,NA,3,8,0,0,NA,9,17,0,0,NA,19,26,0,0,NA,37,26
"n_aerodromes",0,0,NA,3,8,0.103,2.3256,0.542,9,17,0.1605,2.3841,0.2757,19,26,-0.8368,1.9444,0.2226,37,26
"no_n_aerodromes",-2.5252,1035.2793,0.271,3,8,-0.2985,4.0075,0.2403,9,17,-0.0502,0.95,0.5881,19,26,0.1816,0.787,0.5031,37,26
"n_heliports",8.4626,4141.1169,0.2713,3,8,0.2624,12.9397,0.4899,9,17,-0.4843,5.6001,0.8599,19,26,-1.5953,3.4473,0.6924,37,26
"no_n_heliports",-2.5252,1035.2793,0.271,3,8,-0.2985,4.0075,0.2403,9,17,-0.0502,0.95,0.5881,19,26,0.1816,0.787,0.5031,37,26
"has_aerodrome",0,0,NA,3,8,0.129,2.3254,0.5467,9,17,0.0312,0.6091,0.5392,19,26,-0.1053,0.4208,0.4754,37,26
"has_heliport",2.5252,1035.2793,0.271,3,8,-0.0421,2.7936,0.3311,9,17,0.0883,0.808,0.7104,19,26,0.0583,0.688,0.9475,37,26
"ag_servi",0,0,0,3,8,0,0,0,9,17,0,0,0,19,26,0,0,0,37,26
"no_ag_servi",0,0,NA,3,8,0,0,NA,9,17,0,0,NA,19,26,0,0,NA,37,26
"pobl_prc",-37.8852,4155.6896,0.3194,3,8,-27.8876,56.9505,0.5183,9,17,-21.4522,24.8857,0.1412,19,26,-21.9515,22.4579,0.3026,37,26
"no_pobl_prc",0,0,NA,3,8,0,0,NA,9,17,0,0,NA,19,26,0,0,NA,37,26
"ag_dias",15.2957,7154.5662,0.2755,3,8,-1.9835,19.6475,0.3953,9,17,-0.9205,4.9161,0.5861,19,26,-0.7346,4.6059,0.7464,37,26
"no_ag_dias",-2.162,1022.0809,0.2755,3,8,0.2698,2.8152,0.4178,9,17,0.0599,0.7185,0.635,19,26,0.0571,0.6699,0.8322,37,26
"ag_horas",81.3278,15501.9446,0.5072,3,8,-15.1854,79.3333,0.258,9,17,-9.955,18.1701,0.2796,19,26,-7.4903,15.6084,0.3025,37,26
"no_ag_horas",-4.1411,650.8982,0.9701,3,8,0.7577,3.9682,0.2481,9,17,0.4858,0.9014,0.2971,19,26,0.3919,0.7667,0.3314,37,26
"serv_dre",0,0,0,3,8,0,0,0,9,17,0,0,0,19,26,0,0,0,37,26
"no_serv_dre",0,0,NA,3,8,0,0,NA,9,17,0,0,NA,19,26,0,0,NA,37,26
"dren_cab",-231.7134,101900.2119,0.2731,3,8,11.0197,293.1152,0.3465,9,17,8.8054,70.9461,0.7665,19,26,0.7287,65.1103,0.7634,37,26
"no_dren_cab",2.2715,1035.2793,0.2713,3,8,-0.1829,2.7376,0.3394,9,17,-0.1603,0.6852,0.6866,19,26,-0.0499,0.6493,0.6271,37,26
"dren_plu",2.3018,1035.2793,0.2712,3,8,0.3372,4.0274,0.5258,9,17,-0.0747,0.9838,0.5008,19,26,-0.1515,0.7888,0.7867,37,26
"no_dren_plu",0,0,NA,3,8,0,0,NA,9,17,0,0,NA,19,26,0,0,NA,37,26
"tot_conx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"no_tot_conx",-5.0092,650.8982,0.9692,3,8,-0.7905,5.2607,0.2563,9,17,-0.5447,1.0552,0.2662,19,26,-0.4139,0.8074,0.2756,37,26
"prest_nu",0,0,0,3,8,0.1394,0.5359,0.9697,9,17,0.1118,0.4082,0.7855,19,26,-0.0346,0.2069,0.107,37,26
"no_prest_nu",0,0,NA,3,8,0,0,NA,9,17,0,0,NA,19,26,0,0,NA,37,26
"n_sites_total",898.5431,489037.3422,0.2708,3,8,-237.9811,1275.2128,0.3915,9,17,-177.8594,304.5461,0.2394,19,26,-126.0124,286.4536,0.298,37,26
"n_aduana",-0.0055,0.4583,0.2979,3,8,0.5258,0.2294,0.3677,9,17,0.6626,0.4848,0.4356,19,26,0.5641,0.5544,0.1932,37,26
"n_puerto",0,0,NA,3,8,0.4418,2.007,0.3839,9,17,0.2393,1.2751,0.854,19,26,-0.0177,0.4536,0.167,37,26
"n_puerto_fronterizo",-0.0044,0.3667,0.2979,3,8,0.4207,0.1835,0.3677,9,17,0.4878,0.3748,0.2721,19,26,0.3752,0.4669,0.1742,37,26
"n_terminal_multimodal",1.6075,1035.2792,0.2712,3,8,-0.1484,2.8112,0.3364,9,17,-0.1145,0.764,0.5788,19,26,-0.0524,0.6311,0.5765,37,26
"n_estacion_ferrocarril",0,0,NA,3,8,-0.0254,0.0205,0.304,9,17,0.0153,0.1312,0.2731,19,26,0.0403,0.0521,0.3056,37,26
"n_zona_industrial",-0.0929,0.0521,0.2482,3,8,-0.0097,0.0521,0.8293,9,17,0.0811,0.0782,0.5931,19,26,0.0701,0.1481,0.7185,37,26
"n_almacen",0,0,NA,3,8,0,0,NA,9,17,-0.0378,0.0436,0.2482,19,26,-0.0934,0.0867,0.2794,37,26
"n_zona_libre",0,0,NA,3,8,0,0,NA,9,17,0,0,NA,19,26,0,0,NA,37,26
"n_aeropuerto",2.2979,1022.0809,0.2754,3,8,0.4823,4.0592,0.2412,9,17,0.3457,1.0134,0.8767,19,26,0.42,0.8248,0.8428,37,26
"n_aeropuerto_internacional",0.043,0.2129,0.2033,3,8,0.6137,0.6961,0.2977,9,17,0.5997,0.5028,0.3745,19,26,0.701,0.3576,0.3649,37,26
"n_pista_aerea",0,0,NA,3,8,-0.0522,0.0351,0.3434,9,17,-0.0209,0.1857,0.4823,19,26,-0.0554,0.1567,0.6981,37,26
"n_muelle_embarcadero",0.0457,0.0803,0.3279,3,8,0.1226,0.0694,0.2634,9,17,0.1495,0.1896,0.9207,19,26,0.1069,0.1233,0.1201,37,26
"n_terminal_transbordador",0,0,NA,3,8,-0.0159,0.0332,0.4033,9,17,0.023,0.0303,0.3128,19,26,0.0314,0.0234,0.3027,37,26
"n_central_camionera",3.9583,2070.5584,0.2713,3,8,-0.8364,5.4786,0.4027,9,17,-0.9077,1.3478,0.4828,19,26,-0.7541,1.2301,0.3706,37,26
"n_estacion_pesaje",-0.2787,0.1564,0.2482,3,8,0.1275,0.1156,0.2482,9,17,0.2468,0.0545,0.1621,19,26,0.2514,0.1667,0.4211,37,26
"n_caseta_inspeccion",-0.0929,0.0521,0.2482,3,8,-0.0677,0.0893,0.8539,9,17,0.2022,0.1491,0.367,19,26,0.197,0.289,0.8749,37,26
"n_estacion_combustible",149.4657,132555.5141,0.2585,3,8,-71.6339,293.5301,0.5119,9,17,-42.9733,74.8841,0.1125,19,26,-21.5237,73.4854,0.1921,37,26
"n_estacion_policia",0,0,NA,3,8,-0.0509,0.0409,0.304,9,17,0.0383,0.0591,0.6069,19,26,0.0312,0.1446,0.9631,37,26
"n_oficina_gobierno",5.6156,1395.0963,0.4045,3,8,-1.3256,6.2246,0.3216,9,17,-0.2155,1.5185,0.156,19,26,-0.3162,1.4929,0.6198,37,26
"n_palacio_gobierno",0,0,NA,3,8,-0.0198,0.6259,0.4827,9,17,0.1405,0.4635,0.9372,19,26,0.0851,0.3439,0.5471,37,26
"n_palacio_justicia",0,0,NA,3,8,0,0,NA,9,17,-0.0233,0.0138,0.098,19,26,-0.0143,0.0435,0.7747,37,26
"n_estacion_bomberos",0,0,NA,3,8,0,0,NA,9,17,0.0774,0.152,0.4048,19,26,0.0371,0.1457,0.5085,37,26
"n_hospital",68.9844,34164.2142,0.2713,3,8,-11.1437,90.0961,0.4052,9,17,-5.2101,21.5615,0.382,19,26,-2.5822,20.2367,0.5287,37,26
"n_emergencia_medica",5.9374,3105.8376,0.2713,3,8,-1.4913,8.1787,0.4001,9,17,-1.2429,1.9329,0.3393,19,26,-0.9536,1.8203,0.309,37,26
"n_primeros_auxilios",0,0,NA,3,8,-0.0969,0.0598,0.4393,9,17,0.039,0.1746,0.1194,19,26,0.1357,0.1057,0.0766,37,26
"n_universidad",190.616,93846.3625,0.2744,3,8,-40.0128,254.7591,0.3763,9,17,-34.1262,59.8717,0.3642,19,26,-24.6015,55.9556,0.3442,37,26
"n_centro_investigacion",-0.0929,0.0521,0.2482,3,8,0.0587,0.3148,0.3724,9,17,0.1611,0.3522,0.5746,19,26,0.0682,0.1667,0.1374,37,26
"n_atractivo_turistico",24.0622,17208.0738,0.2618,3,8,-6.4528,47.4376,0.3994,9,17,-5.1079,11.5697,0.3351,19,26,-3.7409,9.9826,0.3993,37,26
"n_hotel_motel",104.8938,54869.7984,0.2713,3,8,-25.8601,144.4875,0.3984,9,17,-22.6602,34.1418,0.3541,19,26,-17.9258,32.1527,0.3228,37,26
"n_museo",16.7471,7489.8447,0.2857,3,8,-4.2567,23.0272,0.3521,9,17,-2.3864,5.3412,0.1862,19,26,-1.5875,4.8887,0.3062,37,26
"n_monumento_historico",11.2754,4401.7958,0.2981,3,8,-1.0718,15.4275,0.3966,9,17,-1.5067,5.5425,0.998,19,26,-2.7417,3.8539,0.8539,37,26
"n_centro_cultural",3.8223,650.8982,0.9704,3,8,-0.8126,5.4045,0.2652,9,17,-0.6804,1.1638,0.3204,19,26,-0.5735,0.8715,0.2708,37,26
"n_centro_convenciones",1.8862,1035.2792,0.2713,3,8,-0.5286,2.7267,0.417,9,17,-0.4388,0.6501,0.3324,19,26,-0.2936,0.6147,0.2424,37,26
"n_lugar_esparcimiento",-5.3237,650.8983,0.9696,3,8,-0.3156,5.3314,0.2964,9,17,1.6949,2.5009,0.2236,19,26,1.2808,1.3093,0.3455,37,26
"n_mirador",1.9791,1035.2792,0.2713,3,8,-0.1694,3.0367,0.2571,9,17,-0.4539,1.0034,0.9478,19,26,-0.4372,0.6758,0.5715,37,26
"n_parque_diversiones",1.9805,1035.2792,0.2714,3,8,-0.2838,4.1475,0.3969,9,17,-0.3246,0.9632,0.8754,19,26,-0.2852,0.7596,0.6161,37,26
"n_parque_animal",-0.0926,0.0918,0.1549,3,8,0.413,2.326,0.5424,9,17,0.2116,0.6253,0.5543,19,26,0.249,0.3936,0.5857,37,26
"n_campo_golf",-0.1869,0.1251,0.8415,3,8,0.0288,0.3448,0.232,9,17,0.44,0.3881,0.4105,19,26,0.4037,0.2674,0.4606,37,26
"n_restaurante",96.9773,50728.6816,0.2713,3,8,-23.9084,133.5828,0.3984,9,17,-20.8856,31.565,0.353,19,26,-16.4283,29.7258,0.3206,37,26
"n_balneario",-0.0066,0.55,0.2979,3,8,1.6077,13.954,0.5404,9,17,0.6156,3.7863,0.799,19,26,0.3925,2.3482,0.6122,37,26
"n_ex_hacienda",11.9357,6211.6753,0.2713,3,8,-2.6741,16.362,0.4007,9,17,-2.1483,3.9042,0.3526,19,26,-1.5668,3.6528,0.3633,37,26
"n_presa_turistica",3.8942,2070.5585,0.2711,3,8,-0.4521,5.4782,0.3825,9,17,-0.0903,1.3688,0.502,19,26,0.1293,1.2913,0.5735,37,26
"n_area_natural_protegida",16.2325,8282.2337,0.2713,3,8,-3.4545,21.8172,0.3953,9,17,-2.5154,5.1877,0.3247,19,26,-1.5736,4.8877,0.37,37,26
"n_zona_arqueologica",0,0,NA,3,8,-0.1299,0.0899,0.5442,9,17,0.2532,0.2303,0.0359,19,26,0.159,0.2443,0.5557,37,26
"n_lago_laguna",0.0457,0.0803,0.3279,3,8,0.6162,4.4463,0.4336,9,17,-0.13,1.0785,0.2105,19,26,-0.3506,0.7684,0.4487,37,26
"n_cascada",0,0,NA,3,8,-0.0018,0.0458,0.3115,9,17,0.0028,0.0256,0.8755,19,26,0.0079,0.0182,0.6434,37,26
"n_pueblo_magico",0,0,NA,3,8,0,0,NA,9,17,0,0,NA,19,26,0,0,NA,37,26
"n_cenote",0,0,NA,3,8,0,0,NA,9,17,0,0,NA,19,26,0,0,NA,37,26
"n_gruta",0,0,NA,3,8,-0.0261,0.0176,0.3434,9,17,8e-04,0.0289,0.2827,19,26,0.0268,0.0453,0.1411,37,26
"n_ruinas",0,0,NA,3,8,0,0,NA,9,17,0,0,NA,19,26,0,0,NA,37,26
"n_teleferico_funicular",0,0,NA,3,8,0,0,NA,9,17,0,0,NA,19,26,0,0,NA,37,26
"n_museo_historia",9.7597,3379.6986,0.3087,3,8,-2.4042,12.4357,0.3036,9,17,-1.5981,2.7942,0.1629,19,26,-1.1413,2.3925,0.2323,37,26
"n_museo_arte",7.2661,4141.1169,0.2713,3,8,-1.8306,10.9083,0.417,9,17,-0.9633,2.6372,0.2502,19,26,-0.773,2.557,0.4665,37,26
"n_museo_ciencia",-0.2787,0.1564,0.2482,3,8,0.0192,0.1379,0.1752,9,17,0.2351,0.1117,0.42,19,26,0.3362,0.1458,0.3004,37,26
