"covariate","coef_h0.5","se_h0.5","pval_h0.5","n_l_h0.5","n_r_h0.5","coef_h1","se_h1","pval_h1","n_l_h1","n_r_h1","coef_h1.5","se_h1.5","pval_h1.5","n_l_h1.5","n_r_h1.5","coef_h1.76_OPT","se_h1.76_OPT","pval_h1.76_OPT","n_l_h1.76_OPT","n_r_h1.76_OPT"
"n_refinery_50km_cent",0.7928,0.2954,0.0016,3,8,0.529,0.2496,0.0052,9,17,0.5306,0.2462,0.0658,19,26,0.6223,0.2344,0.0514,37,26
"n_refinery_100km_cent",3.0275,1035.2792,0.2709,3,8,0.7118,2.8876,0.5382,9,17,0.5582,0.8001,0.3603,19,26,0.4852,0.6642,0.2563,37,26
"dist_storage_cent",6.2994,10240.3265,0.248,3,8,16.4238,126.9465,0.5613,9,17,23.6461,33.6622,0.5619,19,26,2.748,28.5076,0.057,37,26
"nearest_storage_cent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_storage_25km_cent",0.642,1.0438,0.5494,3,8,0.986,3.4143,0.7644,9,17,0.8177,1.7402,0.5564,19,26,0.7083,1.1295,0.3785,37,26
"n_storage_50km_cent",5.9331,1035.2795,0.2696,3,8,4.4957,6.6374,0.7388,9,17,3.4962,2.8838,0.074,19,26,2.2955,1.6538,3e-04,37,26
"n_storage_100km_cent",16.9719,2369.0777,0.3293,3,8,9.8176,13.1236,0.9973,9,17,7.3511,5.1134,0.0128,19,26,5.086,3.3762,2e-04,37,26
"dist_any_cent",6.0215,10240.3265,0.248,3,8,15.4983,127.0182,0.5652,9,17,22.8022,33.6966,0.5813,19,26,1.4907,28.5153,0.0573,37,26
"n_any_25km_cent",0.8876,1.0358,0.4462,3,8,1.4391,3.7454,0.9657,9,17,1.0373,1.7463,0.368,19,26,1.0566,1.1672,0.3497,37,26
"n_any_50km_cent",6.9789,1035.2795,0.2691,3,8,5.4678,6.8657,0.9207,9,17,4.3588,2.7893,0.0349,19,26,3.3068,1.6597,1e-04,37,26
"n_any_100km_cent",20.7999,3379.6994,0.3071,3,8,11.8483,16.385,0.9284,9,17,8.7944,6.0768,0.0124,19,26,6.2754,4.0955,4e-04,37,26
"dist_gasproc_edge",-1060.3971,223450.6419,0.3235,3,8,-322.4859,905.846,0.534,9,17,-222.3482,373.0897,0.3006,19,26,-296.7519,272.8046,0.6053,37,26
"nearest_gasproc_edge",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_gasproc_25km_edge",-0.0011,0.0917,0.2979,3,8,0.1052,0.0459,0.3677,9,17,0.0844,0.0969,0.1971,19,26,0.089,0.1359,0.543,37,26
"n_gasproc_50km_edge",-0.0011,0.0917,0.2979,3,8,0.1052,0.0459,0.3677,9,17,0.1162,0.1602,0.9874,19,26,0.1224,0.1365,0.5207,37,26
"n_gasproc_100km_edge",-0.0011,0.0917,0.2979,3,8,0.1052,0.0459,0.3677,9,17,0.1086,0.1618,0.9629,19,26,0.1037,0.144,0.4599,37,26
