"covariate","coef_h0.5","se_h0.5","pval_h0.5","n_l_h0.5","n_r_h0.5","coef_h0.8_OPT","se_h0.8_OPT","pval_h0.8_OPT","n_l_h0.8_OPT","n_r_h0.8_OPT","coef_h1","se_h1","pval_h1","n_l_h1","n_r_h1","coef_h1.5","se_h1.5","pval_h1.5","n_l_h1.5","n_r_h1.5"
"dist_storage_cent",41.7313,62.7113,0.5953,21,11,51.3104,54.8209,0.5097,37,13,48.2024,51.5211,0.3927,57,14,43.6223,43.1551,0.2398,128,21
"nearest_storage_cent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_storage_25km_cent",1.6592,2.634,0.1731,21,11,1.2993,2.1244,0.3138,37,13,0.8875,1.9184,0.3241,57,14,0.0675,1.5126,0.4063,128,21
"n_storage_50km_cent",-2.6665,3.4511,0.1438,21,11,-1.376,2.8052,0.1946,37,13,-0.6853,2.6482,0.3243,57,14,-0.5013,2.1193,0.6167,128,21
"n_storage_100km_cent",-3.5879,5.3006,0.3056,21,11,-2.0291,4.756,0.3125,37,13,-0.9477,4.5043,0.4351,57,14,-0.7746,3.7348,0.6613,128,21
"dist_any_cent",41.0878,62.7121,0.585,21,11,50.8636,54.8143,0.5142,37,13,47.7215,51.5123,0.3967,57,14,43.7036,43.1182,0.2442,128,21
"n_any_25km_cent",1.757,2.6472,0.1729,21,11,1.0706,2.1424,0.2578,37,13,0.5332,1.9213,0.3037,57,14,-0.2927,1.5077,0.5555,128,21
"n_any_50km_cent",-3.4061,3.9837,0.1227,21,11,-2.2371,3.1083,0.1624,37,13,-1.5998,2.8653,0.2412,57,14,-1.3121,2.2277,0.3553,128,21
"n_any_100km_cent",-3.7637,6.168,0.3613,21,11,-2.2054,5.6275,0.3771,37,13,-1.087,5.3424,0.4871,57,14,-1.0773,4.431,0.6907,128,21
"dist_gasproc_edge",72.192,590.6616,0.7683,21,11,91.6419,557.2857,0.9444,37,13,155.3102,541.4427,0.9827,57,14,236.9957,433.6235,0.7879,128,21
"nearest_gasproc_edge",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_gasproc_25km_edge",0.0581,0.0868,0.3348,21,11,0.0114,0.11,0.4696,37,13,-0.008,0.0844,0.5937,57,14,-0.0248,0.0708,0.8928,128,21
"n_gasproc_50km_edge",-0.0506,0.178,0.593,21,11,-0.0799,0.1688,0.8265,37,13,-0.0727,0.1874,0.6641,57,14,-0.0953,0.1817,0.706,128,21
"n_gasproc_100km_edge",-0.0506,0.178,0.593,21,11,-0.0318,0.2001,0.5794,37,13,-0.0037,0.1963,0.6757,57,14,-0.0676,0.2257,0.9507,128,21
"dist_maritime_edge",96.7514,105.4373,0.9712,21,11,61.5782,74.2207,0.1901,37,13,-3.335,73.4527,0.1111,57,14,-56.6884,64.9424,0.4971,128,21
"nearest_maritime_edge",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_maritime_25km_edge",-0.1214,0.166,0.2918,21,11,-0.1699,0.1378,0.4992,37,13,-0.0954,0.1676,0.3025,57,14,-0.0058,0.1449,0.2792,128,21
"n_maritime_50km_edge",-0.3415,0.3431,0.6886,21,11,-0.357,0.2852,0.2522,37,13,-0.2053,0.2752,0.098,57,14,-0.0479,0.205,0.1524,128,21
"n_maritime_100km_edge",-0.3826,0.3436,0.5622,21,11,-0.3601,0.29,0.2488,37,13,-0.1565,0.2804,0.0979,57,14,-0.0277,0.2114,0.2052,128,21
"dist_petrochem_edge",114.6105,767.5932,0.6983,21,11,102.6003,726.5169,0.9231,37,13,140.2989,707.9426,0.9481,57,14,192.1465,574.6928,0.8077,128,21
"nearest_petrochem_edge",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n_petrochem_25km_edge",-0.2058,0.5233,0.197,21,11,-0.2472,0.4471,0.7387,37,13,-0.2745,0.376,0.5736,57,14,-0.2355,0.244,0.2121,128,21
"n_petrochem_50km_edge",-0.2458,0.5339,0.1434,21,11,-0.245,0.4511,0.6478,37,13,-0.171,0.3838,0.4878,57,14,-0.1029,0.2588,0.3664,128,21
