"covariate","coef_h0.5","se_h0.5","pval_h0.5","n_l_h0.5","n_r_h0.5","coef_h0.8_OPT","se_h0.8_OPT","pval_h0.8_OPT","n_l_h0.8_OPT","n_r_h0.8_OPT","coef_h1","se_h1","pval_h1","n_l_h1","n_r_h1","coef_h1.5","se_h1.5","pval_h1.5","n_l_h1.5","n_r_h1.5"
"no_n_schools_avg",-0.3515,0.3331,0.3568,21,11,-0.2919,0.3046,0.1324,37,13,-0.1667,0.293,0.1501,57,14,0.0157,0.26,0.2907,128,21
"pct_con_bebederos",0.086,0.0865,0.2851,21,11,0.0301,0.0721,0.0953,37,13,0.0262,0.0667,0.424,57,14,-0.0078,0.0695,0.469,128,21
"no_pct_con_bebederos",-0.3515,0.3331,0.3568,21,11,-0.2919,0.3046,0.1324,37,13,-0.1667,0.293,0.1501,57,14,0.0157,0.26,0.2907,128,21
"pct_con_proteccion_civil",0.1187,0.093,0.911,21,11,0.098,0.1035,0.0779,37,13,0.0292,0.0959,0.066,57,14,-0.0576,0.0746,0.332,128,21
"no_pct_con_proteccion_civil",-0.3515,0.3331,0.3568,21,11,-0.2919,0.3046,0.1324,37,13,-0.1667,0.293,0.1501,57,14,0.0157,0.26,0.2907,128,21
"pct_con_cancha",0.1914,0.2024,0.2607,21,11,0.1084,0.1706,0.1499,37,13,0.072,0.1618,0.3035,57,14,0.0129,0.1525,0.4061,128,21
"no_pct_con_cancha",-0.3515,0.3331,0.3568,21,11,-0.2919,0.3046,0.1324,37,13,-0.1667,0.293,0.1501,57,14,0.0157,0.26,0.2907,128,21
"avg_anio_creacion",695.6284,658.9493,0.3572,21,11,577.9666,602.5004,0.1321,37,13,329.0601,579.702,0.1494,57,14,-32.0428,514.226,0.2911,128,21
"no_avg_anio_creacion",-0.3515,0.3331,0.3568,21,11,-0.2919,0.3046,0.1324,37,13,-0.1667,0.293,0.1501,57,14,0.0157,0.26,0.2907,128,21
"km_carretera_fed",-52.6723,177.9045,0.8632,21,11,-41.6215,138.7806,0.7398,37,13,-28.7264,125.9183,0.6333,57,14,-4.7831,91.147,0.6727,128,21
"km_carretera_est",101.7958,109.4447,0.8202,21,11,101.3469,92.2425,0.3942,37,13,108.0392,89.8038,0.3356,57,14,92.4161,82.9701,0.146,128,21
"km_cuota",16.5641,60.1033,0.8647,21,11,19.2022,42.3207,0.7469,37,13,20.5701,36.5693,0.7026,57,14,17.2272,27.5713,0.4113,128,21
"km_camino",-323.6878,1030.9327,0.9678,21,11,-183.49,954.6595,0.6969,37,13,-67.4726,903.5676,0.6998,57,14,64.8789,668.8137,0.8453,128,21
"km_vereda",3.2376,6.2309,0.221,21,11,3.8813,5.7852,0.405,37,13,4.6752,6.1987,0.4478,57,14,5.1556,5.1024,0.4945,128,21
"km_vialidad_urbana",79.6894,986.4337,0.2986,21,11,-6.0671,616.942,0.7792,37,13,0.1333,516.4389,0.9728,57,14,-74.0717,368.4221,0.8244,128,21
"km_total",-146.7981,2344.6596,0.5847,21,11,-103.2847,1748.3131,0.9581,37,13,32.6473,1562.858,0.8449,57,14,87.6455,1127.2195,0.9544,128,21
"n_federal_offices",302.1309,347.9327,0.1414,21,11,276.3773,270.011,0.1695,37,13,230.1302,237.1172,0.186,57,14,155.3354,189.5648,0.1441,128,21
"no_n_federal_offices",0,0,NA,21,11,0,0,NA,37,13,0,0,NA,57,14,0.0071,0.0077,0.3231,128,21
"n_aerodromes",0.8593,1.6667,0.4908,21,11,1.2814,0.9486,0.9997,37,13,1.6767,1.075,0.472,57,14,1.7663,1.2986,0.2648,128,21
"no_n_aerodromes",-0.0849,0.9532,0.6391,21,11,-0.1411,0.6111,0.8284,37,13,-0.2356,0.5235,0.9082,57,14,-0.3372,0.3855,0.6669,128,21
"n_heliports",5.0329,7.2796,0.2112,21,11,4.6074,5.6687,0.2601,37,13,4.4913,5.0172,0.3307,57,14,3.4136,4.0316,0.2045,128,21
"no_n_heliports",-0.0849,0.9532,0.6391,21,11,-0.1411,0.6111,0.8284,37,13,-0.2356,0.5235,0.9082,57,14,-0.3372,0.3855,0.6669,128,21
"has_aerodrome",0.0282,0.4182,0.9945,21,11,0.0782,0.385,0.9828,37,13,0.1538,0.3827,0.9396,57,14,0.2481,0.3118,0.7913,128,21
"has_heliport",0.0984,0.7676,0.5967,21,11,0.1165,0.5803,0.7836,37,13,0.0885,0.5189,0.8639,57,14,0.0218,0.3972,0.7474,128,21
"ag_servi",0,0,0,21,11,0,0,0,37,13,0,0,0,57,14,0,0,0,128,21
"no_ag_servi",0,0,NA,21,11,0,0,NA,37,13,0,0,NA,57,14,0,0,NA,128,21
"pobl_prc",-0.6059,9.4699,0.0895,21,11,3.3211,7.9235,0.5863,37,13,4.039,7.3963,0.9265,57,14,4.6744,6.162,0.3974,128,21
"no_pobl_prc",0,0,NA,21,11,0,0,NA,37,13,0,0,NA,57,14,0,0,NA,128,21
"ag_dias",2.3198,2.5558,0.2326,21,11,2.0719,2.1773,0.3323,37,13,1.5789,2.1797,0.331,57,14,1.5164,2.0328,0.4217,128,21
"no_ag_dias",-0.4608,0.456,0.2658,21,11,-0.4607,0.3852,0.2615,37,13,-0.3519,0.376,0.1984,57,14,-0.2842,0.3399,0.2615,128,21
"ag_horas",6.7714,8.024,0.2596,21,11,5.5684,6.9269,0.3572,37,13,3.0496,7.0449,0.3597,57,14,3.9409,6.6163,0.6689,128,21
"no_ag_horas",-0.4608,0.456,0.2658,21,11,-0.4556,0.3851,0.2484,37,13,-0.3031,0.3761,0.1907,57,14,-0.2776,0.3399,0.3536,128,21
"serv_dre",0,0,0,21,11,0,0,0,37,13,0.0035,0.0062,0.3103,57,14,0.0085,0.0176,0.6009,128,21
"no_serv_dre",0,0,NA,21,11,0,0,NA,37,13,0,0,NA,57,14,0,0,NA,128,21
"dren_cab",7.2804,16.9277,0.8686,21,11,15.2406,11.5046,0.6545,37,13,15.4331,10.4442,0.1482,57,14,6.9453,12.0418,0.1539,128,21
"no_dren_cab",0.0157,0.1314,0.3598,21,11,-0.0591,0.0393,0.2064,37,13,-0.0945,0.0274,0.3082,57,14,-0.0713,0.0997,0.5196,128,21
"dren_plu",0.2899,0.5656,0.0455,21,11,0.1811,0.4647,0.3535,37,13,0.1909,0.4421,0.5049,57,14,0.1062,0.3756,0.5946,128,21
"no_dren_plu",0,0,NA,21,11,0,0,NA,37,13,0,0,NA,57,14,0,0,NA,128,21
"tot_conx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"no_tot_conx",0,0,NA,21,11,0.0267,0.0064,0.7002,37,13,-0.0294,0.0424,0.2292,57,14,-0.0228,0.0575,0.4942,128,21
"prest_nu",0.3735,0.5198,0.1505,21,11,0.4018,0.4679,0.3917,37,13,2.0276,2.1987,0.4088,57,14,0.6183,2.8332,0.2734,128,21
"no_prest_nu",0,0,NA,21,11,0,0,NA,37,13,0.0035,0.0062,0.3103,57,14,0.0085,0.0176,0.6009,128,21
"n_sites_total",-10.7213,87.854,0.2936,21,11,-28.3262,71.1847,0.8671,37,13,-47.483,63.7807,0.7833,57,14,-26.7414,53.8902,0.3344,128,21
"n_aduana",0.3514,0.4861,0.4019,21,11,0.5108,0.5039,0.4509,37,13,0.2767,0.6042,0.3193,57,14,-0.0021,0.482,0.2989,128,21
"n_puerto",-1.0065,1.3459,0.7455,21,11,-0.8923,1.1431,0.3715,37,13,-0.5564,1.0849,0.2933,57,14,-0.1956,0.7877,0.2914,128,21
"n_puerto_fronterizo",0.4311,0.4586,0.5553,21,11,0.5403,0.4841,0.3944,37,13,0.3844,0.5187,0.2612,57,14,0.1951,0.4476,0.2322,128,21
"n_terminal_multimodal",-0.3415,0.3431,0.6886,21,11,-0.3781,0.2843,0.3081,37,13,-0.3246,0.2727,0.1504,57,14,-0.0521,0.217,0.0224,128,21
"n_estacion_ferrocarril",-0.0797,0.1614,0.3958,21,11,-0.1146,0.1354,0.6055,37,13,-0.0787,0.1576,0.401,57,14,-0.0584,0.1487,0.517,128,21
"n_zona_industrial",0.2833,0.3274,0.2373,21,11,0.2303,0.2956,0.2547,37,13,0.1903,0.2874,0.3685,57,14,0.1413,0.2586,0.3541,128,21
"n_almacen",0,0,NA,21,11,0,0,NA,37,13,0,0,NA,57,14,0,0,NA,128,21
"n_zona_libre",0,0,NA,21,11,0.0217,0.0276,0.315,37,13,0.0167,0.0127,0.3272,57,14,-0.0115,0.0242,0.3164,128,21
"n_aeropuerto",-0.3433,1.0216,0.7128,21,11,-0.4658,0.7579,0.7873,37,13,-0.4606,0.6582,0.5617,57,14,-0.5024,0.4705,0.3463,128,21
"n_aeropuerto_internacional",-0.1804,0.3675,0.7461,21,11,-0.3212,0.3353,0.729,37,13,-0.3326,0.2997,0.4924,57,14,-0.4711,0.2361,0.2614,128,21
"n_pista_aerea",0.0517,0.1053,0.2731,21,11,0.1239,0.0362,0.5237,37,13,0.1332,0.0955,0.3231,57,14,0.1462,0.1088,0.3938,128,21
"n_muelle_embarcadero",-0.2201,0.3268,0.9088,21,11,-0.1872,0.295,0.429,37,13,-0.1152,0.2799,0.3054,57,14,0.0242,0.2357,0.2882,128,21
"n_terminal_transbordador",0,0,NA,21,11,0,0,NA,37,13,0,0,NA,57,14,0.0093,0.0041,0.1464,128,21
"n_central_camionera",0.1675,0.2853,0.4198,21,11,0.0123,0.2889,0.3758,37,13,0.019,0.3093,0.9214,57,14,0.1566,0.3127,0.9186,128,21
"n_estacion_pesaje",0.2872,0.2334,0.6734,21,11,0.2165,0.2662,0.2487,37,13,0.1144,0.2564,0.2211,57,14,0.0503,0.2287,0.4846,128,21
"n_caseta_inspeccion",0.9112,0.6821,0.4191,21,11,0.6882,0.634,0.1077,37,13,0.5248,0.5801,0.1314,57,14,0.3616,0.4942,0.1628,128,21
"n_estacion_combustible",2.5354,29.7092,0.0933,21,11,-8.5266,20.6462,0.5255,37,13,-16.8452,18.66,0.9913,57,14,-15.5365,17.4337,0.4593,128,21
"n_estacion_policia",0.261,0.2312,0.6838,21,11,0.2122,0.2511,0.2338,37,13,0.1428,0.2535,0.2886,57,14,0.0913,0.2257,0.4277,128,21
"n_oficina_gobierno",4.0863,2.1698,0.0327,21,11,3.5843,1.9256,0.0079,37,13,2.4458,1.7406,0.0094,57,14,1.234,1.47,0.0281,128,21
"n_palacio_gobierno",0.2197,0.6748,0.4312,21,11,0.0473,0.5073,0.5418,37,13,0.0021,0.4512,0.749,57,14,0.12,0.389,0.8343,128,21
"n_palacio_justicia",0.0359,0.0219,0.3993,21,11,-0.0141,0.0557,0.3155,37,13,-0.0041,0.0417,0.9421,57,14,-0.038,0.0567,0.9054,128,21
"n_estacion_bomberos",-0.0647,0.5503,0.4774,21,11,-0.0136,0.4738,0.8418,37,13,0.047,0.4344,0.8097,57,14,-0.0444,0.3358,0.864,128,21
"n_hospital",-1.1601,6.8441,0.9685,21,11,-2.6939,5.5897,0.8969,37,13,-3.8485,4.8577,0.6185,57,14,-2.4501,4.3748,0.3146,128,21
"n_emergencia_medica",0,0,NA,21,11,-0.0151,0.0337,0.2836,37,13,-0.139,0.0311,0.6572,57,14,-0.0032,0.184,0.3133,128,21
"n_primeros_auxilios",-0.1755,0.3755,0.4669,21,11,-0.2549,0.2871,0.6639,37,13,-0.2387,0.277,0.3601,57,14,-0.2104,0.2337,0.3486,128,21
"n_universidad",-2.9808,7.8859,0.3235,21,11,-5.8808,5.5659,0.985,37,13,-8.863,4.8569,0.4251,57,14,-4.8696,6.801,0.1447,128,21
"n_centro_investigacion",-0.5147,0.6554,0.9867,21,11,-0.4477,0.5604,0.2965,37,13,-0.1538,0.5216,0.1729,57,14,-0.1265,0.387,0.6313,128,21
"n_atractivo_turistico",-2.261,7.9467,0.523,21,11,-3.4695,6.8261,0.8582,37,13,-2.4732,6.3184,0.529,57,14,-1.1466,4.6717,0.4984,128,21
"n_hotel_motel",0,0,NA,21,11,-0.2439,0.5964,0.2717,37,13,-2.5934,0.5125,0.3285,57,14,-0.3051,3.2372,0.2709,128,21
"n_museo",2.9046,5.0904,0.1754,21,11,2.2539,3.9616,0.2814,37,13,1.4614,3.4974,0.4084,57,14,0.6842,2.844,0.4654,128,21
"n_monumento_historico",5.6419,3.2735,0.0183,21,11,5.7125,3.7452,0.1216,37,13,4.9368,3.8381,0.1171,57,14,3.6923,3.395,0.1005,128,21
"n_centro_cultural",0.3092,0.5302,0.0726,21,11,0.1673,0.4666,0.2764,37,13,0.1123,0.4382,0.6269,57,14,0.1796,0.3605,0.632,128,21
"n_centro_convenciones",0.0454,0.0295,0.1631,21,11,-0.0095,0.0689,0.1113,37,13,-0.0327,0.0611,0.6024,57,14,-0.0397,0.1013,0.8302,128,21
"n_lugar_esparcimiento",-0.5903,4.992,0.4349,21,11,-0.5335,4.3686,0.9486,37,13,-0.4742,4.0686,0.8534,57,14,0.6836,3.018,0.6286,128,21
"n_mirador",0.1,0.6443,0.2919,21,11,-0.0039,0.5184,0.4485,37,13,-0.0185,0.4853,0.7725,57,14,-0.0201,0.3762,0.9371,128,21
"n_parque_diversiones",0.1586,0.4467,0.9938,21,11,0.0511,0.4209,0.5521,37,13,0.0406,0.4035,0.7742,57,14,0.0033,0.3345,0.7684,128,21
"n_parque_animal",-0.1997,0.3107,0.1268,21,11,-0.3799,0.2363,0.9984,37,13,-0.2837,0.2918,0.3081,57,14,-0.2993,0.2754,0.3342,128,21
"n_campo_golf",-0.2617,1.0201,0.9396,21,11,-0.1583,0.753,0.7511,37,13,-0.1494,0.6752,0.7689,57,14,-0.1771,0.4932,0.7961,128,21
"n_restaurante",0.0096,0.0198,0.2511,21,11,-0.2372,0.5526,0.2521,37,13,-2.4123,0.474,0.3252,57,14,-0.3471,2.9909,0.2867,128,21
"n_balneario",-2.3806,3.634,0.8325,21,11,-2.389,3.2271,0.5028,37,13,-1.5389,3.0308,0.3532,57,14,-0.8023,2.1875,0.3658,128,21
"n_ex_hacienda",-0.5251,1.0394,0.963,21,11,-0.7031,0.9054,0.609,37,13,-0.5133,0.869,0.2922,57,14,-0.2978,0.8199,0.4105,128,21
"n_presa_turistica",-0.1843,0.3276,0.8645,21,11,-0.2113,0.3011,0.6105,37,13,-0.1686,0.2803,0.3812,57,14,-0.1366,0.2582,0.4584,128,21
"n_area_natural_protegida",-0.2788,1.8624,0.3033,21,11,-1.1042,1.0687,0.9632,37,13,-1.289,0.8978,0.3439,57,14,-0.8328,1.0454,0.1694,128,21
"n_zona_arqueologica",1.0798,0.7651,0.0457,21,11,0.978,0.6401,0.0315,37,13,0.7291,0.5859,0.0465,57,14,0.4515,0.4689,0.0519,128,21
"n_lago_laguna",-0.0948,0.1004,0.2344,21,11,-0.1419,0.0837,0.546,37,13,0.1176,0.1385,0.0897,57,14,0.1467,0.1378,0.6016,128,21
"n_cascada",0,0,NA,21,11,0,0,NA,37,13,0.0543,0.0261,0.1935,57,14,0.0013,0.0542,0.2108,128,21
"n_pueblo_magico",0,0,NA,21,11,0,0,NA,37,13,0,0,NA,57,14,0.0758,0.0206,0.0075,128,21
"n_cenote",0,0,NA,21,11,0,0,NA,37,13,0.07,0.0816,0.2177,57,14,0.0219,0.1243,0.2225,128,21
"n_gruta",0.0222,0.0383,0.2819,21,11,0.0032,0.0471,0.305,37,13,-0.023,0.0399,0.3233,57,14,-0.0328,0.015,0.1311,128,21
"n_ruinas",0,0,NA,21,11,0.0217,0.0276,0.315,37,13,0.0167,0.0127,0.3272,57,14,0.0205,0.0253,0.5768,128,21
"n_teleferico_funicular",0,0,NA,21,11,0,0,NA,37,13,0.0376,0.0163,0.3289,57,14,-0.009,0.053,0.3368,128,21
"n_museo_historia",0.3883,1.7245,0.0973,21,11,0.1229,1.3684,0.551,37,13,-0.0193,1.2464,0.8498,57,14,-0.1176,1.0199,0.9683,128,21
"n_museo_arte",2.4421,3.6123,0.2508,21,11,2.1067,2.8008,0.2491,37,13,1.4402,2.4551,0.2969,57,14,0.9521,1.9837,0.3383,128,21
"n_museo_ciencia",0.0288,0.0593,0.2511,21,11,0.0288,0.117,0.2839,37,13,0.0731,0.129,0.7718,57,14,-0.076,0.0985,0.1564,128,21
"n_museo_ninos",0.0454,0.0295,0.1631,21,11,-0.0045,0.068,0.1508,37,13,-0.0326,0.0506,0.2587,57,14,-0.0743,0.0442,0.9367,128,21
"n_turismo_historico",0.5547,1.5197,0.2994,21,11,0.2965,1.3307,0.5055,37,13,0.2326,1.2526,0.8334,57,14,0.2499,1.0769,0.8557,128,21
"n_turismo_natural",-0.2091,3.1136,0.3775,21,11,-1.1161,2.3724,0.9206,37,13,-1.0483,2.1441,0.6065,57,14,-0.51,1.7784,0.4923,128,21
