"covariate","coef_h10","se_h10","pval_h10","n_l_h10","n_r_h10","coef_h15","se_h15","pval_h15","n_l_h15","n_r_h15","coef_h20","se_h20","pval_h20","n_l_h20","n_r_h20","coef_h25","se_h25","pval_h25","n_l_h25","n_r_h25","coef_h30","se_h30","pval_h30","n_l_h30","n_r_h30","coef_h201.52_OPT","se_h201.52_OPT","pval_h201.52_OPT","n_l_h201.52_OPT","n_r_h201.52_OPT"
"tot_conx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"no_tot_conx",0,0,NA,9,10,0.0484,0.0641,0.2728,14,15,0.0368,0.0427,0.3614,19,20,0.0052,0.0722,0.3118,24,25,-0.0369,0.0645,0.2144,29,30,-0.0184,0.0532,0.9206,51,202
"prest_nu",0.2818,0.6826,0.7845,9,10,0.1585,0.6251,0.5682,14,15,0.0923,0.5482,0.6367,19,20,0.076,0.4833,0.7214,24,25,0.063,0.4337,0.7639,29,30,1.3041,0.5222,0.5162,51,202
"no_prest_nu",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0.0087,0.0065,0.3436,51,202
"n_sites_total",10.9182,42.1208,0.6602,9,10,59.948,50.4742,0.558,14,15,59.6791,56.597,0.4764,19,20,57.9837,60.2264,0.3907,24,25,57.9562,53.3022,0.3094,29,30,21.5288,35.3412,0.2384,51,202
"n_aduana",-0.4667,0.7647,0.9485,9,10,-0.4012,0.6462,0.4924,14,15,-0.3474,0.6264,0.4574,19,20,-0.1225,0.6003,0.3271,24,25,-0.267,0.5689,0.71,29,30,0.1252,0.4341,0.755,51,202
"n_puerto",0.3758,1.2644,0.7566,9,10,0.568,1.0405,0.768,14,15,0.4208,0.9758,0.5343,19,20,0.347,0.8956,0.5394,24,25,0.2918,0.8419,0.5778,29,30,-0.0449,0.4094,0.7534,51,202
"n_puerto_fronterizo",-0.4667,0.7607,0.8609,9,10,-0.4747,0.6446,0.5304,14,15,-0.4175,0.6245,0.4121,19,20,-0.233,0.5914,0.2989,24,25,-0.3013,0.546,0.5227,29,30,0.2998,0.5202,0.2267,51,202
"n_terminal_multimodal",0.1939,0.2675,0.376,9,10,0.3313,0.2365,0.6812,14,15,0.2334,0.2374,0.1306,19,20,0.2848,0.2554,0.3927,24,25,0.2387,0.2066,0.1214,29,30,-0.1503,0.1583,0.941,51,202
"n_estacion_ferrocarril",0,0.0782,0.2832,9,10,0.0735,0.0458,0.3923,14,15,0.0701,0.0481,0.331,19,20,0.0779,0.071,0.4729,24,25,0.1031,0.0973,0.7636,29,30,0.1714,0.0958,0.7039,51,202
"n_zona_industrial",-0.6364,1.0463,0.2672,9,10,-0.4265,0.7081,0.2338,14,15,-0.2857,0.539,0.2219,19,20,-0.1916,0.4356,0.2258,24,25,-0.1097,0.3669,0.2136,29,30,0.1576,0.2313,0.6476,51,202
"n_almacen",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0.0442,0.1113,0.3109,51,202
"n_zona_libre",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0.0438,0.0283,0.8181,51,202
"n_aeropuerto",-0.2242,1.1505,0.1818,9,10,0.1252,0.8327,0.5845,14,15,0.1994,0.692,0.7629,19,20,0.3446,0.5982,0.8633,24,25,0.3393,0.5445,0.7704,29,30,0.0942,0.2749,0.0838,51,202
"n_aeropuerto_internacional",0.1939,0.2675,0.376,9,10,0.1366,0.243,0.3909,14,15,0.1792,0.2679,0.9512,19,20,0.3915,0.2439,0.7382,24,25,0.4051,0.2632,0.5154,29,30,0.1614,0.1884,0.0054,51,202
"n_pista_aerea",-0.1,0.4452,0.5421,9,10,-0.1692,0.2733,0.9295,14,15,-0.1684,0.2485,0.5904,19,20,-0.1839,0.2421,0.5848,24,25,-0.1506,0.2348,0.3518,29,30,-0.0689,0.1975,0.8473,51,202
"n_muelle_embarcadero",0.1273,0.2315,0.9326,9,10,0.1588,0.2118,0.6702,14,15,0.1826,0.2154,0.6608,19,20,0.1764,0.2075,0.4403,24,25,0.1484,0.2035,0.3188,29,30,0.0017,0.1289,0.5085,51,202
"n_terminal_transbordador",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0.0246,0.0247,0.3079,29,30,-0.0207,0.0315,0.479,51,202
"n_central_camionera",-0.1333,0.4018,0.7704,9,10,-0.0901,0.3697,0.6366,14,15,-0.1675,0.3621,0.9223,19,20,-0.1785,0.3483,0.7745,24,25,-0.1544,0.3144,0.5815,29,30,0.1545,0.2939,0.6073,51,202
"n_estacion_pesaje",-0.2333,0.3803,0.8609,9,10,-0.3197,0.3241,0.5487,14,15,-0.2321,0.3263,0.2811,19,20,-0.0643,0.3223,0.1593,24,25,-0.0363,0.2786,0.3308,29,30,-0.102,0.1917,0.8886,51,202
"n_caseta_inspeccion",-1.4333,1.7688,0.1871,9,10,-1.1609,1.2252,0.1439,14,15,-0.9062,0.9551,0.1018,19,20,-0.6074,0.7854,0.0605,24,25,-0.3538,0.671,0.0485,29,30,-0.0994,0.3797,0.8383,51,202
"n_estacion_combustible",8.7848,20.6717,0.8177,9,10,25.1958,19.1483,0.8454,14,15,28.5148,19.0846,0.3894,19,20,30.8746,19.3468,0.2814,24,25,33.3083,17.813,0.2018,29,30,22.1254,14.3657,0.2169,51,202
"n_estacion_policia",-0.2333,0.3803,0.8609,9,10,-0.2785,0.3227,0.539,14,15,-0.2205,0.3158,0.3359,19,20,-0.193,0.2958,0.3249,24,25,-0.1235,0.274,0.2212,29,30,-0.0101,0.1851,0.9254,51,202
"n_oficina_gobierno",-0.6121,5.8057,0.8415,9,10,-0.7084,4.2368,0.8272,14,15,-0.5075,3.3965,0.7833,19,20,-0.263,2.8513,0.7267,24,25,0.0333,2.4345,0.6931,29,30,0.8244,1.0906,0.6186,51,202
"n_palacio_gobierno",0.5273,0.7054,0.0984,9,10,0.2729,0.4518,0.1121,14,15,0.2161,0.3984,0.2789,19,20,0.2297,0.406,0.4864,24,25,0.3053,0.4085,0.7062,29,30,0.2895,0.3184,0.9757,51,202
