"covariate","coef_h10","se_h10","pval_h10","n_l_h10","n_r_h10","coef_h15","se_h15","pval_h15","n_l_h15","n_r_h15","coef_h20","se_h20","pval_h20","n_l_h20","n_r_h20","coef_h25","se_h25","pval_h25","n_l_h25","n_r_h25","coef_h30","se_h30","pval_h30","n_l_h30","n_r_h30","coef_h201.52_OPT","se_h201.52_OPT","pval_h201.52_OPT","n_l_h201.52_OPT","n_r_h201.52_OPT"
"tdpa_avg",968.5783,11776.5379,0.7079,9,10,-556.3348,10875.3102,0.9815,14,15,928.7953,8914.8485,0.8576,19,20,1734.8106,7709.5716,0.905,24,25,2064.2445,7162.4554,0.9488,29,30,-414.7763,6159.4889,0.9853,51,202
"no_tdpa_avg",0.4848,0.6516,0.2005,9,10,0.3008,0.5206,0.2398,14,15,0.2191,0.4137,0.2639,19,20,0.1747,0.3635,0.3075,24,25,0.1361,0.3283,0.3738,29,30,0.1331,0.1602,0.2919,51,202
"punto_generador_count",-1.7606,10.3992,0.2656,9,10,0.1985,8.3386,0.5965,14,15,1.2491,7.7327,0.8234,19,20,0.8162,7.1121,0.9494,24,25,0.7125,6.4631,0.8807,29,30,-0.8927,3.3632,0.8163,51,202
"no_punto_generador_count",0.4848,0.6516,0.2005,9,10,0.3008,0.5206,0.2398,14,15,0.2191,0.4137,0.2639,19,20,0.1747,0.3635,0.3075,24,25,0.1361,0.3283,0.3738,29,30,0.1331,0.1602,0.2919,51,202
"m_avg",-1.071,2.7443,0.6003,9,10,-1.1187,2.0791,0.7186,14,15,-1.3052,1.9316,0.6608,19,20,-1.3513,1.8019,0.5362,24,25,-1.2544,1.7014,0.4475,29,30,-0.0446,1.1968,0.3879,51,202
"no_m_avg",0.4848,0.6516,0.2005,9,10,0.3008,0.5206,0.2398,14,15,0.2191,0.4137,0.2639,19,20,0.1747,0.3635,0.3075,24,25,0.1361,0.3283,0.3738,29,30,0.1331,0.1602,0.2919,51,202
"a_avg",-40.4857,53.7376,0.1608,9,10,-24.4774,42.9183,0.2219,14,15,-16.4977,34.1017,0.2431,19,20,-12.3356,29.897,0.3051,24,25,-9.5745,26.9612,0.4004,29,30,-10.9113,12.9888,0.2565,51,202
"no_a_avg",0.4848,0.6516,0.2005,9,10,0.3008,0.5206,0.2398,14,15,0.2191,0.4137,0.2639,19,20,0.1747,0.3635,0.3075,24,25,0.1361,0.3283,0.3738,29,30,0.1331,0.1602,0.2919,51,202
"b_avg",-1.7943,1.4765,0.0881,9,10,-1.4856,1.2516,0.0998,14,15,-1.2694,1.0236,0.0662,19,20,-1.1119,0.8935,0.0606,24,25,-0.899,0.8213,0.0567,29,30,-0.5895,0.5186,0.1035,51,202
"no_b_avg",0.4848,0.6516,0.2005,9,10,0.3008,0.5206,0.2398,14,15,0.2191,0.4137,0.2639,19,20,0.1747,0.3635,0.3075,24,25,0.1361,0.3283,0.3738,29,30,0.1331,0.1602,0.2919,51,202
"c2_avg",-0.9838,5.1226,0.6713,9,10,-0.2262,4.1038,0.7793,14,15,-0.4459,3.3327,0.9355,19,20,-0.4859,2.8963,0.8683,24,25,-0.3208,2.5853,0.8298,29,30,-0.9919,1.2171,0.7823,51,202
"no_c2_avg",0.4848,0.6516,0.2005,9,10,0.3008,0.5206,0.2398,14,15,0.2191,0.4137,0.2639,19,20,0.1747,0.3635,0.3075,24,25,0.1361,0.3283,0.3738,29,30,0.1331,0.1602,0.2919,51,202
"c3_avg",-0.9183,0.981,0.225,9,10,-0.4453,0.7171,0.0882,14,15,-0.2656,0.6112,0.1896,19,20,-0.1849,0.58,0.3304,24,25,-0.1488,0.5516,0.5354,29,30,-0.1187,0.3842,0.9577,51,202
"no_c3_avg",0.4848,0.6516,0.2005,9,10,0.3008,0.5206,0.2398,14,15,0.2191,0.4137,0.2639,19,20,0.1747,0.3635,0.3075,24,25,0.1361,0.3283,0.3738,29,30,0.1331,0.1602,0.2919,51,202
"t3s2_avg",-1.886,4.6132,0.99,9,10,-1.332,3.5173,0.5482,14,15,-1.3519,3.0259,0.6561,19,20,-1.3292,2.7064,0.5804,24,25,-0.9626,2.4695,0.489,29,30,-0.3358,1.5843,0.9791,51,202
"no_t3s2_avg",0.4848,0.6516,0.2005,9,10,0.3008,0.5206,0.2398,14,15,0.2191,0.4137,0.2639,19,20,0.1747,0.3635,0.3075,24,25,0.1361,0.3283,0.3738,29,30,0.1331,0.1602,0.2919,51,202
"t3s3_avg",-0.4422,0.7642,0.6849,9,10,-0.3183,0.5979,0.3979,14,15,-0.2577,0.4794,0.382,19,20,-0.2089,0.4273,0.3616,24,25,-0.1211,0.3971,0.3579,29,30,-0.0625,0.2638,0.5827,51,202
"no_t3s3_avg",0.4848,0.6516,0.2005,9,10,0.3008,0.5206,0.2398,14,15,0.2191,0.4137,0.2639,19,20,0.1747,0.3635,0.3075,24,25,0.1361,0.3283,0.3738,29,30,0.1331,0.1602,0.2919,51,202
"t3s2r4_avg",-0.8286,1.2472,0.7915,9,10,-0.6253,0.9503,0.3496,14,15,-0.4938,0.8196,0.3552,19,20,-0.4515,0.7469,0.3844,24,25,-0.3214,0.7007,0.3449,29,30,-0.2016,0.4658,0.9642,51,202
"no_t3s2r4_avg",0.4848,0.6516,0.2005,9,10,0.3008,0.5206,0.2398,14,15,0.2191,0.4137,0.2639,19,20,0.1747,0.3635,0.3075,24,25,0.1361,0.3283,0.3738,29,30,0.1331,0.1602,0.2919,51,202
"otros_avg",-0.0748,0.3617,0.9386,9,10,-0.0489,0.2844,0.7554,14,15,-0.0244,0.2386,0.7213,19,20,-0.0157,0.2148,0.7826,24,25,-0.0042,0.1992,0.8514,29,30,-0.0456,0.115,0.9813,51,202
"no_otros_avg",0.4848,0.6516,0.2005,9,10,0.3008,0.5206,0.2398,14,15,0.2191,0.4137,0.2639,19,20,0.1747,0.3635,0.3075,24,25,0.1361,0.3283,0.3738,29,30,0.1331,0.1602,0.2919,51,202
"aa_avg",-41.5567,55.7772,0.1685,9,10,-25.596,44.4744,0.2319,14,15,-17.803,35.3801,0.2505,19,20,-13.6869,31.0927,0.3068,24,25,-10.8288,28.0871,0.3936,29,30,-10.956,13.5878,0.2458,51,202
"no_aa_avg",0.4848,0.6516,0.2005,9,10,0.3008,0.5206,0.2398,14,15,0.2191,0.4137,0.2639,19,20,0.1747,0.3635,0.3075,24,25,0.1361,0.3283,0.3738,29,30,0.1331,0.1602,0.2919,51,202
"bb_avg",-1.7943,1.4765,0.0881,9,10,-1.4856,1.2516,0.0998,14,15,-1.2694,1.0236,0.0662,19,20,-1.1119,0.8935,0.0606,24,25,-0.899,0.8213,0.0567,29,30,-0.59,0.5186,0.1037,51,202
"no_bb_avg",0.4848,0.6516,0.2005,9,10,0.3008,0.5206,0.2398,14,15,0.2191,0.4137,0.2639,19,20,0.1747,0.3635,0.3075,24,25,0.1361,0.3283,0.3738,29,30,0.1331,0.1602,0.2919,51,202
"cc_avg",-5.1338,11.9923,0.7331,9,10,-2.996,9.2566,0.5191,14,15,-2.8393,7.647,0.6303,19,20,-2.676,6.7671,0.5907,24,25,-1.8789,6.1454,0.5503,29,30,-1.7595,3.593,0.9395,51,202
"no_cc_avg",0.4848,0.6516,0.2005,9,10,0.3008,0.5206,0.2398,14,15,0.2191,0.4137,0.2639,19,20,0.1747,0.3635,0.3075,24,25,0.1361,0.3283,0.3738,29,30,0.1331,0.1602,0.2919,51,202
"IM_2020",2.6196,2.7691,0.298,9,10,2.0311,2.1434,0.1937,14,15,1.842,1.7824,0.1782,19,20,1.6914,1.5171,0.1397,24,25,1.5784,1.3304,0.1176,29,30,0.745,0.7412,0.0202,51,202
"no_IM_2020",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0,0,NA,51,202
"IE",0.2897,3.1938,0.5572,9,10,0.9328,2.8227,0.787,14,15,0.8803,3.0532,0.7904,19,20,1.0949,2.9852,0.831,24,25,1.7074,2.3812,0.9978,29,30,1.8669,2.0343,0.3389,51,202
"no_IE",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0,0,NA,51,202
"TCVCU",-6.3606,6.6194,0.5453,9,10,-5.448,5.1384,0.1702,14,15,-4.1243,4.8342,0.1514,19,20,-3.2347,4.567,0.1742,24,25,-3.7062,4.5354,0.3606,29,30,-2.4668,3.7019,0.4242,51,202
"no_TCVCU",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0,0,NA,51,202
"ICE",0.9496,3.4228,0.7162,9,10,1.4598,3.0256,0.9791,14,15,1.3633,3.2275,0.6602,19,20,1.5334,3.1287,0.6966,24,25,2.1297,2.5051,0.8355,29,30,2.0793,2.1004,0.2551,51,202
"no_ICE",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0,0,NA,51,202
"VIVPAR_HAB",59365.0242,69484.2237,0.9814,9,10,66127.5002,69138.9926,0.5893,14,15,74780.3877,62578.1524,0.4423,19,20,82397.1796,55041.5717,0.2972,24,25,82667.3944,48060.4579,0.1532,29,30,55722.4406,34058.1908,0.3025,51,202
"no_VIVPAR_HAB",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0,0,NA,51,202
"POBTOT",178917.3364,205123.3887,0.7606,9,10,202448.2382,220328.4068,0.691,14,15,238262.3631,204565.9992,0.5174,19,20,267798.0945,180835.5123,0.3512,24,25,268358.8221,157900.3898,0.1719,29,30,190002.6749,121365.5307,0.4258,51,202
"no_POBTOT",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0,0,NA,51,202
"pct_VPH_SINTIC",-0.0114,0.0104,0.2227,9,10,-0.0088,0.0083,0.1392,14,15,-0.0083,0.0071,0.1493,19,20,-0.0074,0.0062,0.1037,24,25,-0.0066,0.0056,0.083,29,30,-0.0053,0.0037,0.0887,51,202
"no_pct_VPH_SINTIC",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0,0,NA,51,202
"pct_VPH_C_ELEC",0.0592,0.0495,0.4534,9,10,0.0353,0.0361,0.0727,14,15,0.0166,0.0313,0.059,19,20,0.0058,0.0284,0.1108,24,25,-0.0023,0.0269,0.2232,29,30,-0.0142,0.0155,0.5559,51,202
"no_pct_VPH_C_ELEC",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0,0,NA,51,202
"pct_VPH_AGUADV",0.1089,0.0793,0.0955,9,10,0.0768,0.0593,0.0341,14,15,0.0486,0.0499,0.0231,19,20,0.0355,0.044,0.042,24,25,0.024,0.0397,0.0652,29,30,-0.0079,0.0189,0.2898,51,202
"no_pct_VPH_AGUADV",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0,0,NA,51,202
"pct_VPH_PISODT",0.1141,0.0852,0.0999,9,10,0.0706,0.0618,0.0343,14,15,0.049,0.0511,0.0404,19,20,0.0362,0.0433,0.0485,24,25,0.0264,0.0383,0.069,29,30,0.001,0.0209,0.3998,51,202
"no_pct_VPH_PISODT",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0,0,NA,51,202
"pct_VPH_PISOTI",-0.0587,0.0989,0.2806,9,10,-0.0378,0.0683,0.3027,14,15,-0.0347,0.053,0.3576,19,20,-0.0323,0.0429,0.3121,24,25,-0.0304,0.0359,0.2672,29,30,-0.0178,0.0187,0.108,51,202
"no_pct_VPH_PISOTI",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0,0,NA,51,202
"pct_VPH_1CUART",-0.0588,0.0952,0.2182,9,10,-0.056,0.0657,0.3359,14,15,-0.0595,0.0505,0.2624,19,20,-0.0588,0.0413,0.1425,24,25,-0.0551,0.0357,0.0665,29,30,-0.0176,0.0207,0.0198,51,202
"no_pct_VPH_1CUART",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0,0,NA,51,202
"n_schools_avg",-9.6818,16.2102,0.2565,9,10,-7.3152,10.9725,0.2459,14,15,-4.0961,8.4274,0.177,19,20,-2.6329,6.8405,0.2236,24,25,-1.4173,5.8205,0.2349,29,30,0.8268,3.2651,0.9636,51,202
"no_n_schools_avg",0.6545,1.0462,0.2632,9,10,0.4515,0.7096,0.2267,14,15,0.2592,0.5429,0.1911,19,20,0.1916,0.4392,0.2401,24,25,0.1504,0.3712,0.2818,29,30,-0.1572,0.2041,0.6914,51,202
"pct_con_bebederos",-0.1506,0.222,0.2762,9,10,-0.1122,0.1525,0.2036,14,15,-0.0393,0.1203,0.113,19,20,-0.0176,0.0978,0.2202,24,25,0.0113,0.0865,0.2282,29,30,0.0399,0.0655,0.5605,51,202
"no_pct_con_bebederos",0.6545,1.0462,0.2632,9,10,0.4515,0.7096,0.2267,14,15,0.2592,0.5429,0.1911,19,20,0.1916,0.4392,0.2401,24,25,0.1504,0.3712,0.2818,29,30,-0.1572,0.2041,0.6914,51,202
"pct_con_proteccion_civil",-0.1647,0.287,0.2512,9,10,-0.1293,0.1941,0.2621,14,15,-0.1012,0.1507,0.2644,19,20,-0.0828,0.1269,0.2157,24,25,-0.0564,0.1052,0.1725,29,30,0.0619,0.0736,0.4704,51,202
"no_pct_con_proteccion_civil",0.6545,1.0462,0.2632,9,10,0.4515,0.7096,0.2267,14,15,0.2592,0.5429,0.1911,19,20,0.1916,0.4392,0.2401,24,25,0.1504,0.3712,0.2818,29,30,-0.1572,0.2041,0.6914,51,202
"pct_con_cancha",-0.3777,0.5774,0.2701,9,10,-0.259,0.3936,0.2118,14,15,-0.1164,0.3027,0.1502,19,20,-0.0595,0.2445,0.2183,24,25,-0.0257,0.2073,0.3012,29,30,0.0317,0.1214,0.7565,51,202
"no_pct_con_cancha",0.6545,1.0462,0.2632,9,10,0.4515,0.7096,0.2267,14,15,0.2592,0.5429,0.1911,19,20,0.1916,0.4392,0.2401,24,25,0.1504,0.3712,0.2818,29,30,-0.1572,0.2041,0.6914,51,202
"avg_anio_creacion",-1294.8217,2069.3268,0.2632,9,10,-893.0394,1403.6839,0.2267,14,15,-512.4987,1073.8807,0.191,19,20,-379.1927,868.7955,0.2403,24,25,-297.7298,734.2586,0.2819,29,30,313.1776,404.0018,0.6922,51,202
"no_avg_anio_creacion",0.6545,1.0462,0.2632,9,10,0.4515,0.7096,0.2267,14,15,0.2592,0.5429,0.1911,19,20,0.1916,0.4392,0.2401,24,25,0.1504,0.3712,0.2818,29,30,-0.1572,0.2041,0.6914,51,202
"km_carretera_fed",-59.1279,147.9078,0.147,9,10,1.6601,121.8367,0.3461,14,15,15.5252,111.9674,0.6953,19,20,18.9262,104.1898,0.9248,24,25,19.576,97.0843,0.9788,29,30,-1.4041,39.3103,0.9325,51,202
"km_carretera_est",-187.1129,201.6347,0.8144,9,10,-182.1364,148.1056,0.2166,14,15,-154.037,130.9459,0.116,19,20,-123.9457,119.8734,0.0842,24,25,-101.7656,110.1817,0.0852,29,30,-7.6165,81.7553,0.363,51,202
"km_cuota",-74.3046,42.1245,0.005,9,10,-51.3269,31.6794,0.0026,14,15,-36.1628,27.8322,0.0051,19,20,-28.541,25.2096,0.0163,24,25,-19.9867,23.4912,0.0229,29,30,-6.6781,13.8341,0.0266,51,202
"km_camino",-216.7514,832.7483,0.6028,9,10,-44.5097,753.2085,0.6596,14,15,12.4406,740.2261,0.8016,19,20,73.3205,717.3269,0.8591,24,25,76.913,686.3013,0.9462,29,30,-58.8743,331.1592,0.5587,51,202
"km_vereda",-10.8582,20.3636,0.2255,9,10,-5.1226,13.9206,0.3694,14,15,-6.1551,11.1231,0.5792,19,20,-7.1337,8.8747,0.5514,24,25,-6.786,7.2914,0.3538,29,30,-7.3998,4.9822,0.2635,51,202
"km_vialidad_urbana",-485.0719,402.3629,0.017,9,10,-118.0072,403.3426,0.073,14,15,97.8549,397.1243,0.2214,19,20,201.4093,380.1885,0.5106,24,25,287.8748,359.6216,0.7323,29,30,183.5289,229.082,0.7238,51,202
"km_total",-1147.732,1347.9955,0.1381,9,10,-457.0365,1242.5266,0.193,14,15,-89.5656,1219.7852,0.3569,19,20,128.7255,1176.0848,0.532,24,25,256.6224,1114.9298,0.6778,29,30,120.8751,552.6269,0.7858,51,202
"n_federal_offices",263.2636,456.3302,0.4476,9,10,184.0593,368.2822,0.3835,14,15,130.3305,306.0181,0.388,19,20,113.5525,260.9745,0.4446,24,25,106.2239,227.7013,0.4851,29,30,46.7322,60.4995,0.2456,51,202
"no_n_federal_offices",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0.0071,0.0036,0.3178,51,202
"n_aerodromes",-1.7455,6.6719,0.5803,9,10,-2.5395,4.3178,0.8718,14,15,-2.5184,3.6935,0.5683,19,20,-2.3365,3.393,0.4443,24,25,-2.0761,3.1472,0.3734,29,30,-0.4021,2.31,0.2809,51,202
"no_n_aerodromes",-0.2879,1.1312,0.7043,9,10,-0.2122,0.8074,0.6818,14,15,-0.0976,0.6506,0.5722,19,20,0.0201,0.5542,0.5761,24,25,0.0141,0.4872,0.8253,29,30,0.0848,0.255,0.5768,51,202
"n_heliports",7.1909,9.3397,0.3839,9,10,4.7319,7.5867,0.2527,14,15,3.0613,6.2332,0.2429,19,20,2.0564,5.2238,0.2744,24,25,1.6532,4.5243,0.3524,29,30,-0.2142,1.5059,0.9003,51,202
"no_n_heliports",-0.2879,1.1312,0.7043,9,10,-0.2122,0.8074,0.6818,14,15,-0.0976,0.6506,0.5722,19,20,0.0201,0.5542,0.5761,24,25,0.0141,0.4872,0.8253,29,30,0.0848,0.255,0.5768,51,202
"has_aerodrome",-0.2061,0.8,0.6905,9,10,-0.1928,0.5935,0.8765,14,15,-0.2343,0.5187,0.8016,19,20,-0.2533,0.4618,0.6845,24,25,-0.2146,0.4179,0.5027,29,30,-0.1239,0.2428,0.4823,51,202
"has_heliport",0.4273,0.6844,0.7214,9,10,0.3655,0.6249,0.6013,14,15,0.3512,0.5485,0.4759,19,20,0.2819,0.4825,0.364,24,25,0.305,0.4314,0.4603,29,30,0.0778,0.2252,0.4315,51,202
"ag_servi",0,0,0,9,10,0,0,0,14,15,0,0,0,19,20,0,0,0,24,25,0,0,0,29,30,0,0,0,51,202
"no_ag_servi",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0,0,NA,51,202
"pobl_prc",4.7937,19.1835,0.4749,9,10,5.1669,13.5385,0.7073,14,15,5.5552,11.2202,0.6047,19,20,2.8514,9.825,0.3661,24,25,1.4458,9.4773,0.4604,29,30,5.2836,7.1997,0.2268,51,202
"no_pobl_prc",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0,0,NA,51,202
"ag_dias",-4.0333,2.5128,0.1685,9,10,-3.1351,2.1232,0.0289,14,15,-2.4291,2.1198,0.0494,19,20,-1.983,1.9905,0.0696,24,25,-1.5524,1.8768,0.0882,29,30,-0.8781,1.3057,0.556,51,202
"no_ag_dias",0.8333,0.7704,0.2266,9,10,0.6489,0.5488,0.0736,14,15,0.5111,0.4567,0.0588,19,20,0.4294,0.3986,0.0586,24,25,0.3447,0.3571,0.0598,29,30,0.1555,0.2272,0.4757,51,202
"ag_horas",-11,5.953,0.2987,9,10,-8.0037,5.879,0.0241,14,15,-6.6035,6.3162,0.0986,19,20,-5.5013,6.3072,0.1251,24,25,-4.4268,6.0197,0.1584,29,30,-4.1533,4.262,0.5638,51,202
"no_ag_horas",0.8333,0.7704,0.2266,9,10,0.5896,0.5519,0.0614,14,15,0.483,0.4576,0.0812,19,20,0.4351,0.4012,0.0926,24,25,0.3713,0.3592,0.0877,29,30,0.214,0.2285,0.3592,51,202
"serv_dre",0,0,0,9,10,0,0,0,14,15,0,0,0,19,20,0,0,0,24,25,0,0,0,29,30,0.0087,0.0065,0.3436,51,202
"no_serv_dre",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0,0,NA,51,202
"dren_cab",13.4221,18.1311,0.8115,9,10,0.0238,16.5232,0.2229,14,15,-8.1356,15.1543,0.3765,19,20,-9.2402,13.7988,0.9665,24,25,-7.8966,12.741,0.5942,29,30,4.5465,7.8896,0.9345,51,202
"no_dren_cab",-0.0545,0.0303,0.3328,9,10,0.049,0.0803,0.162,14,15,0.1294,0.0952,0.4793,19,20,0.1075,0.0893,0.3069,24,25,0.0601,0.0838,0.0569,29,30,-0.0945,0.0662,0.8152,51,202
"dren_plu",0.2848,0.8282,0.7326,9,10,0.2097,0.6983,0.6041,14,15,0.1077,0.5999,0.5534,19,20,0.0078,0.5286,0.5753,24,25,0.0033,0.475,0.7675,29,30,7e-04,0.2535,0.8745,51,202
"no_dren_plu",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0,0,NA,51,202
