"covariate","coef_h0.5","se_h0.5","pval_h0.5","n_l_h0.5","n_r_h0.5","coef_h0.7529_OPT","se_h0.7529_OPT","pval_h0.7529_OPT","n_l_h0.7529_OPT","n_r_h0.7529_OPT","coef_h1","se_h1","pval_h1","n_l_h1","n_r_h1","coef_h1.5","se_h1.5","pval_h1.5","n_l_h1.5","n_r_h1.5"
"no_otros_avg",0.3981,0.5464,0.2497,21,11,0.3536,0.5018,0.2819,35,11,0.1673,0.3616,0.1771,57,14,0.0467,0.3054,0.4233,128,21
"no_aa_avg",0.3981,0.5464,0.2497,21,11,0.3536,0.5018,0.2819,35,11,0.1673,0.3616,0.1771,57,14,0.0467,0.3054,0.4233,128,21
"no_bb_avg",0.3981,0.5464,0.2497,21,11,0.3536,0.5018,0.2819,35,11,0.1673,0.3616,0.1771,57,14,0.0467,0.3054,0.4233,128,21
"no_cc_avg",0.3981,0.5464,0.2497,21,11,0.3536,0.5018,0.2819,35,11,0.1673,0.3616,0.1771,57,14,0.0467,0.3054,0.4233,128,21
"no_IM_2020",0,0,NA,21,11,0,0,NA,35,11,0,0,NA,57,14,0,0,NA,128,21
"no_IE",0,0,NA,21,11,0,0,NA,35,11,0,0,NA,57,14,0,0,NA,128,21
"no_TCVCU",0,0,NA,21,11,0,0,NA,35,11,0,0,NA,57,14,0,0,NA,128,21
"no_ICE",0,0,NA,21,11,0,0,NA,35,11,0,0,NA,57,14,0,0,NA,128,21
"no_VIVPAR_HAB",0,0,NA,21,11,0,0,NA,35,11,0,0,NA,57,14,0,0,NA,128,21
"no_POBTOT",0,0,NA,21,11,0,0,NA,35,11,0,0,NA,57,14,0,0,NA,128,21
"no_pct_VPH_SINTIC",0,0,NA,21,11,0,0,NA,35,11,0,0,NA,57,14,0,0,NA,128,21
"no_pct_VPH_C_ELEC",0,0,NA,21,11,0,0,NA,35,11,0,0,NA,57,14,0,0,NA,128,21
"no_pct_VPH_AGUADV",0,0,NA,21,11,0,0,NA,35,11,0,0,NA,57,14,0,0,NA,128,21
"no_pct_VPH_PISODT",0,0,NA,21,11,0,0,NA,35,11,0,0,NA,57,14,0,0,NA,128,21
"no_pct_VPH_PISOTI",0,0,NA,21,11,0,0,NA,35,11,0,0,NA,57,14,0,0,NA,128,21
"no_pct_VPH_1CUART",0,0,NA,21,11,0,0,NA,35,11,0,0,NA,57,14,0,0,NA,128,21
"no_n_schools_avg",-0.3515,0.3331,0.3568,21,11,-0.3138,0.3197,0.1472,35,11,-0.1667,0.293,0.1501,57,14,0.0157,0.26,0.2907,128,21
"no_pct_con_bebederos",-0.3515,0.3331,0.3568,21,11,-0.3138,0.3197,0.1472,35,11,-0.1667,0.293,0.1501,57,14,0.0157,0.26,0.2907,128,21
"no_pct_con_proteccion_civil",-0.3515,0.3331,0.3568,21,11,-0.3138,0.3197,0.1472,35,11,-0.1667,0.293,0.1501,57,14,0.0157,0.26,0.2907,128,21
"no_pct_con_cancha",-0.3515,0.3331,0.3568,21,11,-0.3138,0.3197,0.1472,35,11,-0.1667,0.293,0.1501,57,14,0.0157,0.26,0.2907,128,21
"no_avg_anio_creacion",-0.3515,0.3331,0.3568,21,11,-0.3138,0.3197,0.1472,35,11,-0.1667,0.293,0.1501,57,14,0.0157,0.26,0.2907,128,21
"no_n_federal_offices",0,0,NA,21,11,0,0,NA,35,11,0,0,NA,57,14,0.0071,0.0077,0.3231,128,21
"no_ag_servi",0,0,NA,21,11,0,0,NA,35,11,0,0,NA,57,14,0,0,NA,128,21
"no_pobl_prc",0,0,NA,21,11,0,0,NA,35,11,0,0,NA,57,14,0,0,NA,128,21
"no_ag_dias",-0.4608,0.456,0.2658,21,11,-0.4625,0.4292,0.4567,35,11,-0.3519,0.376,0.1984,57,14,-0.2842,0.3399,0.2615,128,21
"no_ag_horas",-0.4608,0.456,0.2658,21,11,-0.4625,0.4292,0.4567,35,11,-0.3031,0.3761,0.1907,57,14,-0.2776,0.3399,0.3536,128,21
"no_serv_dre",0,0,NA,21,11,0,0,NA,35,11,0,0,NA,57,14,0,0,NA,128,21
"no_dren_cab",0.0157,0.1314,0.3598,21,11,-0.0484,0.0525,0.3223,35,11,-0.0945,0.0274,0.3082,57,14,-0.0713,0.0997,0.5196,128,21
"no_dren_plu",0,0,NA,21,11,0,0,NA,35,11,0,0,NA,57,14,0,0,NA,128,21
"no_tot_conx",0,0,NA,21,11,0.0297,0.0123,0.312,35,11,-0.0294,0.0424,0.2292,57,14,-0.0228,0.0575,0.4942,128,21
"no_prest_nu",0,0,NA,21,11,0,0,NA,35,11,0.0035,0.0062,0.3103,57,14,0.0085,0.0176,0.6009,128,21
"no_n_aerodromes",-0.0849,0.9532,0.6391,21,11,-0.1312,0.6501,0.6777,35,11,-0.2356,0.5235,0.9082,57,14,-0.3372,0.3855,0.6669,128,21
"no_n_heliports",-0.0849,0.9532,0.6391,21,11,-0.1312,0.6501,0.6777,35,11,-0.2356,0.5235,0.9082,57,14,-0.3372,0.3855,0.6669,128,21
