"covariate","coef_h10","se_h10","pval_h10","n_l_h10","n_r_h10","coef_h15","se_h15","pval_h15","n_l_h15","n_r_h15","coef_h20","se_h20","pval_h20","n_l_h20","n_r_h20","coef_h25","se_h25","pval_h25","n_l_h25","n_r_h25","coef_h30","se_h30","pval_h30","n_l_h30","n_r_h30","coef_h174.11_OPT","se_h174.11_OPT","pval_h174.11_OPT","n_l_h174.11_OPT","n_r_h174.11_OPT"
"no_TCVCU",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0,0,NA,37,175
"ICE",7.3423,5.6387,0.4894,9,10,6.8477,5.9831,0.2985,14,15,5.6552,5.6986,0.1761,19,20,4.0135,5.4117,0.1336,24,25,1.8955,5.1735,0.1062,29,30,0.3266,2.3102,0.5555,37,175
"no_ICE",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0,0,NA,37,175
"VIVPAR_HAB",75297.0545,64660.7714,0.0132,9,10,32895.1719,60871.8887,0.0923,14,15,7051.2885,58403.1359,0.1843,19,20,-15497.5503,55470.6962,0.3025,24,25,-34435.1598,52697.9527,0.4457,29,30,-7928.0995,36223.1991,0.1358,37,175
"no_VIVPAR_HAB",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0,0,NA,37,175
"POBTOT",294460.3848,214387.8735,0.0067,9,10,136649.4758,210217.0547,0.059,14,15,35394.4839,206103.0984,0.136,19,20,-45389.5579,198619.5546,0.2623,24,25,-113597.659,188004.8435,0.4028,29,30,-25771.1736,134415.3076,0.12,37,175
"no_POBTOT",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0,0,NA,37,175
"pct_VPH_SINTIC",-0.0024,0.0038,0.0213,9,10,-0.0021,0.0029,0.1928,14,15,-5e-04,0.0026,0.1351,19,20,5e-04,0.0024,0.2712,24,25,0.0013,0.0023,0.4265,29,30,-0.002,0.0021,0.2559,37,175
"no_pct_VPH_SINTIC",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0,0,NA,37,175
"pct_VPH_C_ELEC",0.0352,0.0401,0.0549,9,10,0.0374,0.0434,0.3619,14,15,0.0294,0.0431,0.2955,19,20,0.027,0.0406,0.3421,24,25,0.0248,0.0372,0.3479,29,30,-0.004,0.0268,0.9661,37,175
"no_pct_VPH_C_ELEC",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0,0,NA,37,175
"pct_VPH_AGUADV",0.0821,0.0865,0.0525,9,10,0.0698,0.0664,0.1382,14,15,0.0529,0.0576,0.107,19,20,0.0416,0.0514,0.1184,24,25,0.0338,0.046,0.1381,29,30,-0.0067,0.0318,0.6972,37,175
"no_pct_VPH_AGUADV",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0,0,NA,37,175
"pct_VPH_PISODT",0.0456,0.0587,0.029,9,10,0.0389,0.0517,0.2624,14,15,0.0258,0.0482,0.2443,19,20,0.019,0.0449,0.3164,24,25,0.0135,0.0413,0.3664,29,30,-0.0098,0.0295,0.7999,37,175
"no_pct_VPH_PISODT",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0,0,NA,37,175
"pct_VPH_PISOTI",-0.0111,0.0396,0.1623,9,10,-0.002,0.0274,0.4718,14,15,0.0034,0.0222,0.5806,19,20,0.0084,0.0203,0.7121,24,25,0.0119,0.0191,0.8807,29,30,0.0038,0.0121,0.3415,37,175
"no_pct_VPH_PISOTI",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0,0,NA,37,175
"pct_VPH_1CUART",-0.0259,0.0581,0.4234,9,10,-0.0075,0.0397,0.3012,14,15,0.0092,0.0304,0.3512,19,20,0.0187,0.0267,0.5814,24,25,0.0289,0.0239,0.7507,29,30,0.0235,0.0175,0.0429,37,175
"no_pct_VPH_1CUART",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0,0,NA,37,175
"n_schools_avg",-6,7.6572,0.4224,9,10,-3.7802,7.4778,0.2473,14,15,-2.5894,6.4012,0.3595,19,20,-2.6205,6.0015,0.5438,24,25,-3.3532,5.3128,0.665,29,30,-0.9899,3.6395,0.5628,37,175
"no_n_schools_avg",0.3,0.5026,0.4599,9,10,0.3159,0.4899,0.4904,14,15,0.2413,0.4127,0.333,19,20,0.211,0.3636,0.3819,24,25,0.2399,0.3254,0.4906,29,30,0.0702,0.2571,0.5821,37,175
"pct_con_bebederos",-0.1662,0.2051,0.418,9,10,-0.0929,0.2003,0.2157,14,15,-0.0525,0.1719,0.3292,19,20,-0.0544,0.1608,0.5963,24,25,-0.0845,0.1419,0.8097,29,30,-0.0515,0.0971,0.7046,37,175
"no_pct_con_bebederos",0.3,0.5026,0.4599,9,10,0.3159,0.4899,0.4904,14,15,0.2413,0.4127,0.333,19,20,0.211,0.3636,0.3819,24,25,0.2399,0.3254,0.4906,29,30,0.0702,0.2571,0.5821,37,175
"pct_con_proteccion_civil",0.0292,0.1278,0.7412,9,10,-0.0774,0.1722,0.6453,14,15,-0.1028,0.1035,0.8245,19,20,-0.1051,0.0699,0.3157,24,25,-0.1132,0.0765,0.2892,29,30,-0.0117,0.1127,0.4662,37,175
"no_pct_con_proteccion_civil",0.3,0.5026,0.4599,9,10,0.3159,0.4899,0.4904,14,15,0.2413,0.4127,0.333,19,20,0.211,0.3636,0.3819,24,25,0.2399,0.3254,0.4906,29,30,0.0702,0.2571,0.5821,37,175
"pct_con_cancha",-0.2423,0.3639,0.4449,9,10,-0.2209,0.3485,0.4068,14,15,-0.1514,0.2991,0.3005,19,20,-0.1382,0.2642,0.4291,24,25,-0.1726,0.2357,0.5791,29,30,-0.1173,0.175,0.5912,37,175
"no_pct_con_cancha",0.3,0.5026,0.4599,9,10,0.3159,0.4899,0.4904,14,15,0.2413,0.4127,0.333,19,20,0.211,0.3636,0.3819,24,25,0.2399,0.3254,0.4906,29,30,0.0702,0.2571,0.5821,37,175
"avg_anio_creacion",-595.7369,997.3661,0.4598,9,10,-626.3762,972.0471,0.4896,14,15,-478.9203,818.8994,0.3335,19,20,-418.9888,721.498,0.3823,24,25,-476.2753,645.7058,0.4905,29,30,-137.3348,510.0051,0.579,37,175
"no_avg_anio_creacion",0.3,0.5026,0.4599,9,10,0.3159,0.4899,0.4904,14,15,0.2413,0.4127,0.333,19,20,0.211,0.3636,0.3819,24,25,0.2399,0.3254,0.4906,29,30,0.0702,0.2571,0.5821,37,175
"km_carretera_fed",-14.4565,119.9677,0.9596,9,10,-13.8831,92.4892,0.7596,14,15,-11.5012,77.6441,0.7333,19,20,-13.8177,71.3332,0.854,24,25,-25.4078,68.2836,0.9537,29,30,-49.801,46.7367,0.3958,37,175
"km_carretera_est",32.7546,55.7627,0.7277,9,10,-1.6013,49.9894,0.6243,14,15,42.5045,58.6068,0.4084,19,20,58.2244,48.8122,0.921,24,25,39.0247,54.7284,0.3062,29,30,-4.5131,64.262,0.7246,37,175
"km_cuota",-37.927,48.0531,0.6275,9,10,-30.5224,36.848,0.2407,14,15,-27.8178,30.7715,0.2535,19,20,-25.4723,27.5956,0.2437,24,25,-25.2206,24.4277,0.2555,29,30,-14.2652,18.7927,0.042,37,175
"km_camino",8.4791,297.5255,0.8872,9,10,-71.6877,246.8399,0.8018,14,15,98.8154,275.4283,0.2164,19,20,150.749,228.852,0.6838,24,25,35.7346,307.1943,0.4949,29,30,-350.1317,339.8518,0.4479,37,175
"km_vereda",1.9069,3.0586,0.1224,9,10,7.2164,2.7089,0.7116,14,15,6.4389,4.5671,0.2003,19,20,5.4071,5.2696,0.1675,24,25,4.5624,5.3343,0.1725,29,30,-3.2935,3.5085,0.0848,37,175
"km_vialidad_urbana",-393.7373,405.0969,0.1182,9,10,-342.846,341.6474,0.1068,14,15,-395.2898,312.3345,0.3341,19,20,-463.2216,308.0456,0.3084,24,25,-499.0781,285.5613,0.2401,29,30,-142.1321,251.2872,0.1343,37,175
"km_total",-484.1412,859.0238,0.2946,9,10,-528.9818,647.6907,0.2376,14,15,-365.8231,610.4126,0.1795,19,20,-362.9428,542.9481,0.3229,24,25,-538.9745,597.8526,0.7729,29,30,-568.6753,580.864,0.7052,37,175
"n_federal_offices",33.6576,48.313,0.4562,9,10,8.008,45.214,0.249,14,15,16.9181,35.854,0.7455,19,20,41.3856,48.9586,0.7129,24,25,45.7485,51.0168,0.7508,29,30,-5.5038,60.2299,0.0601,37,175
"no_n_federal_offices",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0.0017,0.0087,0.3171,37,175
"n_aerodromes",0.0545,0.0793,0.3147,9,10,-0.33,0.3568,0.2846,14,15,0.6877,0.8223,0.0912,19,20,1.2097,0.6686,0.3625,24,25,1.1992,0.5816,0.4255,29,30,0.7827,1.7591,0.8391,37,175
"no_n_aerodromes",-0.5242,0.6099,0.3757,9,10,-0.6309,0.5217,0.4379,14,15,-0.6162,0.4858,0.2343,19,20,-0.6146,0.4435,0.1677,24,25,-0.5398,0.4069,0.0821,29,30,-0.1002,0.2599,0.0379,37,175
"n_heliports",0.7545,1.1068,0.7966,9,10,1.6692,1.3116,0.7022,14,15,1.4434,1.1003,0.1785,19,20,1.603,1.24,0.2755,24,25,1.6432,1.3499,0.28,29,30,0.7464,0.9727,0.1235,37,175
"no_n_heliports",-0.5242,0.6099,0.3757,9,10,-0.6309,0.5217,0.4379,14,15,-0.6162,0.4858,0.2343,19,20,-0.6146,0.4435,0.1677,24,25,-0.5398,0.4069,0.0821,29,30,-0.1002,0.2599,0.0379,37,175
"has_aerodrome",0.0545,0.0793,0.3147,9,10,0.1452,0.0877,0.3381,14,15,0.2454,0.1402,0.979,19,20,0.2348,0.1612,0.2819,24,25,0.1866,0.1613,0.0877,29,30,-0.06,0.1303,0.1289,37,175
"has_heliport",0.4697,0.6139,0.2515,9,10,0.5221,0.529,0.3961,14,15,0.3261,0.4907,0.1622,19,20,0.2642,0.4471,0.2362,24,25,0.1982,0.409,0.2598,29,30,0.0221,0.2589,0.3119,37,175
"ag_servi",0,0,0,9,10,0,0,0,14,15,0,0,0,19,20,0,0,0,24,25,0,0,0,29,30,0,0,NA,37,175
"no_ag_servi",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0,0,NA,37,175
"pobl_prc",31.1495,56.9862,0.4914,9,10,33.1678,48.8733,0.5462,14,15,27.9113,40.958,0.3923,19,20,24.2697,34.9813,0.3253,24,25,23.3174,30.6309,0.3327,29,30,23.395,22.6144,0.4158,37,175
"no_pobl_prc",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0,0,NA,37,175
"ag_dias",-0.24,3.2054,0.9117,9,10,-0.6682,2.8183,0.9562,14,15,-0.1266,2.7583,0.7096,19,20,0.0963,2.605,0.8257,24,25,-0.1427,2.4338,0.9794,29,30,-1.3087,1.7402,0.8632,37,175
"no_ag_dias",-0.0242,0.4722,0.9687,9,10,0.095,0.4137,0.7601,14,15,0.0555,0.3999,0.8336,19,20,0.0283,0.3746,0.8407,24,25,0.061,0.3498,0.9737,29,30,0.211,0.2598,0.9685,37,175
"ag_horas",5.7718,12.3273,0.9449,9,10,3.128,10.7781,0.4907,14,15,3.3521,10.1765,0.7209,19,20,2.7653,9.1861,0.6221,24,25,1.3409,8.4015,0.5378,29,30,-4.271,5.1036,0.7455,37,175
"no_ag_horas",-0.2424,0.6206,0.8733,9,10,-0.1153,0.5417,0.5422,14,15,-0.1315,0.5023,0.7795,19,20,-0.1368,0.4598,0.749,24,25,-0.0858,0.4225,0.6344,29,30,0.1841,0.2654,0.7709,37,175
"serv_dre",0,0,0,9,10,0,0,0,14,15,0,0,0,19,20,0,0,0,24,25,0,0,0,29,30,2e-04,0.0079,0.265,37,175
"no_serv_dre",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0,0,NA,37,175
"dren_cab",26.4313,75.3428,0.8868,9,10,27.4503,57.1762,0.6555,14,15,23.9476,49.1586,0.5278,19,20,19.5162,43.7968,0.47,24,25,16.8267,39.3671,0.4765,29,30,13.5785,25.0921,0.4142,37,175
"no_dren_cab",-0.2818,0.7977,0.9889,9,10,-0.2732,0.6023,0.6451,14,15,-0.234,0.5149,0.5347,19,20,-0.2196,0.4564,0.5297,24,25,-0.196,0.4098,0.4891,29,30,-0.1537,0.2539,0.2037,37,175
"dren_plu",0.5818,0.5359,0.0627,9,10,0.6587,0.4195,0.1369,14,15,0.6416,0.3804,0.0745,19,20,0.5296,0.3575,0.0282,24,25,0.4894,0.3376,0.0405,29,30,0.272,0.2147,0.0113,37,175
"no_dren_plu",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0,0,NA,37,175
"tot_conx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"no_tot_conx",0.3273,0.368,0.3382,9,10,0.2676,0.3515,0.31,14,15,0.2221,0.3185,0.3026,19,20,0.2183,0.288,0.3593,24,25,0.1903,0.2581,0.2865,29,30,0.0293,0.0809,0.1705,37,175
"prest_nu",-0.0364,0.056,0.3423,9,10,-0.0191,0.0683,0.8072,14,15,0.0374,0.0517,0.3757,19,20,0.1043,0.087,0.5222,24,25,0.1297,0.107,0.9811,29,30,0.8704,0.9703,0.4459,37,175
"no_prest_nu",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,2e-04,0.0079,0.265,37,175
"n_sites_total",138.9697,133.9101,0.7097,9,10,114.8145,134.3256,0.3315,14,15,85.8129,131.4621,0.3124,19,20,67.5574,122.698,0.3225,24,25,38.6677,115.3914,0.2634,29,30,-15.8851,45.4253,0.5653,37,175
"n_aduana",0.3333,0.9528,0.3423,9,10,-0.3791,0.6983,0.2938,14,15,-0.4982,0.2628,0.9594,19,20,-0.5014,0.309,0.3326,24,25,-0.4707,0.4413,0.3151,29,30,-0.0084,0.659,0.3383,37,175
"n_puerto",0,0.2346,0.2832,9,10,0.2613,0.1794,0.1529,14,15,0.2732,0.2011,0.3739,19,20,0.211,0.273,0.2808,24,25,0.2378,0.3324,0.4819,29,30,0.2573,0.2346,0.0215,37,175
"n_puerto_fronterizo",0.2667,0.7623,0.3423,9,10,-0.3197,0.559,0.2928,14,15,-0.3321,0.2496,0.6233,19,20,-0.3004,0.2556,0.3029,24,25,-0.3111,0.3728,0.475,29,30,0.3161,0.6836,0.1866,37,175
"n_terminal_multimodal",0.6182,0.4572,0.7464,9,10,0.2135,0.6627,0.2287,14,15,-0.0282,0.3979,0.1461,19,20,-0.1279,0.288,0.309,24,25,-0.1432,0.3241,0.7958,29,30,-0.2299,0.4125,0.5311,37,175
"n_estacion_ferrocarril",0,0,NA,9,10,0.0286,0.0547,0.2959,14,15,0.0304,0.0278,0.2955,19,20,0.0059,0.0698,0.5711,24,25,0.002,0.0675,0.6321,29,30,0.0739,0.0961,0.6823,37,175
"n_zona_industrial",0.1,0.0932,0.7592,9,10,0.0468,0.2004,0.807,14,15,0.0148,0.1233,0.4963,19,20,-0.0102,0.1661,0.6501,24,25,-0.0424,0.1584,0.6184,29,30,0.038,0.1956,0.8053,37,175
"n_almacen",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0.05,0.1053,0.3421,24,25,0.133,0.099,0.3172,29,30,-0.0108,0.2446,0.3121,37,175
"n_zona_libre",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0.0455,0.0195,0.4156,37,175
"n_aeropuerto",-0.0182,1.6458,0.6822,9,10,-0.3153,1.098,0.8408,14,15,-0.5201,0.9252,1,19,20,-0.5014,0.8401,0.6494,24,25,-0.559,0.7713,0.6453,29,30,-0.3574,0.604,0.5232,37,175
"n_aeropuerto_internacional",0.0333,1.3257,0.5941,9,10,-0.3177,0.8227,0.7241,14,15,-0.5152,0.7422,0.9844,19,20,-0.6366,0.7117,0.7758,24,25,-0.7414,0.6798,0.6555,29,30,-0.3989,0.5617,0.2644,37,175
"n_pista_aerea",0,0,NA,9,10,0.0599,0.1307,0.22,14,15,0.1421,0.1202,0.4731,19,20,0.1352,0.156,0.5588,24,25,0.063,0.1434,0.1458,29,30,-0.2074,0.1073,0.1118,37,175
"n_muelle_embarcadero",-0.1,0.4452,0.5421,9,10,-0.1692,0.2733,0.9295,14,15,-0.1957,0.2497,0.6624,19,20,-0.1598,0.2433,0.3626,24,25,-0.0982,0.2336,0.2792,29,30,-0.1948,0.2212,0.7859,37,175
"n_terminal_transbordador",0,0,NA,9,10,0.0615,0.0379,0.8167,14,15,0.0158,0.0865,0.3127,19,20,-0.0183,0.0781,0.3079,24,25,-0.0374,0.0495,0.3128,29,30,-0.0671,0.0298,0.2868,37,175
"n_central_camionera",0.4,0.5076,0.7202,9,10,0.4191,0.5326,0.5146,14,15,0.5672,0.5384,0.6845,19,20,0.6093,0.5059,0.4161,24,25,0.49,0.4858,0.1677,29,30,0.2486,0.2768,0.2398,37,175
"n_estacion_pesaje",0.3,0.2796,0.7592,9,10,-0.0939,0.4543,0.292,14,15,-0.1889,0.2288,0.5879,19,20,-0.2104,0.0997,0.6914,24,25,-0.2639,0.1599,0.6107,29,30,-0.1988,0.3065,0.5865,37,175
"n_caseta_inspeccion",0.2,0.1423,0.6158,9,10,0.0853,0.3085,0.7902,14,15,0.0566,0.208,0.5471,19,20,0.0235,0.3135,0.6428,24,25,-0.1354,0.2838,0.3504,29,30,-0.257,0.1824,0.5508,37,175
"n_estacion_combustible",48.0364,44.9941,0.4682,9,10,38.6801,40.512,0.2866,14,15,21.2325,38.4176,0.1595,19,20,7.3855,35.7847,0.1883,24,25,-5.9009,33.4557,0.2146,29,30,-4.9258,18.5918,0.3205,37,175
"n_estacion_policia",0,0,NA,9,10,0.016,0.1106,0.3185,14,15,0.0725,0.064,0.7049,19,20,0.0613,0.137,0.7444,24,25,0.0223,0.1323,0.454,29,30,-0.0085,0.0787,0.1223,37,175
"n_oficina_gobierno",1.2909,0.9223,0.9328,9,10,0.5984,0.9126,0.0813,14,15,0.4065,0.8895,0.4111,19,20,0.5977,0.804,0.6113,24,25,0.3005,0.7553,0.2417,29,30,0.3087,0.901,0.1803,37,175
"n_palacio_gobierno",-0.0727,0.07,0.2633,9,10,0.0246,0.1576,0.2012,14,15,0.076,0.1499,0.5917,19,20,0.0886,0.1743,0.998,24,25,0.0712,0.1551,0.6242,29,30,0.2598,0.1998,0.3862,37,175
"n_palacio_justicia",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0.0348,0.0331,0.0964,24,25,0.034,0.024,0.8017,29,30,-0.0045,0.0643,0.0368,37,175
