"covariate","coef_h10","se_h10","pval_h10","n_l_h10","n_r_h10","coef_h15","se_h15","pval_h15","n_l_h15","n_r_h15","coef_h20","se_h20","pval_h20","n_l_h20","n_r_h20","coef_h25","se_h25","pval_h25","n_l_h25","n_r_h25","coef_h30","se_h30","pval_h30","n_l_h30","n_r_h30","coef_h174.11_OPT","se_h174.11_OPT","pval_h174.11_OPT","n_l_h174.11_OPT","n_r_h174.11_OPT"
"tdpa_avg",-125.3701,13348.1659,0.4599,9,10,331.9728,12197.0481,0.8367,14,15,-2296.1993,10909.7655,0.7918,19,20,-3256.8544,9914.452,0.923,24,25,-2867.0848,8963.1519,0.7846,29,30,-1036.8454,5074.3855,0.5793,37,175
"no_tdpa_avg",0.2727,0.3693,0.3012,9,10,0.2668,0.3616,0.4663,14,15,0.308,0.3244,0.4111,19,20,0.2402,0.2978,0.2235,24,25,0.2075,0.2742,0.2168,29,30,0.1785,0.1198,0.0212,37,175
"punto_generador_count",-8.7364,6.4475,0.005,9,10,-5.1195,5.9216,0.0476,14,15,-3.3603,5.8118,0.0869,19,20,-1.6319,5.5412,0.1784,24,25,-2.5013,5.4521,0.569,29,30,-4.6604,3.1522,0.2791,37,175
"no_punto_generador_count",0.2727,0.3693,0.3012,9,10,0.2668,0.3616,0.4663,14,15,0.308,0.3244,0.4111,19,20,0.2402,0.2978,0.2235,24,25,0.2075,0.2742,0.2168,29,30,0.1785,0.1198,0.0212,37,175
"m_avg",-0.7403,1.6998,0.1492,9,10,0.2114,1.4639,0.3645,14,15,0.2595,1.36,0.8332,19,20,0.4904,1.2559,0.8541,24,25,0.5763,1.1621,0.966,29,30,0.6499,0.771,0.8914,37,175
"no_m_avg",0.2727,0.3693,0.3012,9,10,0.2668,0.3616,0.4663,14,15,0.308,0.3244,0.4111,19,20,0.2402,0.2978,0.2235,24,25,0.2075,0.2742,0.2168,29,30,0.1785,0.1198,0.0212,37,175
"a_avg",-20.829,30.7656,0.377,9,10,-20.4737,29.7393,0.5272,14,15,-24.2802,26.5871,0.4528,19,20,-18.792,24.2834,0.2457,24,25,-15.8521,22.2569,0.2259,29,30,-12.7019,10.1236,0.0447,37,175
"no_a_avg",0.2727,0.3693,0.3012,9,10,0.2668,0.3616,0.4663,14,15,0.308,0.3244,0.4111,19,20,0.2402,0.2978,0.2235,24,25,0.2075,0.2742,0.2168,29,30,0.1785,0.1198,0.0212,37,175
"b_avg",-2.3787,1.0209,0.0095,9,10,-2.1004,1.0356,0.0117,14,15,-1.7862,0.9684,0.0075,19,20,-1.3233,0.9219,0.005,24,25,-1.1018,0.8627,0.0121,29,30,-0.7423,0.6182,0.0388,37,175
"no_b_avg",0.2727,0.3693,0.3012,9,10,0.2668,0.3616,0.4663,14,15,0.308,0.3244,0.4111,19,20,0.2402,0.2978,0.2235,24,25,0.2075,0.2742,0.2168,29,30,0.1785,0.1198,0.0212,37,175
"c2_avg",-1.247,2.373,0.0761,9,10,-0.7974,2.3344,0.4462,14,15,-0.9411,2.1089,0.5636,19,20,-0.6545,1.9892,0.5133,24,25,-0.7497,1.8747,0.6597,29,30,-1.427,1.0006,0.3833,37,175
"no_c2_avg",0.2727,0.3693,0.3012,9,10,0.2668,0.3616,0.4663,14,15,0.308,0.3244,0.4111,19,20,0.2402,0.2978,0.2235,24,25,0.2075,0.2742,0.2168,29,30,0.1785,0.1198,0.0212,37,175
"c3_avg",-0.6346,1.046,0.6565,9,10,-0.913,0.9711,0.6355,14,15,-0.9902,0.8836,0.387,19,20,-0.8992,0.8037,0.2089,24,25,-0.8572,0.737,0.1671,29,30,-0.7145,0.4342,0.0053,37,175
"no_c3_avg",0.2727,0.3693,0.3012,9,10,0.2668,0.3616,0.4663,14,15,0.308,0.3244,0.4111,19,20,0.2402,0.2978,0.2235,24,25,0.2075,0.2742,0.2168,29,30,0.1785,0.1198,0.0212,37,175
"t3s2_avg",-0.3742,2.9794,0.7798,9,10,-1.2179,2.9709,0.9025,14,15,-1.5908,2.578,0.8017,19,20,-1.5157,2.3578,0.5687,24,25,-1.5488,2.1548,0.5241,29,30,-1.7791,1.6338,0.1241,37,175
"no_t3s2_avg",0.2727,0.3693,0.3012,9,10,0.2668,0.3616,0.4663,14,15,0.308,0.3244,0.4111,19,20,0.2402,0.2978,0.2235,24,25,0.2075,0.2742,0.2168,29,30,0.1785,0.1198,0.0212,37,175
"t3s3_avg",-0.0917,0.8673,0.7506,9,10,-0.2775,0.7074,0.9792,14,15,-0.4153,0.6004,0.8974,19,20,-0.385,0.5401,0.5392,24,25,-0.3609,0.493,0.4136,29,30,-0.3779,0.3337,0.308,37,175
"no_t3s3_avg",0.2727,0.3693,0.3012,9,10,0.2668,0.3616,0.4663,14,15,0.308,0.3244,0.4111,19,20,0.2402,0.2978,0.2235,24,25,0.2075,0.2742,0.2168,29,30,0.1785,0.1198,0.0212,37,175
"t3s2r4_avg",-0.8524,1.1765,0.5267,9,10,-0.9206,1.0909,0.3858,14,15,-0.8261,0.955,0.2986,19,20,-0.7227,0.8576,0.2245,24,25,-0.6603,0.7777,0.229,29,30,-0.6019,0.599,0.2105,37,175
"no_t3s2r4_avg",0.2727,0.3693,0.3012,9,10,0.2668,0.3616,0.4663,14,15,0.308,0.3244,0.4111,19,20,0.2402,0.2978,0.2235,24,25,0.2075,0.2742,0.2168,29,30,0.1785,0.1198,0.0212,37,175
"otros_avg",-0.1249,0.2993,0.7934,9,10,-0.1916,0.2565,0.7778,14,15,-0.2339,0.2292,0.5657,19,20,-0.2169,0.2091,0.3036,24,25,-0.1971,0.1924,0.2052,29,30,-0.1504,0.1279,0.077,37,175
"no_otros_avg",0.2727,0.3693,0.3012,9,10,0.2668,0.3616,0.4663,14,15,0.308,0.3244,0.4111,19,20,0.2402,0.2978,0.2235,24,25,0.2075,0.2742,0.2168,29,30,0.1785,0.1198,0.0212,37,175
"aa_avg",-21.5693,32.1102,0.3561,9,10,-20.2623,30.946,0.5154,14,15,-24.0206,27.6191,0.4635,19,20,-18.3016,25.1701,0.2589,24,25,-15.2759,23.0503,0.2431,29,30,-12.0522,10.5206,0.0522,37,175
"no_aa_avg",0.2727,0.3693,0.3012,9,10,0.2668,0.3616,0.4663,14,15,0.308,0.3244,0.4111,19,20,0.2402,0.2978,0.2235,24,25,0.2075,0.2742,0.2168,29,30,0.1785,0.1198,0.0212,37,175
"bb_avg",-2.3787,1.0209,0.0095,9,10,-2.1004,1.0356,0.0117,14,15,-1.7862,0.9684,0.0075,19,20,-1.3233,0.9219,0.005,24,25,-1.1018,0.8627,0.0121,29,30,-0.7424,0.6182,0.039,37,175
"no_bb_avg",0.2727,0.3693,0.3012,9,10,0.2668,0.3616,0.4663,14,15,0.308,0.3244,0.4111,19,20,0.2402,0.2978,0.2235,24,25,0.2075,0.2742,0.2168,29,30,0.1785,0.1198,0.0212,37,175
"cc_avg",-3.3247,8.0652,0.4645,9,10,-4.318,7.6592,0.6381,14,15,-5.0003,6.7922,0.5731,19,20,-4.3975,6.2442,0.4011,24,25,-4.3758,5.7262,0.4017,29,30,-5.0486,3.5828,0.099,37,175
"no_cc_avg",0.2727,0.3693,0.3012,9,10,0.2668,0.3616,0.4663,14,15,0.308,0.3244,0.4111,19,20,0.2402,0.2978,0.2235,24,25,0.2075,0.2742,0.2168,29,30,0.1785,0.1198,0.0212,37,175
"IM_2020",1.4503,1.8294,0.0714,9,10,1.0856,1.3663,0.1532,14,15,0.5193,1.1386,0.1082,19,20,0.1203,1.0271,0.1668,24,25,-0.2181,0.9521,0.2458,29,30,-0.3087,0.6516,0.8465,37,175
"no_IM_2020",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0,0,NA,37,175
"IE",6.9922,5.6544,0.5791,9,10,6.5747,5.9349,0.3326,14,15,5.5326,5.6351,0.1982,19,20,3.9892,5.335,0.1454,24,25,1.9581,5.0856,0.1119,29,30,0.3857,2.2497,0.5322,37,175
"no_IE",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0,0,NA,37,175
"TCVCU",-2.8,2.7245,0.1001,9,10,-2.914,1.8492,0.0701,14,15,-1.9381,1.876,0.034,19,20,-1.1362,1.8015,0.0541,24,25,-0.6688,1.6691,0.0961,29,30,-2.2854,2.2254,0.7724,37,175
