"covariate","coef_h10","se_h10","pval_h10","n_l_h10","n_r_h10","coef_h15","se_h15","pval_h15","n_l_h15","n_r_h15","coef_h20","se_h20","pval_h20","n_l_h20","n_r_h20","coef_h25","se_h25","pval_h25","n_l_h25","n_r_h25","coef_h30","se_h30","pval_h30","n_l_h30","n_r_h30","coef_h172.36_OPT","se_h172.36_OPT","pval_h172.36_OPT","n_l_h172.36_OPT","n_r_h172.36_OPT"
"dist_any_edge",2.3319,10.8408,0.8071,9,10,11.5135,12.234,0.6257,14,15,-1.1318,15.8318,0.1784,19,20,-8.9371,12.4296,0.2112,24,25,-12.0242,9.0246,0.4933,29,30,-7.5903,9.9354,0.1273,60,173
"n_any_25km_edge",-1.1273,1.3308,0.1377,9,10,-0.6234,1.052,0.2351,14,15,-0.3043,0.9926,0.3095,19,20,-0.4543,0.8999,0.6058,24,25,-0.339,0.863,0.4618,29,30,-0.4711,0.7951,0.6342,60,173
"n_any_50km_edge",1.0273,3.2843,0.9886,9,10,0.2314,2.8769,0.5845,14,15,0.2952,2.644,0.8379,19,20,-0.3116,2.3953,0.7166,24,25,-0.3213,2.1787,0.9173,29,30,-0.6721,1.1219,0.6827,60,173
"n_any_100km_edge",-2.0667,5.3438,0.171,9,10,-1.58,5.0032,0.6203,14,15,-0.9272,4.7187,0.625,19,20,-1.7788,4.3703,0.8603,24,25,-1.6618,4.0425,0.712,29,30,-1.4559,2.2915,0.4516,60,173
"n_hosted",-0.1061,0.9014,0.2218,9,10,-0.1796,0.7415,0.9336,14,15,0.089,0.622,0.6146,19,20,0.2827,0.5148,0.6327,24,25,0.415,0.4593,0.8008,29,30,0.2368,0.3327,0.1229,60,173
"hosts_any",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"km_ferrocarril_total",-17.5258,21.636,0.9209,9,10,-7.2735,16.3477,0.0984,14,15,-3.3164,16.7011,0.3567,19,20,-1.2934,16.7118,0.5556,24,25,-0.3603,15.2078,0.6752,29,30,17.6879,13.5776,0.4993,60,173
"km_ferrocarril_operacion",0.995,32.9496,0.4044,9,10,3.5865,23.4679,0.8915,14,15,5.5373,21.4568,0.9669,19,20,5.9282,20.2696,0.8764,24,25,6.6715,18.0707,0.8459,29,30,15.5039,13.7856,0.3097,60,173
"km_ferrocarril_sin_uso",-18.5208,13.6901,0.0305,9,10,-10.86,10.0895,0.0183,14,15,-8.8537,8.6201,0.0589,19,20,-7.2217,7.3867,0.0783,24,25,-7.0318,6.2014,0.111,29,30,2.184,4.6474,0.2986,60,173
"km_ferrocarril_carga",2.1573,32.937,0.411,9,10,3.7422,23.5701,0.9346,14,15,4.8288,21.5508,0.9285,19,20,4.7356,20.2736,0.8532,24,25,5.1798,18.0717,0.8473,29,30,12.0441,13.6969,0.3255,60,173
"km_ferrocarril_pasajeros",0.1572,0.2811,0.2633,9,10,0.0933,0.2333,0.3285,14,15,-0.0455,0.2445,0.3035,19,20,-0.0727,0.4814,0.9082,24,25,-0.0105,0.1937,0.5887,29,30,2.2884,2.2982,0.695,60,173
