"covariate","coef_h10","se_h10","pval_h10","n_l_h10","n_r_h10","coef_h15","se_h15","pval_h15","n_l_h15","n_r_h15","coef_h20","se_h20","pval_h20","n_l_h20","n_r_h20","coef_h25","se_h25","pval_h25","n_l_h25","n_r_h25","coef_h30","se_h30","pval_h30","n_l_h30","n_r_h30","coef_h172.36_OPT","se_h172.36_OPT","pval_h172.36_OPT","n_l_h172.36_OPT","n_r_h172.36_OPT"
"pct_VPH_PISOTI",-0.0247,0.0284,0.1636,9,10,-0.0121,0.0214,0.2015,14,15,-0.009,0.0198,0.3348,19,20,-0.0077,0.0159,0.4049,24,25,-0.0102,0.0135,0.6295,29,30,-0.0135,0.0099,0.2132,60,173
"no_pct_VPH_PISOTI",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0,0,NA,60,173
"pct_VPH_1CUART",-0.0129,0.0327,0.7917,9,10,-0.0067,0.0268,0.8271,14,15,-0.0054,0.0272,0.863,19,20,-0.0109,0.0242,0.9167,24,25,-0.0174,0.0227,0.8629,29,30,-0.0114,0.0168,0.2921,60,173
"no_pct_VPH_1CUART",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0,0,NA,60,173
"n_schools_avg",1.2909,9.7062,0.5791,9,10,3.1894,8.3701,0.9773,14,15,2.3058,7.745,0.6899,19,20,1.8282,7.0371,0.6637,24,25,1.7743,6.421,0.698,29,30,1.8327,2.6144,0.663,60,173
"no_n_schools_avg",0.4182,1.0761,0.3323,9,10,0.2421,0.7581,0.4531,14,15,0.1896,0.6083,0.5408,19,20,0.0965,0.5072,0.49,24,25,0.023,0.4367,0.5011,29,30,-0.208,0.2037,0.6103,60,173
"pct_con_bebederos",-0.1351,0.4697,0.3396,9,10,-0.0559,0.3373,0.5177,14,15,-0.0318,0.2732,0.6545,19,20,-0.0161,0.2321,0.7185,24,25,0.0049,0.2027,0.7255,29,30,0.0356,0.0854,0.9689,60,173
"no_pct_con_bebederos",0.4182,1.0761,0.3323,9,10,0.2421,0.7581,0.4531,14,15,0.1896,0.6083,0.5408,19,20,0.0965,0.5072,0.49,24,25,0.023,0.4367,0.5011,29,30,-0.208,0.2037,0.6103,60,173
"pct_con_proteccion_civil",0.067,0.1242,0.4453,9,10,0.0348,0.1352,0.5087,14,15,0.0743,0.1423,0.8442,19,20,0.1133,0.1322,0.8679,24,25,0.1247,0.1183,0.6099,29,30,0.1154,0.0825,0.0632,60,173
"no_pct_con_proteccion_civil",0.4182,1.0761,0.3323,9,10,0.2421,0.7581,0.4531,14,15,0.1896,0.6083,0.5408,19,20,0.0965,0.5072,0.49,24,25,0.023,0.4367,0.5011,29,30,-0.208,0.2037,0.6103,60,173
"pct_con_cancha",-0.3578,0.9143,0.3017,9,10,-0.1891,0.6356,0.42,14,15,-0.1438,0.5001,0.5264,19,20,-0.1074,0.4139,0.5472,24,25,-0.0652,0.3542,0.5324,29,30,0.0246,0.1516,0.8603,60,173
"no_pct_con_cancha",0.4182,1.0761,0.3323,9,10,0.2421,0.7581,0.4531,14,15,0.1896,0.6083,0.5408,19,20,0.0965,0.5072,0.49,24,25,0.023,0.4367,0.5011,29,30,-0.208,0.2037,0.6103,60,173
"avg_anio_creacion",-828.8764,2131.0961,0.3322,9,10,-480.7293,1501.0734,0.4527,14,15,-376.3281,1204.4554,0.5399,19,20,-191.3412,1004.2469,0.4889,24,25,-45.1634,864.5469,0.4999,29,30,413.8015,403.5649,0.6111,60,173
"no_avg_anio_creacion",0.4182,1.0761,0.3323,9,10,0.2421,0.7581,0.4531,14,15,0.1896,0.6083,0.5408,19,20,0.0965,0.5072,0.49,24,25,0.023,0.4367,0.5011,29,30,-0.208,0.2037,0.6103,60,173
"km_carretera_fed",0.8631,86.3387,0.5768,9,10,-39.1774,69.399,0.659,14,15,-58.5056,44.3036,0.8908,19,20,-51.3612,43.0623,0.2945,24,25,-44.0308,48.5398,0.2367,29,30,-7.3154,49.4219,0.5411,60,173
"km_carretera_est",33.9746,112.1002,0.8444,9,10,73.8922,91.0212,0.8785,14,15,47.93,77.6201,0.3299,19,20,27.6241,72.4659,0.261,24,25,3.7879,65.1069,0.2138,29,30,34.3922,46.5981,0.9231,60,173
"km_cuota",-14.3889,19.2321,0.6376,9,10,-7.1597,18.8681,0.3895,14,15,-11.2585,16.1323,0.7716,19,20,-14.4051,13.3365,0.6641,24,25,-12.8012,12.2058,0.3037,29,30,-1.1329,13.3083,0.1923,60,173
"km_camino",231.6437,635.451,0.5,9,10,-21.7316,468.9862,0.438,14,15,-251.9611,218.4945,0.2269,19,20,-307.5901,238.3809,0.9598,24,25,-309.8472,308.4731,0.6103,29,30,-93.7142,376.3339,0.8284,60,173
"km_vereda",0.1006,0.2497,0.2987,9,10,0.3905,1.1432,0.3274,14,15,-0.2412,2.5511,0.8829,19,20,0.3007,1.8496,0.9821,24,25,0.028,2.0821,0.7358,29,30,-4.6418,2.7401,0.4285,60,173
"km_vialidad_urbana",157.7627,1300.0051,0.2616,9,10,-195.1696,952.025,0.5919,14,15,-378.3225,781.678,0.8494,19,20,-424.7793,676.2286,0.8488,24,25,-404.0681,602.0554,0.5883,29,30,11.8004,306.7372,0.2988,60,173
"km_total",409.0989,1458.0056,0.1711,9,10,-209.04,1158.6092,0.4379,14,15,-683.8231,874.6805,0.588,19,20,-793.3525,804.8206,0.8877,24,25,-783.44,796.5423,0.5267,29,30,-48.4192,633.5041,0.4432,60,173
"n_federal_offices",73.9212,114.1157,0.8913,9,10,61.2685,93.4839,0.2483,14,15,9.3571,87.5117,0.1822,19,20,-21.8756,58.0884,0.1422,24,25,-41.6939,44.4035,0.2619,29,30,12.6903,63.9416,0.8025,60,173
"no_n_federal_offices",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0.0081,0.0044,0.3178,60,173
"n_aerodromes",0.1333,0.3811,0.3423,9,10,0.6511,0.8272,0.3363,14,15,0.3513,0.5497,0.2104,19,20,-0.1259,0.9008,0.2559,24,25,-0.5274,0.8005,0.2536,29,30,-0.0563,1.094,0.2821,60,173
"no_n_aerodromes",-0.7424,0.5122,0.0891,9,10,-0.4176,0.4378,0.044,14,15,-0.2049,0.3964,0.0836,19,20,-0.1128,0.3615,0.1624,24,25,-0.0126,0.3323,0.2039,29,30,0.0767,0.1857,0.5926,60,173
"n_heliports",1.6091,1.8303,0.5203,9,10,1.0829,1.4519,0.1274,14,15,0.429,1.6097,0.2647,19,20,-0.1048,0.9338,0.0923,24,25,-0.6221,0.7658,0.0869,29,30,-0.8498,1.1501,0.4455,60,173
"no_n_heliports",-0.7424,0.5122,0.0891,9,10,-0.4176,0.4378,0.044,14,15,-0.2049,0.3964,0.0836,19,20,-0.1128,0.3615,0.1624,24,25,-0.0126,0.3323,0.2039,29,30,0.0767,0.1857,0.5926,60,173
"has_aerodrome",0.0667,0.1906,0.3423,9,10,0.0116,0.1552,0.9765,14,15,-0.0487,0.1068,0.5583,19,20,-0.0698,0.1174,0.7934,24,25,-0.1039,0.1247,0.8397,29,30,-0.072,0.1491,0.6037,60,173
"has_heliport",0.6758,0.5217,0.1859,9,10,0.406,0.4351,0.0438,14,15,0.2255,0.3906,0.0867,19,20,0.1492,0.3548,0.1823,24,25,0.0883,0.3282,0.2559,29,30,0.0348,0.1788,0.706,60,173
"ag_servi",0,0,0,9,10,0,0,0,14,15,0,0,0,19,20,0,0,0,24,25,0,0,0,29,30,0,0,0,60,173
"no_ag_servi",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0,0,NA,60,173
"pobl_prc",3.0385,8.3799,0.3002,9,10,-3.4046,8.8515,0.7645,14,15,-9.8508,8.5132,0.7722,19,20,-13.1003,7.2397,0.7421,24,25,-16.354,7.0653,0.5131,29,30,-1.6664,6.8991,0.0118,60,173
"no_pobl_prc",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0,0,NA,60,173
"ag_dias",1.3364,4.0508,0.2519,9,10,1.1528,3.1561,0.6053,14,15,0.7829,2.8865,0.5406,19,20,0.3682,2.6815,0.5259,24,25,0.0372,2.4613,0.5774,29,30,-0.0046,1.2503,0.7776,60,173
"no_ag_dias",-0.1909,0.5787,0.2519,9,10,-0.1545,0.4537,0.5737,14,15,-0.0953,0.419,0.5331,19,20,-0.0381,0.3908,0.5339,24,25,0.013,0.3577,0.59,29,30,-0.0196,0.1943,0.5828,60,173
"ag_horas",4.6336,13.7121,0.25,9,10,3.7643,10.7272,0.6172,14,15,2.8081,9.7918,0.5675,19,20,2.2495,9.1132,0.5984,24,25,1.0158,8.3448,0.557,29,30,-1.1479,4.1413,0.7019,60,173
"no_ag_horas",-0.1909,0.5787,0.2519,9,10,-0.1545,0.4537,0.5737,14,15,-0.0953,0.419,0.5331,19,20,-0.0677,0.3915,0.5907,24,25,-0.0136,0.3578,0.5762,29,30,0.0184,0.1943,0.574,60,173
"serv_dre",0,0,0,9,10,0,0,0,14,15,0,0,0,19,20,0,0,0,24,25,0,0,0,29,30,0.0095,0.0065,0.4138,60,173
"no_serv_dre",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0,0,NA,60,173
"dren_cab",55.4872,85.4009,0.2354,9,10,36.8368,57.7424,0.2093,14,15,26.7896,44.2754,0.2155,19,20,18.9395,36.25,0.2042,24,25,13.0191,30.7827,0.2083,29,30,11.6949,13.4861,0.2485,60,173
"no_dren_cab",-0.6,1.0457,0.2512,9,10,-0.4,0.7067,0.2576,14,15,-0.3,0.536,0.263,19,20,-0.2104,0.4336,0.2371,24,25,-0.131,0.3638,0.2212,29,30,-0.1305,0.15,0.464,60,173
"dren_plu",0.203,0.911,0.3782,9,10,-0.0041,0.7002,0.5467,14,15,0.0565,0.6018,0.9179,19,20,0.0242,0.5342,0.8627,24,25,-0.02,0.4838,0.8203,29,30,-0.032,0.2583,0.9177,60,173
"no_dren_plu",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0,0,NA,60,173
"tot_conx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"no_tot_conx",0,0,NA,9,10,0,0,NA,14,15,-0.0312,0.0195,0.3479,19,20,0.0032,0.0406,0.1701,24,25,0.0219,0.0379,0.2854,29,30,0.0126,0.0418,0.2571,60,173
"prest_nu",0.1879,0.2229,0.8855,9,10,0.155,0.1855,0.1888,14,15,0.039,0.1606,0.0875,19,20,-0.0747,0.1534,0.0989,24,25,-0.1367,0.1693,0.3885,29,30,1.5712,0.7852,0.4079,60,173
"no_prest_nu",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0.0095,0.0065,0.4138,60,173
"n_sites_total",16.4606,122.9697,0.4516,9,10,-22.9595,98.0711,0.6603,14,15,-37.262,82.6749,0.9459,19,20,-22.437,76.1585,0.6228,24,25,-20.2801,69.3329,0.6501,29,30,9.1363,36.7321,0.7187,60,173
"n_aduana",-0.1545,0.4462,0.5003,9,10,-0.0608,0.2994,0.5322,14,15,-0.3305,0.3261,0.7837,19,20,-0.2865,0.3348,0.5494,24,25,-0.1427,0.3998,0.2864,29,30,0.2211,0.4008,0.8679,60,173
"n_puerto",-0.1424,1.3985,0.2535,9,10,-0.658,0.9527,0.7823,14,15,-0.8037,0.7349,0.6387,19,20,-0.7829,0.6684,0.3437,24,25,-0.7675,0.6691,0.2834,29,30,-0.4272,0.5112,0.2471,60,173
"n_puerto_fronterizo",0,0,NA,9,10,0.1187,0.1064,0.3419,14,15,-0.0685,0.1537,0.1853,19,20,-0.0975,0.1781,0.6711,24,25,-0.0482,0.1979,0.6585,29,30,0.3841,0.3918,0.4504,60,173
"n_terminal_multimodal",-0.0879,0.4484,0.2826,9,10,-0.2389,0.2998,0.8437,14,15,-0.2074,0.2476,0.4066,19,20,-0.1473,0.2262,0.238,24,25,-0.1409,0.218,0.3401,29,30,-0.2222,0.2088,0.4307,60,173
"n_estacion_ferrocarril",-0.1545,0.4462,0.5003,9,10,-0.1795,0.2799,0.7588,14,15,-0.1373,0.2539,0.4608,19,20,-0.1173,0.2413,0.4707,24,25,-0.1014,0.2286,0.4654,29,30,0.0957,0.1597,0.4968,60,173
"n_zona_industrial",0.4545,0.6206,0.2551,9,10,0.3535,0.4967,0.2052,14,15,0.2325,0.4193,0.2031,19,20,0.177,0.3557,0.2484,24,25,0.1314,0.3057,0.263,29,30,0.2425,0.1664,0.9134,60,173
"n_almacen",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0.0545,0.0563,0.2931,60,173
"n_zona_libre",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,-0.0144,0.0184,0.2921,24,25,-0.0226,0.0089,0.3536,29,30,0.0443,0.0331,0.9359,60,173
"n_aeropuerto",0.5424,0.6898,0.1161,9,10,0.3174,0.5728,0.1842,14,15,0.2162,0.4962,0.3127,19,20,0.2124,0.4775,0.4903,24,25,0.2883,0.4877,0.7455,29,30,0.1128,0.3146,0.2109,60,173
"n_aeropuerto_internacional",0.4758,0.6822,0.3655,9,10,0.5097,0.5232,0.3399,14,15,0.4419,0.4731,0.2477,19,20,0.3907,0.4684,0.2752,24,25,0.4507,0.4831,0.4592,29,30,0.232,0.2703,0.0577,60,173
"n_pista_aerea",0,0,NA,9,10,0.0101,0.0806,0.8102,14,15,-0.0255,0.0488,0.5924,19,20,-0.0173,0.1056,0.9674,24,25,-0.0038,0.1051,0.8315,29,30,-0.0034,0.1303,0.5505,60,173
"n_muelle_embarcadero",0.0667,0.1906,0.3423,9,10,-0.0593,0.1395,0.2984,14,15,-0.0982,0.0482,0.5687,19,20,-0.1074,0.0586,0.4733,24,25,-0.0887,0.0909,0.2415,29,30,-0.0965,0.1479,0.1542,60,173
"n_terminal_transbordador",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,-0.0084,0.0308,0.5229,60,173
"n_central_camionera",0.0636,0.5191,0.5195,9,10,0.1636,0.3935,0.9428,14,15,0.2121,0.378,0.8337,19,20,0.2496,0.3717,0.7435,24,25,0.2082,0.3524,0.4899,29,30,0.226,0.2507,0.7548,60,173
"n_estacion_pesaje",0.4364,0.5032,0.6405,9,10,0.4799,0.5313,0.5013,14,15,0.3748,0.5251,0.3045,19,20,0.3,0.4998,0.3043,24,25,0.2565,0.4663,0.3331,29,30,0.0028,0.1664,0.2246,60,173
"n_caseta_inspeccion",0.5455,0.7568,0.6574,9,10,0.8236,0.8116,0.5314,14,15,0.6904,0.806,0.2837,19,20,0.5599,0.7538,0.2377,24,25,0.4491,0.6996,0.2296,29,30,0.1538,0.2926,0.2615,60,173
"n_estacion_combustible",2.3606,73.1135,0.4867,9,10,-14.4404,57.7678,0.8061,14,15,-18.7707,50.522,0.9444,19,20,-12.687,45.447,0.658,24,25,-9.5422,41.1306,0.622,29,30,15.1135,20.1154,0.6575,60,173
"n_estacion_policia",0.2182,0.2516,0.6405,9,10,0.2285,0.2701,0.5604,14,15,0.2034,0.2726,0.3745,19,20,0.1738,0.2632,0.3378,24,25,0.1508,0.2402,0.3222,29,30,0.0581,0.1142,0.4075,60,173
"n_oficina_gobierno",2.4212,2.65,0.7771,9,10,2.2196,2.7364,0.3061,14,15,1.4397,2.7059,0.2551,19,20,1.1711,2.5347,0.345,24,25,0.9877,2.3493,0.4021,29,30,1.0231,0.9576,0.3982,60,173
"n_palacio_gobierno",-0.0212,0.9201,0.8874,9,10,-0.0359,0.7846,0.9493,14,15,0.0028,0.6958,0.9523,19,20,-0.0355,0.6413,0.9621,24,25,-0.0625,0.5901,0.973,29,30,0.0446,0.2911,0.1501,60,173
"n_palacio_justicia",0.2182,0.2516,0.6405,9,10,0.2103,0.2643,0.4404,14,15,0.187,0.2602,0.3879,19,20,0.1651,0.2468,0.3674,24,25,0.1468,0.2308,0.3572,29,30,0.0528,0.0702,0.1251,60,173
"n_estacion_bomberos",0.2636,0.27,0.5159,9,10,0.2418,0.315,0.4276,14,15,0.1467,0.2838,0.2491,19,20,0.1042,0.2624,0.3194,24,25,0.086,0.2463,0.4188,29,30,0.1238,0.154,0.8091,60,173
"n_hospital",2.6061,13.1465,0.5789,9,10,1.8012,10.841,0.7374,14,15,0.0262,9.5104,0.6937,19,20,-0.0262,8.604,0.8812,24,25,-0.2662,7.7629,0.9036,29,30,-2.2344,3.3848,0.7468,60,173
"n_emergencia_medica",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0.0887,0.0979,0.3183,24,25,0.0798,0.0312,0.4865,29,30,-0.064,0.0544,0.6792,60,173
"n_primeros_auxilios",-0.0727,0.6768,0.7249,9,10,-0.1962,0.5924,0.9863,14,15,-0.1946,0.527,0.7892,19,20,-0.1739,0.4773,0.6695,24,25,-0.1347,0.4345,0.5902,29,30,0.0118,0.2267,0.9232,60,173
"n_universidad",1.8182,16.2182,0.5758,9,10,-1.5715,13.2615,0.7712,14,15,-2.2288,11.9438,0.9966,19,20,0.9672,11.3212,0.6655,24,25,1.1186,10.0642,0.8746,29,30,-1.1448,4.5058,0.5674,60,173
"n_centro_investigacion",0.0333,0.5241,0.2269,9,10,-0.2593,0.3739,0.5765,14,15,-0.3228,0.2385,0.7786,19,20,-0.3557,0.2283,0.3991,24,25,-0.3672,0.2412,0.27,29,30,0.019,0.2342,0.2503,60,173
"n_atractivo_turistico",-5.6303,8.3298,0.2986,9,10,-5.7844,6.0335,0.3171,14,15,-5.4314,4.301,0.1374,19,20,-4.3568,3.7767,0.0664,24,25,-4.1061,3.6159,0.1068,29,30,-1.6452,2.7083,0.2666,60,173
"n_hotel_motel",0,0,NA,9,10,-0.0191,0.0244,0.2959,14,15,-0.0312,0.0118,0.5851,19,20,1.5557,1.7301,0.3077,24,25,1.4163,0.552,0.5378,29,30,-1.4902,0.2497,0.6269,60,173
"n_museo",0.2152,2.979,0.9978,9,10,-0.7247,2.2331,0.6771,14,15,-1.2259,1.9652,0.944,19,20,-0.9938,1.6244,0.5663,24,25,-0.9654,1.3792,0.4714,29,30,0.6884,1.3693,0.7857,60,173
"n_monumento_historico",0.303,1.4097,0.7694,9,10,1.1728,1.0858,0.7144,14,15,0.5593,1.564,0.3615,19,20,-0.5424,1.4752,0.1437,24,25,-1.2654,1.1563,0.1775,29,30,-0.6791,1.2483,0.9629,60,173
"n_centro_cultural",0.4697,0.6785,0.4142,9,10,0.2519,0.6149,0.3129,14,15,0.108,0.5865,0.4352,19,20,0.0968,0.5501,0.6232,24,25,0.0346,0.5126,0.63,29,30,0.2256,0.3554,0.4373,60,173
"n_centro_convenciones",0.2182,0.2516,0.6405,9,10,0.1691,0.2649,0.4326,14,15,0.1753,0.2644,0.5036,19,20,0.2091,0.2536,0.5792,24,25,0.204,0.2334,0.4248,29,30,0.2398,0.1644,0.0623,60,173
"n_lugar_esparcimiento",-0.0212,5.2596,0.3955,9,10,-1.9278,3.8773,0.7469,14,15,-2.9019,2.8611,0.9523,19,20,-3.0284,2.5265,0.4948,24,25,-2.8347,2.4449,0.2743,29,30,0.0235,2.0794,0.1966,60,173
"n_mirador",-0.1364,0.4546,0.893,9,10,-0.3733,0.3803,0.9623,14,15,-0.2598,0.3738,0.2932,19,20,-0.1179,0.3424,0.2017,24,25,-0.0733,0.3217,0.3342,29,30,0.0453,0.2694,0.896,60,173
"n_parque_diversiones",0.5576,0.5289,0.525,9,10,0.4867,0.5243,0.3579,14,15,0.4352,0.5038,0.2852,19,20,0.4199,0.4812,0.2991,24,25,0.3787,0.4522,0.265,29,30,0.2595,0.2467,0.4138,60,173
"n_parque_animal",-0.4879,1.194,0.5926,9,10,-0.7038,0.811,0.7064,14,15,-0.5311,0.6776,0.2696,19,20,-0.3615,0.602,0.1959,24,25,-0.2452,0.5463,0.197,29,30,0.0572,0.3094,0.9375,60,173
"n_campo_golf",0.503,0.7046,0.1611,9,10,0.1478,0.574,0.1907,14,15,-0.0581,0.5569,0.3871,19,20,-0.1096,0.56,0.715,24,25,-0.0871,0.544,0.986,29,30,0.1307,0.3185,0.3978,60,173
"n_restaurante",0,0,NA,9,10,-0.0412,0.0169,0.8167,14,15,-0.0117,0.0473,0.3127,19,20,1.4631,1.5998,0.3038,24,25,1.3341,0.5099,0.5295,29,30,-1.438,0.1865,0.4748,60,173
"n_balneario",-0.203,2.7043,0.6598,9,10,-1.3481,2.1442,0.7723,14,15,-1.498,1.4245,0.562,19,20,-1.3642,1.3145,0.3075,24,25,-1.3432,1.3997,0.3155,29,30,-0.4367,1.2995,0.5811,60,173
"n_ex_hacienda",0.0545,1.3843,0.9451,9,10,-0.1471,1.2868,0.9532,14,15,-0.1969,1.1329,0.9626,19,20,-0.0551,1.06,0.7687,24,25,-0.1039,0.9753,0.9278,29,30,-0.1033,0.512,0.6471,60,173
"n_presa_turistica",0.2848,0.3156,0.3444,9,10,0.151,0.2989,0.2429,14,15,0.0888,0.2646,0.3407,19,20,0.1169,0.2619,0.66,24,25,0.1428,0.2524,0.6999,29,30,0.0481,0.2435,0.4133,60,173
"n_area_natural_protegida",-6.3455,9.4245,0.2364,9,10,-4.5794,6.3902,0.2081,14,15,-3.6774,4.8704,0.1929,19,20,-2.8766,3.9593,0.1585,24,25,-2.4541,3.333,0.1646,29,30,-1.285,1.4053,0.1487,60,173
"n_zona_arqueologica",0.3818,0.382,0.9554,9,10,0.2848,0.3743,0.1374,14,15,0.0841,0.3302,0.1011,19,20,0.0114,0.2953,0.2457,24,25,-0.039,0.2766,0.4161,29,30,0.1059,0.2611,0.8012,60,173
"n_lago_laguna",-0.0545,0.0303,0.3328,9,10,-0.0103,0.0602,0.3048,14,15,0.0908,0.077,0.0351,19,20,0.1536,0.0414,0.248,24,25,0.0949,0.0765,0.0945,29,30,0.1865,0.1567,0.2598,60,173
"n_cascada",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0.0663,0.06,0.3519,60,173
"n_pueblo_magico",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,-0.0325,0.0252,0.023,60,173
"n_cenote",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0.0921,0.0403,0.1101,60,173
"n_gruta",0,0,NA,9,10,-0.0368,0.0249,0.4301,14,15,0,0.0547,0.3067,19,20,0.0256,0.0445,0.3078,24,25,0.0403,0.0247,0.3271,29,30,0.0134,0.055,0.2296,60,173
"n_ruinas",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,-0.0144,0.0184,0.2921,24,25,-0.0226,0.0089,0.3536,29,30,0.0302,0.0316,0.9375,60,173
"n_teleferico_funicular",0,0,NA,9,10,0,0,NA,14,15,0,0,NA,19,20,0,0,NA,24,25,0,0,NA,29,30,0.0274,0.0291,0.2813,60,173
"n_museo_historia",-0.8061,2.2339,0.887,9,10,-1.2207,1.5238,0.8263,14,15,-1.3626,1.1709,0.4467,19,20,-1.1657,0.9719,0.1554,24,25,-1.119,0.8468,0.1161,29,30,0.04,0.663,0.735,60,173
"n_museo_arte",0.803,1.0713,0.6902,9,10,0.4503,0.9138,0.2528,14,15,-0.0035,0.9298,0.2844,19,20,-0.0506,0.7023,0.5463,24,25,-0.1157,0.5459,0.6358,29,30,0.1297,0.6906,0.8899,60,173
"n_museo_ciencia",0,0,NA,9,10,-0.1235,0.0507,0.8167,14,15,-0.0351,0.1419,0.3127,19,20,0.0431,0.1448,0.3079,24,25,0.0919,0.0994,0.3128,29,30,0.3868,0.2406,0.3572,60,173
"n_museo_ninos",0.2182,0.2516,0.6405,9,10,0.1691,0.2649,0.4326,14,15,0.1753,0.2644,0.5036,19,20,0.1795,0.2515,0.491,24,25,0.1774,0.2331,0.4425,29,30,0.1319,0.1091,0.0104,60,173
"n_turismo_historico",0.4364,1.6229,0.9637,9,10,0.1377,1.5375,0.6813,14,15,-0.1127,1.353,0.7182,19,20,-0.0581,1.2686,0.9683,24,25,-0.1655,1.1859,0.9028,29,30,3e-04,0.6643,0.7309,60,173
"n_turismo_natural",-6.1485,9.1572,0.2643,9,10,-4.7249,6.2373,0.2208,14,15,-3.9375,4.718,0.1847,19,20,-3.0849,3.8346,0.1331,24,25,-2.7579,3.2425,0.1466,29,30,-1.2323,1.4994,0.1264,60,173
"n_turismo_cultural",0.9879,4.9393,0.976,9,10,0.7,3.7109,0.5996,14,15,-0.5586,3.4433,0.5569,19,20,-1.4394,3.0184,0.6203,24,25,-2.1962,2.6101,0.7555,29,30,0.2349,2.3199,0.7992,60,173
"n_turismo_recreativo",0.2121,9.0025,0.3934,9,10,-3.7186,6.7214,0.6751,14,15,-4.8137,4.7707,0.8147,19,20,-4.5617,4.219,0.3964,24,25,-4.2047,4.1657,0.2716,29,30,0.107,3.4099,0.3855,60,173
"n_turismo_total",-4.0091,10.6031,0.8578,9,10,-7.3049,9.636,0.8634,14,15,-9.1616,7.589,0.5542,19,20,-7.2289,7.5678,0.2191,24,25,-7.5434,7.0637,0.2778,29,30,-2.1444,5.9133,0.4708,60,173
"has_aduana",-0.1545,0.4462,0.5003,9,10,-0.1202,0.2849,0.6318,14,15,-0.1404,0.2631,0.6933,19,20,-0.1301,0.2538,0.595,24,25,-0.1041,0.2391,0.4834,29,30,-0.0151,0.165,0.5975,60,173
"has_puerto",-0.0879,0.4484,0.2826,9,10,-0.1312,0.3064,0.8403,14,15,-0.201,0.2583,0.8218,19,20,-0.2234,0.2412,0.6383,24,25,-0.2374,0.2326,0.5252,29,30,-0.1533,0.1772,0.3354,60,173
"has_puerto_fronterizo",0,0,NA,9,10,0.0593,0.0532,0.3419,14,15,-0.0031,0.0691,0.2265,19,20,-0.0272,0.0808,0.4692,24,25,-0.0253,0.0705,0.9149,29,30,0.0338,0.0824,0.5507,60,173
"has_aeropuerto",0.4758,0.6292,0.0887,9,10,0.2297,0.5177,0.1802,14,15,0.143,0.4678,0.3984,19,20,0.168,0.4242,0.5845,24,25,0.1931,0.3945,0.6815,29,30,0.0543,0.2165,0.2292,60,173
"has_aeropuerto_internacional",0.4758,0.6494,0.2266,9,10,0.3626,0.5071,0.2546,14,15,0.2705,0.4454,0.293,19,20,0.2389,0.4107,0.3656,24,25,0.2491,0.3918,0.4717,29,30,0.1607,0.1993,0.1356,60,173
"has_estacion_ferrocarril",-0.1545,0.4462,0.5003,9,10,-0.1795,0.2799,0.7588,14,15,-0.1373,0.2539,0.4608,19,20,-0.1173,0.2413,0.4707,24,25,-0.1014,0.2286,0.4654,29,30,0.0966,0.1591,0.5268,60,173
"has_terminal_multimodal",-0.0879,0.4484,0.2826,9,10,-0.2389,0.2998,0.8437,14,15,-0.2074,0.2476,0.4066,19,20,-0.1473,0.2262,0.238,24,25,-0.1409,0.218,0.3401,29,30,-0.1846,0.1536,0.2706,60,173
"has_zona_industrial",0.4545,0.6206,0.2551,9,10,0.3535,0.4967,0.2052,14,15,0.2325,0.4193,0.2031,19,20,0.177,0.3557,0.2484,24,25,0.1314,0.3057,0.263,29,30,0.1211,0.1222,0.366,60,173
"has_atractivo_turistico",-1.0182,0.2873,0.0015,9,10,-0.8035,0.3028,2e-04,14,15,-0.6842,0.2669,2e-04,19,20,-0.5751,0.252,3e-04,24,25,-0.5627,0.2422,0.0018,29,30,-0.0953,0.1714,0.0098,60,173
