"CVEGEO","dist_gasproc_cent","nearest_gasproc_cent","n_gasproc_25km_cent","n_gasproc_50km_cent","n_gasproc_100km_cent","dist_maritime_cent","nearest_maritime_cent","n_maritime_25km_cent","n_maritime_50km_cent","n_maritime_100km_cent","dist_petrochem_cent","nearest_petrochem_cent","n_petrochem_25km_cent","n_petrochem_50km_cent","n_petrochem_100km_cent","dist_refinery_cent","nearest_refinery_cent","n_refinery_25km_cent","n_refinery_50km_cent","n_refinery_100km_cent","dist_storage_cent","nearest_storage_cent","n_storage_25km_cent","n_storage_50km_cent","n_storage_100km_cent","dist_any_cent","n_any_25km_cent","n_any_50km_cent","n_any_100km_cent","dist_gasproc_edge","nearest_gasproc_edge","n_gasproc_25km_edge","n_gasproc_50km_edge","n_gasproc_100km_edge","dist_maritime_edge","nearest_maritime_edge","n_maritime_25km_edge","n_maritime_50km_edge","n_maritime_100km_edge","dist_petrochem_edge","nearest_petrochem_edge","n_petrochem_25km_edge","n_petrochem_50km_edge","n_petrochem_100km_edge","dist_refinery_edge","nearest_refinery_edge","n_refinery_25km_edge","n_refinery_50km_edge","n_refinery_100km_edge","dist_storage_edge","nearest_storage_edge","n_storage_25km_edge","n_storage_50km_edge","n_storage_100km_edge","dist_any_edge","n_any_25km_edge","n_any_50km_edge","n_any_100km_edge","n_hosted","hosts_any"
"19039",199.633708962458,"CPG Burgos",0,0,0,598.832762762158,"TM Tuxpan",0,0,0,636.23425760368,"CP Escolin",0,0,0,35.3899350886701,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,1,1,14.1044185369766,"TAR Santa Catarina",1,2,2,14.1044185369766,1,3,3,189.542464817246,"CPG Burgos",0,0,0,579.224741995747,"TM Tuxpan",0,0,0,616.922085969806,"CP Escolin",0,0,0,23.0236881496764,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",1,1,1,5.31809668427338,"TAR Santa Catarina",2,2,2,5.31809668427338,3,3,3,0,FALSE
"19046",193.811238815694,"CPG Burgos",0,0,0,605.383777540278,"TM Tuxpan",0,0,0,643.254581648455,"CP Escolin",0,0,0,34.3991332541096,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,1,1,19.3439629099288,"TAR Santa Catarina",1,2,2,19.3439629099288,1,3,3,187.548132709744,"CPG Burgos",0,0,0,600.310435474115,"TM Tuxpan",0,0,0,638.450503181516,"CP Escolin",0,0,0,27.5404540996663,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,1,1,14.4921820114411,"TAR Santa Catarina",1,2,2,14.4921820114411,1,3,3,0,FALSE
"19019",205.775682298072,"CPG Burgos",0,0,0,601.943120648108,"TM Tuxpan",0,0,0,639.035284023379,"CP Escolin",0,0,0,41.5540897128718,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,1,1,8.1383479080998,"TAR Santa Catarina",1,2,2,8.1383479080998,1,3,3,199.724200275065,"CPG Burgos",0,0,0,595.328087813536,"TM Tuxpan",0,0,0,632.397797216634,"CP Escolin",0,0,0,35.5531278671105,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,1,1,3.03191450545993,"TAR Santa Catarina",1,2,2,3.03191450545993,1,3,3,0,FALSE
"19037",244.644873973664,"CPG Burgos",0,0,0,661.854736511752,"TM Mazatlan",0,0,0,720.940380053051,"CP Escolin",0,0,0,111.822388067379,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,0,0,75.7784264188086,"TAR Santa Catarina",0,0,1,75.7784264188086,0,0,1,210.102999033931,"CPG Burgos",0,0,0,631.014711158403,"TM Mazatlan",0,0,0,670.02129915126,"CP Escolin",0,0,0,63.0042389780839,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,0,1,26.1463019451662,"TAR Santa Catarina",0,1,2,26.1463019451662,0,1,3,0,FALSE
"19010",200.351930578789,"CPG Burgos",0,0,0,625.54377324343,"TM Tuxpan",0,0,0,663.483818231063,"CP Escolin",0,0,0,51.7080280796324,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,0,1,27.2830587470146,"TAR Santa Catarina",0,1,2,27.2830587470146,0,1,3,194.988573736289,"CPG Burgos",0,0,0,617.511312499119,"TM Tuxpan",0,0,0,655.573498326941,"CP Escolin",0,0,0,43.4507444581687,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,1,1,20.9169851618812,"TAR Santa Catarina",1,2,2,20.9169851618812,1,3,3,0,FALSE
"19021",200.890645119455,"CPG Burgos",0,0,0,617.707121533778,"TM Tuxpan",0,0,0,655.425516163065,"CP Escolin",0,0,0,46.2683591820749,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,1,1,19.2068651153075,"TAR Santa Catarina",1,2,2,19.2068651153075,1,3,3,191.872173135032,"CPG Burgos",0,0,0,608.459252990869,"TM Tuxpan",0,0,0,646.446404984373,"CP Escolin",0,0,0,35.8884969021352,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,1,1,13.5914194932713,"TAR Santa Catarina",1,2,2,13.5914194932713,1,3,3,0,FALSE
"19012",182.93603030064,"CPG Burgos",0,0,0,624.384680041189,"TM Tuxpan",0,0,0,663.312742146549,"CP Escolin",0,0,0,47.2556623999219,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,1,1,42.9832375217556,"TAR Santa Catarina",0,2,2,42.9832375217556,0,3,3,174.851546676876,"CPG Burgos",0,0,0,617.31507622273,"TM Tuxpan",0,0,0,656.120155143191,"CP Escolin",0,0,0,40.2581279387734,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,1,1,34.3875251276242,"TAR Santa Catarina",0,2,2,34.3875251276242,0,3,3,0,FALSE
"19002",138.655812756434,"CPG Burgos",0,0,0,635.597730309856,"TM Tuxpan",0,0,0,677.325079060097,"CP Escolin",0,0,0,81.2511427935271,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,0,1,81.8707754772482,"TAR Cadereyta",0,0,1,81.2511427935271,0,0,2,111.12819888874,"CPG Burgos",0,0,0,623.25444744583,"TM Tuxpan",0,0,0,665.354328800469,"CP Escolin",0,0,0,61.6314279881871,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,0,1,61.9829404030366,"TAR Cadereyta",0,0,2,61.6314279881871,0,0,3,0,FALSE
"19005",222.584486639068,"CPG Burgos",0,0,0,754.301786607804,"TM Tuxpan",0,0,0,796.50807502585,"CP Escolin",0,0,0,192.382629196125,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,0,0,49.2542717559574,"TAR Nuevo Laredo",0,1,1,49.2542717559574,0,1,1,170.919515928114,"CPG Burgos",0,0,0,697.897018353995,"TM Tuxpan",0,0,0,740.184199825577,"CP Escolin",0,0,0,137.493134332516,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,0,0,21.2702349299426,"TAR Nuevo Laredo",1,1,2,21.2702349299426,1,1,2,0,FALSE
"19024",264.95967310571,"CPG Arenque",0,0,0,407.601442526994,"TM Tuxpan",0,0,0,441.166217970462,"CP Escolin",0,0,0,188.495849671899,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,0,0,63.6450715412829,"TAR Ciudad Victoria",0,0,2,63.6450715412829,0,0,2,241.806407042923,"CPG Arenque",0,0,0,386.534175615215,"TM Tuxpan",0,0,0,420.61581852948,"CP Escolin",0,0,0,174.401711888198,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,0,0,35.4460469591594,"TAR Ciudad Victoria",0,1,2,35.4460469591594,0,1,2,0,FALSE
"19026",188.667591447264,"CPG Burgos",0,0,0,596.003029968742,"TM Tuxpan",0,0,0,634.001329485366,"CP Escolin",0,0,0,25.7105952412872,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,1,1,23.9120445268031,"TAR Cadereyta",2,2,2,23.9120445268031,2,3,3,179.476300984194,"CPG Burgos",0,0,0,591.267780116964,"TM Tuxpan",0,0,0,629.099789875723,"CP Escolin",0,0,0,18.1999605562938,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",1,1,1,16.5150531808,"TAR Cadereyta",2,2,2,16.5150531808,3,3,3,0,FALSE
"19003",92.5558097031247,"CPG Burgos",0,0,1,598.787130423816,"TM Tuxpan",0,0,0,641.94694868775,"CP Escolin",0,0,0,87.4594358746878,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,0,1,88.9544015512359,"TAR Cadereyta",0,0,2,87.4594358746878,0,0,4,81.8261272270603,"CPG Burgos",0,0,1,575.632233711782,"TM Tuxpan",0,0,0,618.831724411928,"CP Escolin",0,0,0,71.7117506577564,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,0,1,73.3782287978156,"TAR Cadereyta",0,0,2,71.7117506577564,0,0,4,0,FALSE
"19004",184.64945302309,"CPG Burgos",0,0,0,551.821399390681,"TM Tuxpan",0,0,0,589.580866916445,"CP Escolin",0,0,0,33.6175894621223,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,1,1,33.2827750811512,"TAR Cadereyta",0,1,2,33.2827750811512,0,2,3,173.467883576049,"CPG Burgos",0,0,0,545.438888881252,"TM Tuxpan",0,0,0,583.30914849261,"CP Escolin",0,0,0,25.0473566321129,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,1,1,25.2576003430688,"TAR Cadereyta",0,1,2,25.0473566321129,0,2,3,0,FALSE
"19025",178.127083742276,"CPG Burgos",0,0,0,615.645003536685,"TM Tuxpan",0,0,0,654.640477203132,"CP Escolin",0,0,0,38.5316717634542,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,1,1,37.7190007815612,"TAR Cadereyta",0,2,2,37.7190007815612,0,3,3,169.69519896673,"CPG Burgos",0,0,0,606.38170401404,"TM Tuxpan",0,0,0,645.342712557471,"CP Escolin",0,0,0,29.2534677014111,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,1,1,28.4153241760892,"TAR Cadereyta",0,2,2,28.4153241760892,0,3,3,0,FALSE
"19015",67.9881838487191,"CPG Burgos",0,0,1,577.662424659447,"TM Tuxpan",0,0,0,621.639329725035,"CP Escolin",0,0,0,101.162947168905,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,0,0,73.4550759120032,"TAR Reynosa",0,0,1,67.9881838487191,0,0,2,44.043433165511,"CPG Burgos",0,1,1,563.74707939264,"TM Tuxpan",0,0,0,607.648230011177,"CP Escolin",0,0,0,82.9090878095332,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,0,1,49.0985029831005,"TAR Reynosa",0,1,2,44.043433165511,0,2,4,0,FALSE
"19007",249.137828198518,"CPG Burgos",0,0,0,445.007032237107,"TM Tuxpan",0,0,0,479.270833496455,"CP Escolin",0,0,0,151.705654847651,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,0,0,93.2537349324262,"TAR Ciudad Victoria",0,0,2,93.2537349324262,0,0,2,209.091263319457,"CPG Burgos",0,0,0,409.724366111951,"TM Tuxpan",0,0,0,445.285962614369,"CP Escolin",0,0,0,121.588782278021,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,0,0,55.3760276485068,"TAR Ciudad Victoria",0,0,2,55.3760276485068,0,0,2,0,FALSE
"19018",231.310037093498,"CPG Burgos",0,0,0,632.624570293406,"TM Tuxpan",0,0,0,668.870845382795,"CP Escolin",0,0,0,73.4841308556568,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,0,1,25.933801748624,"TAR Santa Catarina",0,1,2,25.933801748624,0,1,3,207.309558439435,"CPG Burgos",0,0,0,612.709374567502,"TM Tuxpan",0,0,0,649.712802378894,"CP Escolin",0,0,0,49.7196811264637,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,1,1,5.63086785224018,"TAR Santa Catarina",1,2,2,5.63086785224018,1,3,3,0,FALSE
"19051",205.388931286399,"CPG Burgos",0,0,0,679.880782908032,"TM Tuxpan",0,0,0,719.28251974464,"CP Escolin",0,0,0,103.308657764341,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,0,0,88.7086952948279,"TAR Santa Catarina",0,0,1,88.7086952948279,0,0,1,185.388105407396,"CPG Burgos",0,0,0,653.855135431159,"TM Tuxpan",0,0,0,693.27013457561,"CP Escolin",0,0,0,77.4009172685776,"Refineria Ing. Hector R. Lara Sosa (Cadereyta)",0,0,1,68.2925450140236,"TAR Santa Catarina",0,0,2,68.2925450140236,0,0,3,0,FALSE
