CVEGEO,state_num,state_name,own_capital,capital_cvegeo,dist_cap_own,dist_capmun_own,dist_cap_nearest,nearest_cap,nearest_cap_state,same_state_cap,is_capital,near_own_cap,excess_dist_own_cap,log_dist_cap_own,n_caps_100km,n_caps_200km
04012,04,Campeche,San Francisco de Campeche,04002,27.626348423044707,39.22012780484801,27.626348423044707,San Francisco de Campeche,Campeche,TRUE,FALSE,TRUE,0,3.3543275672468393,1,2
04002,04,Campeche,San Francisco de Campeche,04002,36.56108674933842,0,36.56108674933842,San Francisco de Campeche,Campeche,TRUE,TRUE,TRUE,0,3.6259685876099477,1,2
04006,04,Campeche,San Francisco de Campeche,04002,104.52703473225948,70.65874901619145,104.52703473225948,San Francisco de Campeche,Campeche,TRUE,FALSE,FALSE,0,4.658967173475176,0,3
04001,04,Campeche,San Francisco de Campeche,04002,70.14394855748999,87.95372068048879,70.14394855748999,San Francisco de Campeche,Campeche,TRUE,FALSE,FALSE,0,4.264705269021203,2,2
04010,04,Campeche,San Francisco de Campeche,04002,182.35932790349884,148.46251456496663,144.46921011745124,Chetumal,Quintana Roo,FALSE,FALSE,FALSE,37.8901177860476,5.211447768071897,0,2
04009,04,Campeche,San Francisco de Campeche,04002,141.37908546231648,119.7569670719369,141.37908546231648,San Francisco de Campeche,Campeche,TRUE,FALSE,FALSE,0,4.958493116437768,0,1
04008,04,Campeche,San Francisco de Campeche,04002,35.06528921466062,39.05123773332227,35.06528921466062,San Francisco de Campeche,Campeche,TRUE,FALSE,TRUE,0,3.585330885184833,1,2
05005,05,Coahuila,Saltillo,05030,158.69177543200135,203.71595515533969,137.2903889424459,Monterrey,Nuevo León,FALSE,FALSE,FALSE,21.40138648955545,5.073245553782088,0,2
05017,05,Coahuila,Saltillo,05030,221.6129182395112,217.4455954726903,221.6129182395112,Saltillo,Coahuila,TRUE,FALSE,FALSE,0,5.405434470578555,0,0
05018,05,Coahuila,Saltillo,05030,163.22363830627938,206.00389876517437,159.40196589831118,Monterrey,Nuevo León,FALSE,FALSE,FALSE,3.821672407968208,5.101229147109388,0,2
05014,05,Coahuila,Saltillo,05030,395.08996326402985,439.13586726398944,371.6393336316479,Monterrey,Nuevo León,FALSE,FALSE,FALSE,23.450629632381947,5.981641365412693,0,0
05035,05,Coahuila,Saltillo,05030,226.56328785403372,213.6892232737176,189.41175457638815,Victoria de Durango,Durango,FALSE,FALSE,FALSE,37.15153327764557,5.427428388073174,0,1
05013,05,Coahuila,Saltillo,05030,282.7027776382123,327.9752210336649,239.10316591615174,Monterrey,Nuevo León,FALSE,FALSE,FALSE,43.59961172206056,5.647927132525467,0,0
05015,05,Coahuila,Saltillo,05030,248.1512750452266,293.11617657367213,220.69088267620194,Monterrey,Nuevo León,FALSE,FALSE,FALSE,27.460392369024675,5.518060242294999,0,0
05020,05,Coahuila,Saltillo,05030,340.40737310379245,380.2706200769245,338.36775076113355,Monterrey,Nuevo León,FALSE,FALSE,FALSE,2.0396223426589017,5.833076406799052,0,0
05024,05,Coahuila,Saltillo,05030,111.33286600723793,112.10527772295302,111.33286600723793,Saltillo,Coahuila,TRUE,FALSE,FALSE,0,4.721466481502643,0,2
05026,05,Coahuila,Saltillo,05030,220.18248614012444,264.1228715004942,203.84376768275996,Monterrey,Nuevo León,FALSE,FALSE,FALSE,16.33871845736448,5.398988089931833,0,0
05027,05,Coahuila,Saltillo,05030,60.40075102424723,98.73331923623684,60.40075102424723,Saltillo,Coahuila,TRUE,FALSE,FALSE,0,4.117422066743555,2,2
05025,05,Coahuila,Saltillo,05030,372.398199078286,417.2071531026467,342.937227739536,Monterrey,Nuevo León,FALSE,FALSE,FALSE,29.46097133874997,5.9226454080597994,0,0
05028,05,Coahuila,Saltillo,05030,275.87435572613106,319.2860297928624,260.03938753342703,Monterrey,Nuevo León,FALSE,FALSE,FALSE,15.834968192704025,5.623563813848182,0,0
05030,05,Coahuila,Saltillo,05030,45.36680811665335,0,45.36680811665335,Saltillo,Coahuila,TRUE,TRUE,TRUE,0,3.836583860939309,1,2
05031,05,Coahuila,Saltillo,05030,282.91882244825035,321.17282768939714,282.91882244825035,Saltillo,Coahuila,TRUE,FALSE,FALSE,0,5.6486883608523595,0,0
05016,05,Coahuila,Saltillo,05030,210.63932994204183,246.85637389374548,210.63932994204183,Saltillo,Coahuila,TRUE,FALSE,FALSE,0,5.3548835520039,0,0
05004,05,Coahuila,Saltillo,05030,37.41912332041111,59.325988663309154,37.41912332041111,Saltillo,Coahuila,TRUE,FALSE,TRUE,0,3.64855533876698,2,2
05002,05,Coahuila,Saltillo,05030,453.7158950691257,494.3009303940933,406.70096316055174,Chihuahua,Chihuahua,FALSE,FALSE,FALSE,47.01493190857394,6.119672817486579,0,0
05032,05,Coahuila,Saltillo,05030,293.671095692059,335.9603932057608,283.1679687863856,Monterrey,Nuevo León,FALSE,FALSE,FALSE,10.503126905673412,5.685859804485735,0,0
05033,05,Coahuila,Saltillo,05030,185.76823143111773,197.21466292480622,185.76823143111773,Saltillo,Coahuila,TRUE,FALSE,FALSE,0,5.229868444046424,0,1
05009,05,Coahuila,Saltillo,05030,238.36777242845386,249.87693795748882,238.36777242845386,Saltillo,Coahuila,TRUE,FALSE,FALSE,0,5.478001165968702,0,0
05012,05,Coahuila,Saltillo,05030,301.0032948984508,346.27891249030756,266.21956937918355,Monterrey,Nuevo León,FALSE,FALSE,FALSE,34.78372551926725,5.710437927575124,0,0
05006,05,Coahuila,Saltillo,05030,133.43689748011982,173.6272372436817,133.43689748011982,Saltillo,Coahuila,TRUE,FALSE,FALSE,0,4.901094925233581,0,2
05003,05,Coahuila,Saltillo,05030,314.9263570993601,359.14331191115633,292.18570798048006,Monterrey,Nuevo León,FALSE,FALSE,FALSE,22.740649118880015,5.755509139273281,0,0
05023,05,Coahuila,Saltillo,05030,336.8425802832932,368.33701383542797,321.5842006015075,Chihuahua,Chihuahua,FALSE,FALSE,FALSE,15.258379681785698,5.82258004818619,0,0
05008,05,Coahuila,Saltillo,05030,209.17662503347364,251.61202380420426,202.63401187428445,Monterrey,Nuevo León,FALSE,FALSE,FALSE,6.542613159189187,5.347948248802931,0,0
