"CVEGEO","NOMGEO","homicidios_total","robos_total","n_inseguro_popw"
"07017","Cintalapa de Figueroa",5,1,41022.82958
"07119","Santiago el Pinar",0,0,NA
"07116","Marqués de Comillas",1,0,NA
"07060","Ocotepec",0,0,NA
"07058","Nicolás Ruíz",0,0,NA
"07041","La Independencia",0,0,15243.01752
"07040","Huixtla",10,3.99999999999998,28311.4263
"07056","Mitontic",0,0,NA
"07039","Huitiupán",0,0,NA
"07099","La Trinitaria",1,1,22349.67147
"07097","Tonalá",2,2,47445.83227
"07096","Tila",1,0,31690.16978
"07118","San Andrés Duraznal",1,0,NA
"07122","El Parral",0,0,NA
"07038","Huixtán",0,0,NA
"07001","Acacoyagua",3,1,NA
"07036","La Grandeza",0,0,NA
"07002","Acala",0,0,NA
"07003","Acapetahua",2,2,8938.036209
"07011","Bella Vista",0,1,NA
"07012","Berriozábal",5.99999999999998,0,27740.94432
"07072","Pueblo Nuevo Solistahuacán",6.99999999999999,0,8595.160824
"07037","Huehuetán",6.99999999999999,1,12959.97096
"07023","Chamula",1,0,16567.65938
"07010","Bejucal de Ocampo",0,0,NA
"07004","Altamirano",0,3,NA
"07005","Amatán",1,0,9528.559074
"07035","Frontera Hidalgo",0,0,NA
"07032","Escuintla",5,2,NA
"07013","Bochil",1,2,NA
"07014","El Bosque",0,0,3650.625
"07069","Pijijiapan",5,1,23050.7367
"07094","Teopisca",0,0,14534.05022
"07092","Tecpatán",1,1,NA
"07015","Cacahoatán",3,0,20188.79987
"07016","Catazajá",0,2,7071.371247
"07047","Jitotol",1,0,6447.669609
"07006","Amatenango de la Frontera",3.99999999999998,1,NA
"07078","San Cristóbal de las Casas",7.99999999999997,17,101850.5448
"07033","Francisco León",1,0,NA
"07117","Montecristo de Guerrero",1,0,NA
"07115","Maravilla Tenejapa",1,0,6841.704833
"07071","Villa Comaltitlán",6.99999999999999,1,9578.951041
"07066","Pantelhó",1,0,NA
"07113","Aldama",0,0,NA
"07098","Totolapa",0,0,NA
"07093","Tenejapa",1,0,7123.954288
"07064","Oxchuc",1,0,10878.48729
"07059","Ocosingo",5,1,82592.22113
"07061","Ocozocoautla de Espinosa",8.99999999999998,3,44092.1034
"07088","Sunuapa",1,0,NA
"07087","Suchiate",27,1,21779.32885
"07085","Soyaló",1,0,NA
"07124","Mezcalapa",1,1,10290.13333
"07067","Pantepec",0,0,2797.317345
"07125","Honduras de la Sierra",0,0,NA
"07055","Metapa",1,0,NA
"07123","Emiliano Zapata",0,0,NA
"07034","Frontera Comalapa",13,0,NA
"08067","Valle de Zaragoza",3.99999999999998,6.99999999999999,NA
"08043","Matachí",0,1,NA
"08058","San Francisco de Conchos",1,0,NA
"08056","Rosario",0,0,NA
"08054","Riva Palacio",3,0,NA
"08018","Cusihuiriachi",3.99999999999998,1,NA
"08007","Balleza",14,2,NA
"08001","Ahumada",3,1,NA
"08041","Maguarichi",1,0,NA
"08057","San Francisco de Borja",0,0,NA
"08053","Praxedis G. Guerrero",0,0,NA
"08051","Ocampo",0,0,NA
"08050","Nuevo Casas Grandes",8.99999999999998,2,18518.77519
"08031","Guerrero",8.99999999999998,2,10489.89327
"08055","Rosales",5,0,4376.271393
"08025","Gómez Farías",1,0,NA
"08023","Galeana",0,0,782.6960953
"08022","Dr. Belisario Domínguez",3,1,NA
"08014","Coronado",0,0,NA
"08003","Allende",5,0,4092.357849
"08021","Delicias",12,3,43942.8962
"08020","Chínipas",0,0,NA
"08017","Cuauhtémoc",83.9999999999997,6.99999999999999,77036.90435
"08016","La Cruz",1,0,NA
"08015","Coyame del Sotol",3.99999999999998,3,NA
"08052","Ojinaga",6.99999999999999,7.99999999999997,9378.609475
"08013","Casas Grandes",8.99999999999998,0,4729.947644
"08012","Carichí",5,0,3471.527778
"08011","Camargo",5,2,20622.61905
