"CVEGEO","NOMGEO","VIVPAR_HAB","no_VIVPAR_HAB","POBTOT","no_POBTOT","pct_VPH_SINTIC","no_pct_VPH_SINTIC","pct_VPH_C_ELEC","no_pct_VPH_C_ELEC","pct_VPH_AGUADV","no_pct_VPH_AGUADV","pct_VPH_PISODT","no_pct_VPH_PISODT","pct_VPH_PISOTI","no_pct_VPH_PISOTI","pct_VPH_1CUART","no_pct_VPH_1CUART"
"02005","Playas de Rosarito",31236,0,126890,0,0.0115891919579972,0,1.1735177359457,0,1.12312716096811,0,1.14966705083878,0,0.0323985145345115,0,0.0913689332821104,0
"03002","Mulegé",18542,0,64022,0,0.0229209362528314,0,1.01148743393377,0,1.00485384532413,0,1.00377521302988,0,0.031496062992126,0,0.175169884586345,0
"03009","Loreto",5191,0,18052,0,0.0157965709882489,0,1.05490271623965,0,1.03486804083992,0,1.02523598535928,0,0.0439221729917164,0,0.130032748988634,0
"03008","Los Cabos",94177,0,351111,0,0.0111492190237531,0,1.05897405948374,0,0.975885831997197,0,0.983212461641377,0,0.0835979060704843,0,0.223770134958642,0
"03003","La Paz",86927,0,292241,0,0.00798371046970446,0,1.03057738102086,0,1.018555799694,0,1.02215652213927,0,0.0213512487489503,0,0.0532400750054644,0
"03001","Comondú",22001,0,73021,0,0.0162265351574928,0,0.988045997909186,0,0.98513703922549,0,0.972728512340348,0,0.0314985682468979,0,0.0630880414526612,0
"04003","Carmen",67188,0,248845,0,0.0251235339643984,0,1.04671965231887,0,0.996487468000238,0,1.02963326784545,0,0.02628445555754,0,0.19693992974936,0
"04007","Palizada",2513,0,8683,0,0.0807799442896936,0,0.980899323517708,0,0.829287703939515,0,0.965777954635893,0,0.0413847990449662,0,0.198567449263828,0
"04013","Dzitbalché",0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
"04005","Hecelchakán",8291,0,31917,0,0.0793631648775781,0,0.990833433843927,0,0.975395006633699,0,0.983958509226873,0,0.0155590399228079,0,0.130864793149198,0
"04004","Champotón",21286,0,78170,0,0.0529455980456638,0,0.987080710326036,0,0.972846002067086,0,0.970731936484074,0,0.0356572395001409,0,0.157333458611294,0
"04011","Candelaria",13220,0,46913,0,0.167397881996974,0,0.926021180030257,0,0.887216338880484,0,0.913086232980333,0,0.0878971255673222,0,0.208245083207262,0
"04012","Seybaplaya",4257,0,15297,0,0.0326521024195443,0,0.992013154803852,0,0.937514681700728,0,0.992482969227155,0,0.00939628846605591,0,0.106647874089735,0
"04002","Campeche",81815,0,294077,0,0.0142394426449917,0,1.03361241826071,0,1.03138788730673,0,1.02805109087576,0,0.0110737639797103,0,0.0933080730917314,0
"04006","Hopelchén",10223,0,42140,0,0.170595715543383,0,0.981414457595618,0,0.983859923701457,0,0.970947862662623,0,0.027976132250807,0,0.081776386579282,0
"04001","Calkiní",15280,0,59232,0,0.0482984293193717,0,0.989267015706806,0,0.978599476439791,0,0.974607329842932,0,0.0235602094240838,0,0.148887434554974,0
"04010","Calakmul",8025,0,31714,0,0.153146417445483,0,0.974205607476636,0,0.781183800623053,0,0.901433021806854,0,0.0979439252336449,0,0.201495327102804,0
"04009","Escárcega",16796,0,59923,0,0.0555489402238628,0,0.977851869492736,0,0.975827577994761,0,0.946892117170755,0,0.0485234579661824,0,0.225053584186711,0
"04008","Tenabo",3066,0,11452,0,0.0622961513372472,0,0.983039791258969,0,0.9853228962818,0,0.985649054142205,0,0.0120678408349641,0,0.158512720156556,0
"05005","Candela",464,0,1643,0,0.0107758620689655,0,1.00862068965517,0,1.00431034482759,0,1.00862068965517,0,0.00431034482758621,0,0.0150862068965517,0
"05017","Matamoros",29876,0,118337,0,0.00900388271522292,0,1.04016601954746,0,1.03176462712545,0,1.02550542241264,0,0.0173048600883652,0,0.0245682152898648,0
"05018","Monclova",65704,0,237951,0,0.00511384390600268,0,1.05871788627785,0,1.05483684402776,0,1.0563892609278,0,0.00485510775599659,0,0.0151893339827103,0
"05014","Jiménez",2601,0,9502,0,0.00999615532487505,0,1.02921953094963,0,1.02998846597463,0,1.03421760861207,0,0.0126874279123414,0,0.0699730872741253,0
"05035","Torreón",203418,0,720848,0,0.00484716200139614,0,1.05336794187338,0,1.05199638183445,0,1.04430778003913,0,0.00988604744909497,0,0.0110167241837006,0
